BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5.14E-16	1E-30	1E-10	1E10	7.61E-10	0.0334	1E10	1E-30	2730	1E10	2.3E-8	104	1E10	1.08E-8	5.92	1E10	3.89E-7	71.4	1.52E-15	8.2E-8	130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	5.14E-16	1E-30	1E-10	1E10	7.61E-10	0.0334	1E10	1E-30	2730	1E10	2.3E-8	104	1E10	1.08E-8	5.92	1E10	3.89E-7	71.4	1.52E-15	8.2E-8	130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	5.14E-16	1E-30	1E-10	1E10	7.61E-10	0.0334	1E10	1E-30	2730	1E10	2.3E-8	104	1E10	1.08E-8	5.92	1E10	3.89E-7	71.4	1.52E-15	8.2E-8	130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	4.08E-19	1E-30	1E-10	1E10	8.94E-10	0.0334	1E10	1E-30	2730	1E10	3.56E-8	161	1E10	1.08E-8	5.92	1E10	3.89E-7	71.4	8.16E-17	3.5E-8	46.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.08E-19	1E-30	1E-10	1E10	8.94E-10	0.0334	1E10	1E-30	2730	1E10	3.56E-8	161	1E10	1.08E-8	5.92	1E10	3.89E-7	71.4	8.16E-17	3.5E-8	46.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	4.08E-19	1E-30	1E-10	1E10	8.94E-10	0.0334	1E10	1E-30	2730	1E10	3.56E-8	161	1E10	1.08E-8	5.92	1E10	3.89E-7	71.4	8.16E-17	3.5E-8	46.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	4.08E-19	1E-30	1E-10	1E10	9.8E-10	0.016	1E10	1E-30	2730	1E10	3.56E-8	165	1E10	1.16E-8	6.34	1E10	3.89E-7	71.4	5.15E-14	8.8E-10	0.291	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	4.08E-19	1E-30	1E-10	1E10	9.8E-10	0.016	1E10	1E-30	2730	1E10	3.56E-8	165	1E10	1.16E-8	6.34	1E10	3.89E-7	71.4	5.15E-14	8.8E-10	0.291	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	4.08E-19	1E-30	1E-10	1E10	9.8E-10	0.016	1E10	1E-30	2730	1E10	3.56E-8	165	1E10	1.16E-8	6.34	1E10	3.89E-7	71.4	5.15E-14	8.8E-10	0.291	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	5.26E-15	1E-30	1E-10	1E10	1.05E-9	0.0291	1E10	1E-30	3280	1E10	6.16E-8	338	1E10	1.99E-8	18.9	1E10	1.35E-7	48.3	5.18E-14	8.98E-10	0.718	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	5.26E-15	1E-30	1E-10	1E10	1.05E-9	0.0291	1E10	1E-30	3280	1E10	6.16E-8	338	1E10	1.99E-8	18.9	1E10	1.35E-7	48.3	5.18E-14	8.98E-10	0.718	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	5.26E-15	1E-30	1E-10	1E10	1.05E-9	0.0291	1E10	1E-30	3280	1E10	6.16E-8	338	1E10	1.99E-8	18.9	1E10	1.35E-7	48.3	5.18E-14	8.98E-10	0.718	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	1.38E-14	1E-30	1E-10	1E10	1.26E-9	0.0206	1E10	1E-30	3440	1E10	3.89E-8	126	1E10	1.77E-8	8.06	1E10	4.38E-7	29.8	9.65E-14	7.64E-10	0.625	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	1.38E-14	1E-30	1E-10	1E10	1.26E-9	0.0206	1E10	1E-30	3440	1E10	3.89E-8	126	1E10	1.77E-8	8.06	1E10	4.38E-7	29.8	9.65E-14	7.64E-10	0.625	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	1.38E-14	1E-30	1E-10	1E10	1.26E-9	0.0206	1E10	1E-30	3440	1E10	3.89E-8	126	1E10	1.77E-8	8.06	1E10	4.38E-7	29.8	9.65E-14	7.64E-10	0.625	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	5.64E-16	1E-30	1E-10	1E10	1.35E-9	0.0383	1E10	1E-30	3360	1E10	3.63E-8	112	1E10	6.58E-8	24.9	1E10	2.35E-8	9.21	9.01E-14	7.13E-10	0.625	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
