BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.96E-16	1E-30	1E-10	1E10	7.94E-10	0.0228	1E10	1E-30	9560	8.72E-10	3.37E-8	11.3	5.44E-11	3.59E-8	70.8	1E10	1.14E-7	427	1E10	3.01E-7	47.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	3.96E-16	1E-30	1E-10	1E10	7.94E-10	0.0228	1E10	1E-30	9560	8.72E-10	3.37E-8	11.3	5.44E-11	3.59E-8	70.8	1E10	1.14E-7	427	1E10	3.01E-7	47.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	3.96E-16	1E-30	1E-10	1E10	7.94E-10	0.0228	1E10	1E-30	9560	8.72E-10	3.37E-8	11.3	5.44E-11	3.59E-8	70.8	1E10	1.14E-7	427	1E10	3.01E-7	47.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1.09E-14	1E-30	1E-10	1E10	9.54E-10	6.74E-3	1E10	1E-30	4790	1E10	1.73E-8	6.22	1E10	3.59E-8	25.7	1E10	5.52E-8	147	1E10	9.65E-7	688	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	1.09E-14	1E-30	1E-10	1E10	9.54E-10	6.74E-3	1E10	1E-30	4790	1E10	1.73E-8	6.22	1E10	3.59E-8	25.7	1E10	5.52E-8	147	1E10	9.65E-7	688	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1.09E-14	1E-30	1E-10	1E10	9.54E-10	6.74E-3	1E10	1E-30	4790	1E10	1.73E-8	6.22	1E10	3.59E-8	25.7	1E10	5.52E-8	147	1E10	9.65E-7	688	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1.63E-14	1E-30	1E-10	1E10	1.02E-9	0.0103	1E10	1E-30	6090	1E10	2.07E-8	8.85	1E10	8.71E-8	297	1E10	4.21E-8	34	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1.63E-14	1E-30	1E-10	1E10	1.02E-9	0.0103	1E10	1E-30	6090	1E10	2.07E-8	8.85	1E10	8.71E-8	297	1E10	4.21E-8	34	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1.63E-14	1E-30	1E-10	1E10	1.02E-9	0.0103	1E10	1E-30	6090	1E10	2.07E-8	8.85	1E10	8.71E-8	297	1E10	4.21E-8	34	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
