BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.29E-14	1E-30	1E-10	1E10	1.66E-9	0.0116	1E10	1E-30	5340	1E10	1.55E-8	4.99	1E10	1.36E-7	12.8	1E10	5.21E-8	82.5	1E10	8.45E-8	239	1.05E-13	1.72E-9	0.813	2.63E-15	1.95E-8	0.512	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	2.63E-14	1E-30	1E-10	1E10	1.82E-9	0.0339	1E10	1E-30	6550	1E10	2.01E-8	6.12	1E10	4.52E-8	119	5.92E-14	2.09E-9	3.45	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	4.04E-14	1E-30	1E-10	1E10	2.23E-9	0.076	1E10	1E-30	6450	1E10	3.21E-8	14	1E10	7.19E-8	280	7.43E-15	7.99E-9	9.62	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.1E-14	1E-30	1E-10	1E10	2.69E-9	0.0579	1E10	1E-30	6690	1E10	3.06E-8	16.2	1E10	8.41E-8	256	6.37E-14	1.56E-9	4.44	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	2.63E-14	1E-30	1E-10	1E10	3.14E-9	0.0627	1E10	1E-30	7640	1E10	3.65E-8	14.5	1E10	1.18E-7	462	1.54E-13	1.23E-9	0.961	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1.5E-14	1E-30	1E-10	1E10	3.83E-9	0.0979	1E10	1E-30	9700	1E10	4.24E-8	24	1E10	1.37E-7	584	5.42E-14	1.44E-9	1.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.24E-14	1E-30	1E-10	1E10	4.54E-9	0.103	1E10	1E-30	41400	1E10	4.61E-8	17.4	1E10	1.19E-7	358	1E10	2.03E-7	9770	7.76E-14	1.31E-9	2.85	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	3.55E-14	1E-30	1E-10	1E10	5.08E-9	0.0954	1E10	1E-30	11300	1E10	8.27E-8	50.1	1E10	1.8E-7	682	7.9E-14	1.3E-9	2.46	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2.83E-14	1E-30	1E-10	1E10	6.13E-9	0.12	1E10	1E-30	10100	1E10	8.89E-8	68.9	1E10	2.74E-7	925	2.17E-13	1.06E-9	0.445	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
