BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6.53E-18	1E-30	1E-10	1E10	7.03E-10	0.0182	1E10	1E-30	4670	1E10	1.81E-9	0.313	1E10	3.52E-9	0.0259	1E10	1.71E-8	11.7	1E10	1.48E-8	44.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	6.53E-18	1E-30	1E-10	1E10	7.03E-10	0.0182	1E10	1E-30	4670	1E10	1.81E-9	0.313	1E10	3.52E-9	0.0259	1E10	1.71E-8	11.7	1E10	1.48E-8	44.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	2.06E-14	1E-30	1E-10	1E10	5.32E-10	0.0249	1E10	1E-30	4650	1E10	6.3E-9	0.315	1E10	4.63E-9	2.31	1E10	1.84E-8	40.1	1E10	3.75E-8	226	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.06E-14	1E-30	1E-10	1E10	5.32E-10	0.0249	1E10	1E-30	4650	1E10	6.3E-9	0.315	1E10	4.63E-9	2.31	1E10	1.84E-8	40.1	1E10	3.75E-8	226	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	2.65E-14	1E-30	1E-10	1E10	7.17E-10	0.0249	1E10	1E-30	5850	1E10	6.3E-9	0.315	1E10	4.63E-9	1.16	1E10	1.84E-8	36.6	1E10	3.75E-8	226	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	2.65E-14	1E-30	1E-10	1E10	7.17E-10	0.0249	1E10	1E-30	5850	1E10	6.3E-9	0.315	1E10	4.63E-9	1.16	1E10	1.84E-8	36.6	1E10	3.75E-8	226	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	3.57E-14	1E-30	1E-10	1E10	8.04E-10	0.0249	1E10	1E-30	10400	1E10	4.52E-9	0.729	1E10	1.84E-8	23.1	1E10	3.75E-8	188	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	3.57E-14	1E-30	1E-10	1E10	8.04E-10	0.0249	1E10	1E-30	10400	1E10	4.52E-9	0.729	1E10	1.84E-8	23.1	1E10	3.75E-8	188	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	4.5E-14	1E-30	1E-10	1E10	9.45E-10	0.0249	1E10	1E-30	10400	1E10	4.52E-9	0.729	1E10	1.84E-8	22.1	1E10	3.75E-8	168	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
