BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.49E-14	1E-30	1E-10	1E10	3.86E-8	1.16	1E10	1E-30	208E3	1E10	7.42E-7	85.4	1E10	1.12E-6	2530	1E10	2.4E-6	30700	4.2E-15	2.5E-8	306	3.14E-17	2.11E-6	8500	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	1.49E-14	1E-30	1E-10	1E10	3.86E-8	1.16	1E10	1E-30	208E3	1E10	7.42E-7	85.4	1E10	1.12E-6	2530	1E10	2.4E-6	30700	4.2E-15	2.5E-8	306	3.14E-17	2.11E-6	8500	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	1.24E-14	1E-30	1E-10	1E10	4.44E-8	1.25	1E10	1E-30	153E3	1E10	3.02E-7	17.3	1E10	1.16E-6	1580	1E10	1.65E-6	13500	4.17E-15	2.46E-8	132	7.11E-16	8.68E-8	24.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1.24E-14	1E-30	1E-10	1E10	4.44E-8	1.25	1E10	1E-30	153E3	1E10	3.02E-7	17.3	1E10	1.16E-6	1580	1E10	1.65E-6	13500	4.17E-15	2.46E-8	132	7.11E-16	8.68E-8	24.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	1.27E-14	1E-30	1E-10	1E10	4.38E-8	1.33	1E10	1E-30	24E4	1E10	1.52E-6	512	1E10	1.36E-6	3550	1E10	2.8E-6	39200	3.21E-15	4.23E-8	161	7.97E-16	8.19E-8	739	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1.27E-14	1E-30	1E-10	1E10	4.38E-8	1.33	1E10	1E-30	24E4	1E10	1.52E-6	512	1E10	1.36E-6	3550	1E10	2.8E-6	39200	3.21E-15	4.23E-8	161	7.97E-16	8.19E-8	739	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1.29E-14	1E-30	1E-10	1E10	5.12E-8	1.4	1E10	1E-30	195E3	1E10	8.87E-7	20.1	1E10	1.24E-6	1790	1E10	2.21E-6	23900	2.08E-15	7.06E-8	228	1.23E-15	4.38E-8	54.4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1.29E-14	1E-30	1E-10	1E10	5.12E-8	1.4	1E10	1E-30	195E3	1E10	8.87E-7	20.1	1E10	1.24E-6	1790	1E10	2.21E-6	23900	2.08E-15	7.06E-8	228	1.23E-15	4.38E-8	54.4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1.16E-14	1E-30	1E-10	1E10	6.39E-8	1.9	1E10	1E-30	24E4	1E10	2.83E-7	11.6	1E10	1.23E-6	1660	1E10	2.42E-6	21700	5.53E-15	3.38E-8	99.4	6.72E-19	9.54E-5	139E4	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
