BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8.82E-14	1E-30	1E-10	1E10	1.22E-8	0.053	1E10	1E-30	24500	1E10	1.65E-7	25	1E10	6.11E-7	1620	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	8.82E-14	1E-30	1E-10	1E10	1.22E-8	0.053	1E10	1E-30	24500	1E10	1.65E-7	25	1E10	6.11E-7	1620	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	6.54E-14	1E-30	1E-10	1E10	1.93E-8	0.048	1E10	1E-30	24500	1E10	2.94E-7	39.7	1E10	1.26E-6	2370	1.21E-15	1.19E-7	125	1.79E-16	3.59E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	6.54E-14	1E-30	1E-10	1E10	1.93E-8	0.048	1E10	1E-30	24500	1E10	2.94E-7	39.7	1E10	1.26E-6	2370	1.21E-15	1.19E-7	125	1.79E-16	3.59E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	8.62E-14	1E-30	1E-10	1E10	2.22E-8	0.079	1E10	1E-30	24500	1E10	3.97E-7	52.3	1E10	1.45E-6	2370	2.59E-15	2.54E-7	125	2.84E-16	5.69E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	8.62E-14	1E-30	1E-10	1E10	2.22E-8	0.079	1E10	1E-30	24500	1E10	3.97E-7	52.3	1E10	1.45E-6	2370	2.59E-15	2.54E-7	125	2.84E-16	5.69E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	8.62E-14	1E-30	1E-10	1E10	2.22E-8	0.079	1E10	1E-30	24500	1E10	3.97E-7	52.3	1E10	1.45E-6	2370	2.59E-15	2.54E-7	125	2.84E-16	5.69E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1.43E-13	1E-30	1E-10	1E10	2.79E-8	0.098	1E10	1E-30	24500	1E10	4.56E-7	52.3	1E10	1.63E-6	2370	2.31E-15	2.54E-7	125	2.71E-16	5.69E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1.43E-13	1E-30	1E-10	1E10	2.79E-8	0.098	1E10	1E-30	24500	1E10	4.56E-7	52.3	1E10	1.63E-6	2370	2.31E-15	2.54E-7	125	2.71E-16	5.69E-7	1130	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
