BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.25378627875938E-10	1E10	6E9	1E-30	1.59204345337158E-10	1E10	1E-30	1E10	0.365274949680137	5.08341855558424E-10	1E10	3130.8644242379	4.71948453365621E-09	1E10	180.245974036359	1.49880897282518E-08	1E10	4.62427711295604	8.11895456866861E-09	1E10	0.309214626725722	1E-30	1.84437395202916E-10	12.0545250325155	5.6136230132222E-10	2.80717174337305E-11	1.02007836209417	1.16469257196029E-10	5.25179424417631E-11	2.72006216916432	1.5120017175012E-12	1.04123269918019E-09	303.322870762763	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.39045561368986E-10	1E10	6E9	1E-30	1.1523451255459E-10	1E10	1E-30	1E10	0.265276403836505	4.44806951216821E-10	1E10	3045.42961082043	1.13243845866591E-08	1E10	24.7005987967203	2.60515227712074E-08	1E10	0.790379681815436	4.40393405872474E-09	1E10	0.26056695197672	5.22452621928666E-10	3.06487032509753E-11	1.19576319779976	8.92609555893612E-11	6.54421375982232E-11	3.71645265082074	1.29915581995851E-12	1.12196425306272E-09	195.45088160431	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.69652873761633E-10	1E10	6E9	1E-30	1.35946395128312E-10	1E10	1E-30	1E10	0.179696049358648	1.05956499471797E-09	1E10	1502.0781536319	2.29949054659937E-08	1E10	13.8426264310817	2.82426406903964E-08	1E10	1.40881783007294	5.77679878682438E-09	1E10	0.218324711627652	1E-30	1.81046315872173E-10	2.27509510361407	1.30695387419107E-09	2.34006948005026E-11	1.03157279404246	2.74791219155632E-10	4.01427773578846E-11	2.15187619259787	1.33642954568998E-12	9.7983740483549E-10	312.976243573434	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.79003782527424E-10	1E10	6E9	1E-30	7.87346527394876E-14	1E10	1E-30	1E10	0.117772482611511	8.92347045488278E-10	1E10	1783.55432336091	1.54785644572027E-08	1E10	15.7395173839543	2.52656267484934E-08	1E10	0.891907983501919	3.41571301395202E-09	1E10	0.246160010928467	1E-30	1.87240992093224E-10	2.35293970084375	9.5541714222436E-10	3.22393272544971E-11	1.2266304623006	2.36576125777345E-10	4.72494592727952E-11	2.16998399702734	1.23246243016969E-12	1.11256756207471E-09	275.856837377423	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	3.04181255132198E-10	1E10	6E9	1E-30	2.78416366353326E-10	1E10	1E-30	1E10	0.612314067807793	7.80684560035191E-10	1E10	5120.87932214505	3.1184045195974E-08	1E10	17.0124329168647	1.31789114856303E-08	1E10	3.89861720336677	5.94744183902339E-09	1E10	1.33801176539147	1.92419535175749E-09	1E10	0.66446625544502	2.08483279828556E-12	7.16390976424402E-10	36.1150015279562	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.37940724083135E-10	1E10	6E9	1E-30	2.79722011831222E-10	1E10	1E-30	1E10	0.1231554566551	1.88147286866157E-09	1E10	845.906128878246	6.24227726730316E-08	1E10	3.18703688326902	3.84378211877416E-08	1E10	0.812718442081644	7.66286238026472E-09	1E10	0.165370904316641	1E-30	2.50234845065579E-10	4.9837660679129	1.52861654502861E-09	3.92818315626515E-11	1.33493950213735	3.56992686532872E-10	6.38047348888842E-11	2.42782545319152	1.75232095807353E-12	9.85113855976864E-10	137.354782934993	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	4.20033514389569E-10	1E10	6E9	1E-30	2.80807827058997E-10	1E10	1E-30	1E10	0.452668004912886	1.66693052220603E-09	1E10	2398.29517028184	2.99484413274947E-08	1E10	13.7506951053316	1.27107841009178E-08	1E10	2.49240029453975	2.5751537163273E-09	1E10	0.776223841562319	1.89547895934079E-09	3.42418744996803E-11	0.734429162425728	2.55227740368217E-12	7.34959598967767E-10	33.2643391180577	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	4.44951687541752E-10	1E10	6E9	1E-30	5.76815429507276E-14	1E10	1E-30	1E10	6.51154050194301E-02	1.30623032820335E-09	1E10	3853.01206210026	1.10257679032441E-07	1E10	4.8116057006505	1.16648121410592E-07	1E10	1.94914587279712	8.12235245019669E-08	1E10	0.318543169202958	1.20489001262589E-08	1E10	0.141537893301394	1E-30	1.96324630045223E-10	1.23354403093762	1.22895273099518E-09	8.68625508984877E-11	2.37226771216431	5.57439803484606E-10	7.91538936510179E-11	2.6708663187773	1.16266032587885E-12	1.01797822620539E-09	297.477362278769	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	5.74177262973214E-10	1E10	6E9	1E-30	2.9638307617014E-10	1E10	1E-30	1E10	0.343306534745259	2.92108051835995E-09	1E10	1368.60021333704	5.4601481945918E-08	1E10	4.32161124800779	1.64722433683343E-08	1E10	1.07896508233867	8.72434540397535E-08	1E10	0.85125031309473	3.45178810248585E-09	1E10	0.44951688385658	1.66703294980955E-09	6.33118257437519E-11	0.603817844275205	4.22009161957557E-10	3.79434780465645E-11	0.589345831706548	2.42333770443717E-12	6.14861644655106E-10	40.224702012564	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	5.70998172920399E-10	1E10	6E9	1E-30	2.42470886736018E-10	1E10	1E-30	1E10	0.370357298613071	3.40028091721697E-09	1E10	933.910661864331	4.19054962194416E-08	1E10	3.2325789754185	1.75787359139822E-07	1E10	3.01794440492737	1.91721902189906E-08	1E10	0.883198688348521	5.34284453901028E-09	1E10	0.397145415836395	1.93000859174596E-09	5.91497597878628E-11	0.585181900362703	2.46584488484492E-10	6.49371559038381E-11	0.801173069101307	2.10831747620697E-12	6.15538657774335E-10	86.0935797961127	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	6.91041269011877E-10	1E10	6E9	1E-30	5.8525220308208E-10	1E10	1E-30	1E10	0.332166178069743	7.07898845636163E-09	1E10	448.589317739174	1.6678578982059E-07	1E10	1.74056834689597	3.24326892258538E-08	1E10	1.63574618582686	8.70261279003209E-09	1E10	0.417965538403925	4.22214458195504E-09	4.99949244175642E-11	0.472309889547871	6.46006734629651E-10	2.36712924872316E-11	0.473647283032058	6.40788186137892E-12	3.2097916697254E-10	28.3264583835982	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	7.43554009255561E-10	1E10	6E9	1E-30	2.39946154484996E-10	1E10	1E-30	1E10	0.278739439538312	7.29926901158256E-09	1E10	435.051591725657	9.57993622595243E-08	1E10	8.30668071989551	7.7758941778173E-08	1E10	2.55846690188256	2.39100021128139E-08	1E10	1.02607835383062	5.46869723308214E-09	1E10	0.365515885247588	1E-30	1.72279760893019E-10	2.16493132473487	2.85830520198204E-09	4.87922019098699E-11	0.567089414434419	4.39765197784943E-10	7.26504251488304E-11	0.634557875999727	2.41753498484674E-12	5.36807499209317E-10	94.5222405114297	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
