BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.36304713633784E-10	1E10	1E10	1E-30	1.63775373857072E-11	1E10	1E-30	1E10	0.499328896962653	1.35686989844297E-08	1E10	124308.959130067	4.06288567449669E-08	1E10	3195.23224308311	3.47326537982593E-08	1E10	298.196423290253	2.542231285187E-08	1E10	41.0020293833268	1.43574403430948E-08	1E10	6.3085802894705	8.21916445784313E-09	1E10	1.16115891896428	4.09280968876413E-09	1E10	0.650719766222537	1.52346051414116E-09	1E10	0.479289058939727	4.99675087449464E-12	2.72352353027291E-10	16.9572453765514	4.88387976643979E-13	3.05530003597079E-10	21.8451637542928	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	2.36304713633784E-10	1E10	1E10	1E-30	1.63775373857072E-11	1E10	1E-30	1E10	0.499328896962653	1.35686989844297E-08	1E10	124308.959130067	4.06288567449669E-08	1E10	3195.23224308311	3.47326537982593E-08	1E10	298.196423290253	2.542231285187E-08	1E10	41.0020293833268	1.43574403430948E-08	1E10	6.3085802894705	8.21916445784313E-09	1E10	1.16115891896428	4.09280968876413E-09	1E10	0.650719766222537	1.52346051414116E-09	1E10	0.479289058939727	4.99675087449464E-12	2.72352353027291E-10	16.9572453765514	4.88387976643979E-13	3.05530003597079E-10	21.8451637542928	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	4.87201552629742E-10	1E10	1E10	1E-30	1.05193573104726E-10	1E10	1E-30	1E10	0.350310302466754	3.51461098965667E-08	1E10	35120.0778278585	1.01240588280053E-07	1E10	1398.15548136674	8.78715369960273E-08	1E10	184.312788486128	7.02744179896915E-08	1E10	34.5719375599452	4.14950778501267E-08	1E10	6.35994005033619	1.61721632097358E-08	1E10	1.29567972544486	4.0472553015792E-09	1E10	0.415197709787466	3.03300727852889E-09	1.04727997591706E-11	0.180678102458187	3.72155790006637E-10	3.5062229509105E-11	0.521247283220868	1.47122315428455E-12	3.66178152899875E-10	18.184601518836	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	7.13184437458186E-10	1E10	1E10	1E-30	8.08786023229633E-11	1E10	1E-30	1E10	0.250802707303764	2.91895560245765E-08	1E10	162404.868509199	1.37367755376476E-07	1E10	1952.53597417328	1.07042919915575E-07	1E10	209.217999049758	8.53534514494686E-08	1E10	22.4181124984999	5.27928676743013E-08	1E10	3.29459406889666	2.29117218313643E-08	1E10	0.685112217805302	4.28851076694784E-09	1E10	0.325241698085753	2.98035169129957E-09	1.72433166816597E-11	0.175957998625945	4.61962826008555E-10	4.05261921810905E-11	0.471606417217664	7.35619622726859E-12	1.25712295827856E-10	11.7470971644579	1.0574051825677E-12	2.62197424706729E-10	23.5358056677181	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.0175676197528E-09	1E10	1E10	1E-30	4.66954450729934E-11	1E10	1E-30	1E10	0.310681521001404	1.01947411854022E-07	1E10	13908.7161515356	1.64394276299421E-07	1E10	553.715963311958	1.38660688831269E-07	1E10	65.0559531426205	9.91450102519623E-08	1E10	8.62083374368846	4.30556114152829E-08	1E10	1.52724432039339	1.2758260111808E-08	1E10	0.323028403544264	1E-30	5.08141604519252E-11	2.87666504994478	1.78305540038139E-11	1.84435239481404E-10	3.29093919956986	6.07359638540866E-12	1.34464521708016E-10	14.0354679361344	1.7443780658921E-12	1.77175104729579E-10	18.5535278878458	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.51894057534405E-09	1E10	1E10	1E-30	7.18323561363046E-11	1E10	1E-30	1E10	0.262537108166852	1.4567053534843E-07	1E10	11782.6626465961	2.73059311398424E-07	1E10	491.183131312545	2.25192328266587E-07	1E10	70.9975632718672	1.65447687705061E-07	1E10	9.31405923359087	1.11393711755954E-07	1E10	1.31947157737837	3.12349237151622E-08	1E10	0.360990750739145	7.30565467829449E-09	9.2700580919258E-12	6.64925851750343E-02	7.49497630642577E-10	4.29216557308174E-11	0.319860252317641	4.20590480256122E-11	8.51883572075352E-11	1.96655629466499	4.72276277735666E-12	1.50381960152621E-10	14.5589386561945	2.14488905718386E-12	1.79967894520688E-10	19.0731024125826	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.51894057534405E-09	1E10	1E10	1E-30	7.18323561363046E-11	1E10	1E-30	1E10	0.262537108166852	1.4567053534843E-07	1E10	11782.6626465961	2.73059311398424E-07	1E10	491.183131312545	2.25192328266587E-07	1E10	70.9975632718672	1.65447687705061E-07	1E10	9.31405923359087	1.11393711755954E-07	1E10	1.31947157737837	3.12349237151622E-08	1E10	0.360990750739145	7.30565467829449E-09	9.2700580919258E-12	6.64925851750343E-02	7.49497630642577E-10	4.29216557308174E-11	0.319860252317641	4.20590480256122E-11	8.51883572075352E-11	1.96655629466499	4.72276277735666E-12	1.50381960152621E-10	14.5589386561945	2.14488905718386E-12	1.79967894520688E-10	19.0731024125826	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.22462996667995E-09	1E10	1E10	1E-30	3.97242332779452E-11	1E10	1E-30	1E10	0.146030740694269	1.81077648410551E-07	1E10	18010.8646009801	3.38484481275149E-07	1E10	610.287621705655	3.51791685061411E-07	1E10	61.0287621705655	3.03437313411562E-07	1E10	9.67240697084576	1.79339744833777E-07	1E10	1.95350102169767	1.01880843674218E-07	1E10	0.373215793701276	2.99826874317762E-08	1E10	0.117993434121351	1E-30	1.75486364081055E-10	1.66539557022198	2.08536809824642E-09	2.08856810040587E-11	0.190123507888655	7.82694016199882E-12	7.82597179149038E-11	11.7654058295532	1.72602750610966E-12	1.96159628450579E-10	27.8677524764114	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.51816590596393E-09	1E10	1E10	1E-30	1.9024339560921E-10	1E10	1E-30	1E10	0.14595087729354	3.94784375355305E-07	1E10	4359.80010614014	5.77661896784276E-07	1E10	239.588836017282	6.25931916788934E-07	1E10	35.4377857064619	4.00270472636809E-07	1E10	6.59882449158179	2.47466474904362E-07	1E10	0.954844148159318	1.39138802145252E-07	1E10	0.167764738059951	1.43504140418526E-07	1E10	5.29915606197282E-02	1.0403294966759E-08	1.77058625746057E-11	7.96394194784082E-02	1.80878400307671E-09	3.29528706629953E-11	0.231643475239036	3.48595367688309E-11	1.07876282278214E-10	1.38951429392935	3.11069811748191E-12	1.38221348984176E-10	18.5854409845895	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
