BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-11	1E10	1E11	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-1	1
2	1E-11	1E10	1E11	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-2	2
3	1E-11	1E10	1E11	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-5	5
4	1E-11	1E10	1E11	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-1	1
5	1E-11	1E10	1E11	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-2	2
6	1E-11	1E10	1E11	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-5	5
7	1.2E-11	1E10	1E11	1E-30	6.86476016946641E-11	1E10	1E-30	1E10	0.294529257967689	5.21849974247104E-09	1E10	14.9238964204322	1E-30	1.59833897094195E-11	0.726444051289562	1.14464500018212E-11	5.04275209024138E-11	14.8719356450623	8.4225073206845E-13	4.54028375475467E-10	206.003657520242	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-1	1
8	1.2E-11	1E10	1E11	1E-30	6.86476016946641E-11	1E10	1E-30	1E10	0.294529257967689	5.21849974247104E-09	1E10	14.9238964204322	1E-30	1.59833897094195E-11	0.726444051289562	1.14464500018212E-11	5.04275209024138E-11	14.8719356450623	8.4225073206845E-13	4.54028375475467E-10	206.003657520242	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-2	2
9	1.2E-11	1E10	1E11	1E-30	6.86476016946641E-11	1E10	1E-30	1E10	0.294529257967689	5.21849974247104E-09	1E10	14.9238964204322	1E-30	1.59833897094195E-11	0.726444051289562	1.14464500018212E-11	5.04275209024138E-11	14.8719356450623	8.4225073206845E-13	4.54028375475467E-10	206.003657520242	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	2	-5	5
