BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2E-13	1E10	1E10	1E-30	2.20563044329471E-10	1E10	1E-30	1E10	0.407212058509149	2.27556776314094E-11	9.05674521428952E-13	1.95987472990143	7.69562451057071E-13	1.31660776410662E-11	69.5127095735403	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
2	2E-13	1E10	1E10	1E-30	2.20563044329471E-10	1E10	1E-30	1E10	0.407212058509149	2.27556776314094E-11	9.05674521428952E-13	1.95987472990143	7.69562451057071E-13	1.31660776410662E-11	69.5127095735403	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
3	3E-13	1E10	1E10	1E-30	1.96340900812007E-10	1E10	1E-30	1E10	0.35118301612422	9.26737940625466E-12	2.00990142027261E-12	3.8085241997118	9.39732462520166E-13	1.03733843724265E-11	83.8938890705529	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
4	3E-13	1E10	1E10	1E-30	1.96340900812007E-10	1E10	1E-30	1E10	0.35118301612422	9.26737940625466E-12	2.00990142027261E-12	3.8085241997118	9.39732462520166E-13	1.03733843724265E-11	83.8938890705529	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
5	4E-13	1E10	1E10	1E-30	2.10764989112715E-10	1E10	1E-30	1E10	0.337872212538014	6.98531461214484E-12	2.4072118348134E-12	6.53284812940613	1.78888261942024E-12	5.49806816502058E-12	42.9301861354846	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
6	4E-13	1E10	1E10	1E-30	2.10764989112715E-10	1E10	1E-30	1E10	0.337872212538014	6.98531461214484E-12	2.4072118348134E-12	6.53284812940613	1.78888261942024E-12	5.49806816502058E-12	42.9301861354846	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
7	5E-13	1E10	1E10	1E-30	2.13259911912548E-10	1E10	1E-30	1E10	0.330887043035438	6.11959065790944E-12	3.20083855556561E-12	9.00580759643718	1.43769623643138E-12	6.83405472600405E-12	71.357821531617	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
8	5E-13	1E10	1E10	1E-30	2.13259911912548E-10	1E10	1E-30	1E10	0.330887043035438	6.11959065790944E-12	3.20083855556561E-12	9.00580759643718	1.43769623643138E-12	6.83405472600405E-12	71.357821531617	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
9	6E-13	1E10	1E10	1E-30	2.09926920578601E-10	1E10	1E-30	1E10	0.290689502687193	3.34769225445888E-12	6.28641212643658E-12	14.8854073084594	1.8035526652981E-12	5.73355498338919E-12	40.3377263322105	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
