BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.2E-10	1E10	1E10	1E-30	1.6E-10	1E10	1E-30	1E10	0.482073182857828	1.27338861856327E-08	1E10	200271.382723089	4.07421883932005E-08	1E10	4694.81946263429	3.25220668539815E-08	1E10	503.058968881788	2.65401256817287E-08	1E10	53.0856910281451	2.30456384929603E-08	1E10	7.67341836554798	1.12116251971186E-08	1E10	2.58100515059863	2.35721316517832E-09	1E10	1.22760481774908	1.00003222393297E-09	1E10	0.454713756168387	9.22654652422965E-11	3.26441294592112E-11	0.600569009007606	1.90069552813364E-12	1.79522952688314E-10	17.5941643516372	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	2.25124458301766E-10	1E10	1E10	1E-30	1.65E-10	1E10	1E-30	1E10	0.528112976059979	3.04945915530069E-08	1E10	53601.4559585091	5.43904047265569E-08	1E10	7747.76762123153	3.26708508845888E-08	1E10	1510.69428564385	3.07794231804466E-08	1E10	131.575971835051	3.93572647405767E-08	1E10	13.4795057651969	2.36623870616334E-08	1E10	7.47341446140024	1.06432183253998E-08	1E10	1.99381976674074	1.75302219831973E-09	1E10	1.21051856041865	1.79478841862714E-09	1E10	0.295587196500178	7.67235506901064E-11	3.92568613534236E-11	0.722226467985105	1.90671212682429E-12	1.70130784298992E-10	18.1267051211024	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	4.75726524071926E-10	1E10	1E10	1E-30	1.44E-10	1E10	1E-30	1E10	0.410868097402298	5.91973909213105E-08	1E10	25638.9025161859	9.34969697758504E-08	1E10	2036.57041759499	7.19605118324214E-08	1E10	218.222451892884	5.79066726199108E-08	1E10	25.650245198606	4.7431102519049E-08	1E10	3.72833048918988	3.08020182911997E-08	1E10	0.875767744449366	8.900375434174E-09	1E10	0.458508296295705	4.12866474283111E-09	1E10	0.321239740944186	6.24837350842378E-11	4.82033570484117E-11	0.886819249065187	1.91540063717806E-12	1.92450234009833E-10	18.8433741886459	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	4.73615698211527E-10	1E10	1E10	1E-30	1.71898665483858E-10	1E10	1E-30	1E10	0.402501750477577	4.4942854786014E-08	1E10	48924.7792101814	9.16504020614175E-08	1E10	2751.24251756987	7.73858311271903E-08	1E10	308.694487697358	7.24662349540731E-08	1E10	43.9252689732709	4.62830589907305E-08	1E10	9.53403675430202	3.14483718995832E-08	1E10	1.63252661813861	1.0565808922939E-08	1E10	0.602528189758801	3.7533267561663E-09	1E10	0.353364169600612	6.27085338125631E-11	4.74642825537516E-11	0.897890396652	1.91683881632409E-12	1.7E-10	16.1432172192017	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.00856668387992E-09	1E10	1E10	1E-30	1.44676703981414E-10	1E10	1E-30	1E10	0.245400631009476	9.12413100596101E-08	1E10	22376.9729894571	1.99478286547523E-07	1E10	707.622017867513	1.69195570092433E-07	1E10	122.970612909147	1.15245968048226E-07	1E10	18.6734424286119	1.03759832823916E-07	1E10	2.55646362631139	1.09747126937106E-07	1E10	0.517927463712311	2.93302921471443E-08	1E10	0.387592805547848	1.0186420647356E-08	1E10	0.173602516310342	1E-30	4.07832710447173E-11	0.549104677300479	1.85282304786454E-09	1.12985041263655E-11	0.12055946680009	2.04178450309505E-12	1.58833736227939E-10	21.6405984768019	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	9.97890369131522E-10	1E10	1E10	1E-30	1.75E-10	1E10	1E-30	1E10	0.243454988799894	1.038155737713E-07	1E10	16956.5047268255	1.61496865991042E-07	1E10	998.473022539826	1.44566396978021E-07	1E10	88.9890018039856	1.63686284619027E-07	1E10	10.2272967916153	9.37353128751766E-08	1E10	2.82453456643452	6.24310649318814E-08	1E10	0.553307697520828	1.64387392184596E-08	1E10	0.265190441217397	1.0134898324101E-08	1E10	7.81635338852002E-02	1E-30	1.82925929500338E-11	0.595576165588232	9.65004061842744E-10	1.82284033474936E-11	0.195383556473379	2.1951185201022E-12	1.35295763413159E-10	12.3061927881385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.1969175416059E-09	1E10	1E10	1E-30	1.96E-10	1E10	1E-30	1E10	0.165407204063842	2.82233371069748E-07	1E10	7234.09964947771	3.69926929105086E-07	1E10	425.975368080504	3.10610321881035E-07	1E10	51.2135035066252	2.38299930891891E-07	1E10	5.55515543627254	1.73055031046764E-07	1E10	0.79376610461972	7.3959121556523E-08	1E10	0.215193122555223	2.16595967119947E-08	1E10	9.18501306881202E-02	1E-30	3.52237802009369E-11	0.331976307332775	1.84713771903946E-09	2.43791443974136E-11	0.137860813691495	3.04650964525242E-12	1.03780854580589E-10	15.3531482338763	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.1520471523414E-09	1E10	1E10	1E-30	1.84192738610536E-10	1E10	1E-30	1E10	0.150127913172203	2.65025528790705E-07	1E10	5317.6438747769	3.58078064767468E-07	1E10	422.395467194393	3.09224877195949E-07	1E10	48.497488536311	2.60599039960053E-07	1E10	5.44311262086837	2.46443060260409E-07	1E10	0.922583107744013	1.01146804781106E-07	1E10	0.314700881429376	2.54826235746626E-08	1E10	0.104093771078673	1E-30	3.81887283633366E-11	0.359920285428583	1.83727299043914E-09	2.45100414629233E-11	0.138601019158382	3.05160419486201E-12	1.1063386814419E-10	15.3343079563186	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.71858229022828E-09	1E10	1E10	1E-30	1.55E-10	1E10	1E-30	1E10	0.102284830369065	5.02582554392231E-07	1E10	3899.25933556091	6.86306818263093E-07	1E10	209.402624548975	6.1125850670757E-07	1E10	20.4636038875094	4.7320041730948E-07	1E10	2.24224855924427	3.09524380636015E-07	1E10	0.35895004271283	1.52709372356181E-07	1E10	6.94805392475324E-02	1.53804414368184E-07	1E10	2.06957574976883E-02	1E-30	4.75596332466154E-11	0.18676624301874	6.41065461269414E-09	1.95124973340833E-11	5.60149564280349E-02	2.25679193336645E-12	1.32E-10	17.8987071578581	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
