BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6.79555824308925E-09	1E10	1E10	1E-30	3.40589273627723E-10	1E10	1E-30	1E10	8.59334187912495E-02	6.63094861119162E-07	1E10	2480.04046143595	8.09149918715724E-07	1E10	389.704394660004	6.96196016683901E-07	1E10	81.7730524621073	6.8071642491809E-07	1E10	14.1051564120431	4.97897133235293E-07	1E10	2.84342509061566	4.46946369789852E-07	1E10	0.468045840969644	2.46834270170708E-07	1E10	0.100113965607407	1E-30	4.3982882426768E-11	0.401978864330677	1E-30	3.59277934491991E-11	0.189275331383407	3.99542450569791E-08	8.53913414489616E-12	5.67924409103596E-02	8.38584821830109E-09	1.24081664239341E-11	9.80542965697538E-02	9.28769942785606E-12	2.60684047727644E-10	23.0674331259878	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.0138715400778E-08	1E10	1E10	1E-30	3.79386596601462E-10	1E10	1E-30	1E10	7.19143337419289E-02	1.12884124119E-06	1E10	1613.9665197454	1.34216358813016E-06	1E10	270.85815311314	1.15967308189367E-06	1E10	58.4730035233143	1.08963970582426E-06	1E10	11.234914479176	8.31960468459926E-07	1E10	2.33893507765553	8.43252153251114E-07	1E10	0.431966551487434	4.13467582002862E-07	1E10	0.10934064679456	1E-30	3.0341455632337E-11	0.28087013172716	1E-30	7.15009863189997E-11	0.226128335302292	3.7288762064038E-08	1.95704305560222E-11	0.078944268078551	9.0501052161577E-09	2.42821054066339E-11	0.100985283032582	1.24041576539458E-11	1.47718382718606E-10	9.23516480821892	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.51874515200244E-08	1E10	6666666666.66667	1E-30	3.22416612534488E-10	1E10	1E-30	1E10	4.85502773208135E-02	1.75124852108427E-06	1E10	1093.09121825274	2.06483511624185E-06	1E10	190.566365249474	1.76868815787031E-06	1E10	42.1169936636074	1.66589689779503E-06	1E10	8.12794017882277	1.38344075159786E-06	1E10	1.65261010798497	9.46536839090511E-07	1E10	0.35618039480842	6.1976453798958E-07	1E10	5.27651177743798E-02	1E-30	4.86262125117857E-11	0.273004933139861	1E-30	8.10103576036814E-11	0.20022295781519	5.23033247889277E-08	3.10486265936819E-11	0.103009511192583	1.29322784359946E-08	4.15579410002942E-11	0.120572491042005	9.88869871221844E-12	2.53660819663577E-10	21.7292121905162	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.27140815496926E-08	1E10	4545454545.45455	1E-30	3.43576767908065E-10	1E10	1E-30	1E10	4.07739492675477E-02	2.42636742299223E-06	1E10	800.551116667959	2.77451959439647E-06	1E10	162.384149462812	2.3630152154394E-06	1E10	36.7376461548495	2.26650367475184E-06	1E10	7.46960703566465	1.901465267267E-06	1E10	1.54821320529448	1.48792468081295E-06	1E10	0.360727879142949	1.12069779026011E-06	1E10	6.42064953049367E-02	1E-30	3.83553918831019E-11	0.222138542014897	1E-30	7.22789097889951E-11	0.194954077685625	7.89348484001368E-08	2.44224468765367E-11	7.75770365177129E-02	1.53455196489505E-08	4.20227793357157E-11	0.105738073907246	1.49322077764912E-11	1.13632893572061E-10	7.21732161143232	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.23087144970189E-08	1E10	4545454545.45455	1E-30	3.91248641995221E-10	1E10	1E-30	1E10	3.26205422560962E-02	2.31199974255381E-06	1E10	798.175925009614	2.48805493449348E-06	1E10	185.686123632817	2.161947693322E-06	1E10	39.914064285213	2.16375611648874E-06	1E10	7.90655241695372	1.77874613217499E-06	1E10	1.64100192890942	1.27167930775035E-06	1E10	0.364494266781633	1.31764178502465E-06	1E10	5.55220869046952E-02	1E-30	1.21583112939369E-10	0.196040777227256	1E-30	2.34287109332637E-11	0.123956528023393	4.95845862013595E-08	6.60648632255976E-11	0.173200633428565	2.05292828162542E-08	5.6908529648995E-11	0.146009692526363	2.60069534841863E-11	7.33117614201405E-11	3.26908941296087	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	3.39615332533557E-08	1E10	3030303030.30303	1E-30	4.01942448426642E-10	1E10	1E-30	1E10	3.10141367239406E-02	4.3186099186757E-06	1E10	495.86968541577	4.53685132560575E-06	1E10	126.410460091251	4.10399849088494E-06	1E10	27.4262294746851	3.87766717306463E-06	1E10	5.94865893181009	3.40957410843185E-06	1E10	1.26558562746924	3.00360684145319E-06	1E10	0.307393943643722	1.88829587230478E-06	1E10	5.71772358518301E-02	1E-30	1.11386783070314E-11	0.133413299785375	1E-30	7.84354671170468E-11	0.131344100974612	1.0240026395615E-07	4.45329688610363E-11	0.101300925569545	2.28452894311207E-08	6.82435284931819E-11	0.118407845523654	1.45229342045035E-11	1.63356430139012E-10	12.2198744984417	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	4.74960896690605E-08	1E10	2127659574.46809	1E-30	3.25228373899065E-10	1E10	1E-30	1E10	2.44624409831701E-02	5.95219112033805E-06	1E10	310.479456867337	5.0091014183114E-06	1E10	131.658546037335	4.59617460306581E-06	1E10	26.7094112758532	4.53570130944826E-06	1E10	5.94687714893816	3.98748403142617E-06	1E10	1.2943960582359	3.48689625664447E-06	1E10	0.313362729211106	2.2935665814766E-06	1E10	6.07680777646597E-02	1E-30	9.77118780962011E-11	0.122983133574794	1E-30	3.23301697236329E-11	7.36425461848982E-02	1.32284545619569E-07	5.97893638783541E-11	0.114392893282495	3.34791950885582E-08	8.56870374339763E-11	0.109112874162183	2.62413163932416E-11	7.16009024567962E-11	3.12843374271406	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	6.8569730779714E-08	1E10	1470588235.29412	1E-30	3.79739122802378E-10	1E10	1E-30	1E10	2.96476737688363E-02	6.51481402433126E-06	1E10	269.665239993351	8.02061904740956E-06	1E10	42.3259095122048	6.69655172678713E-06	1E10	9.15395111897706	6.11493460539291E-06	1E10	1.63769714240337	5.03490467261005E-06	1E10	0.351074889553183	3.47682174221127E-06	1E10	5.19831102954122E-02	1E-30	2.33056905883528E-11	9.40187816646799E-02	1E-30	8.87467183583858E-11	6.53142035377258E-02	3.39306229864465E-07	1.94296748187154E-11	2.70980922149641E-02	6.19481763656128E-08	2.93585804252104E-11	3.66547159657937E-02	1.24838488687827E-11	1.44507297138105E-10	8.35528969042891	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	6.8569730779714E-08	1E10	1470588235.29412	1E-30	3.79739122802378E-10	1E10	1E-30	1E10	2.96476737688363E-02	6.51481402433126E-06	1E10	269.665239993351	8.02061904740956E-06	1E10	42.3259095122048	6.69655172678713E-06	1E10	9.15395111897706	6.11493460539291E-06	1E10	1.63769714240337	5.03490467261005E-06	1E10	0.351074889553183	3.47682174221127E-06	1E10	5.19831102954122E-02	1E-30	2.33056905883528E-11	9.40187816646799E-02	1E-30	8.87467183583858E-11	6.53142035377258E-02	3.39306229864465E-07	1.94296748187154E-11	2.70980922149641E-02	6.19481763656128E-08	2.93585804252104E-11	3.66547159657937E-02	1.24838488687827E-11	1.44507297138105E-10	8.35528969042891	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
