BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5.52189594930797E-09	1E10	1E10	1E-30	3.2166218269201E-11	1E10	1E-30	1E10	3.63278139747398E-03	1E-30	1.31813972981106E-10	0.490263637437037	1E-30	3.30737886792399E-11	6.12492763252001E-03	7.76183810336755E-09	1.0003705109914E-10	1.38440920830138	5.90992177198931E-09	4.47469606869795E-11	0.984410971910275	1.24958992913607E-08	9.16044391009187E-12	0.209377885056197	6.4083340729066E-09	1.03687835821644E-11	0.183939387441278	3.98499835966863E-12	3.5991094414661E-10	197.022822429989	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	6.68328460849745E-09	1E10	1E10	1E-30	1.32515671190818E-11	1E10	1E-30	1E10	3.76128081857939E-03	1E-30	1.3001093704147E-10	0.594905687975647	1E-30	2.28264452451111E-11	3.28137072200388E-03	8.90829245055488E-09	1.23120677033025E-10	1.33383333587318	4.41926152795912E-09	8.0722679837136E-11	1.07704903139032	9.32991469545487E-09	1.73303112764426E-11	0.338984879132885	7.83226141141029E-09	1.2262690853011E-11	0.302540187240526	3.72144939911555E-12	2.99165205644662E-10	139.390303904199	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	8.18727901181723E-09	1E10	1E10	1E-30	1.30715219575483E-11	1E10	1E-30	1E10	3.63716878014201E-03	1E-30	1.42412967118808E-10	0.451773333399098	1E-30	2.49608702112422E-11	2.82259622472845E-03	1.03699419056291E-08	1.44087456910864E-10	1.25587154149274	8.26692644397964E-09	6.46031092022757E-11	1.06185278930699	1.80041129894E-08	1.31907567300924E-11	0.313622519624879	9.8966657446387E-09	1.40393965153304E-11	0.29601377305252	3.51305357439457E-12	4.35174778251434E-10	146.447199552155	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	9.75318908765556E-09	1E10	1E10	1E-30	1.04479793557757E-11	1E10	1E-30	1E10	3.14721767989336E-03	1E-30	1.72021677436794E-10	0.448902307866589	1E-30	1.92568827440811E-11	2.25010611823565E-03	1.38248979076365E-08	1.48323558280268E-10	1.31320133874282	9.30141042475679E-09	7.93977017075567E-11	1.04248119325901	1.87020530847938E-08	1.79392632253926E-11	0.410081423817613	1.25017851206167E-08	1.64289751674412E-11	0.374084783398889	3.8010525555458E-12	3.14918712554258E-10	186.057914016749	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.7E-8	1E10	3703703703.7037	1E-30	1.04158300285896E-11	1E10	1E-30	1E10	2.96263408221271E-03	1E-30	1.24042242957357E-10	0.229356998674659	1E-30	2.06015807958645E-11	7.09152491521865E-04	4.07608822791268E-08	1.06066549132431E-10	0.578366318160176	2.19234399573205E-08	6.61514163396697E-11	0.387010007228198	5.17624918956683E-08	1.25958093216534E-11	0.128981179109177	3.20668986068953E-08	1.17722711203743E-11	0.11661358720139	3.82325448659206E-12	3.53326010786627E-10	192.515686664384	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	3.3E-8	1E10	3030303030.30303	1E-30	7.3248026542697E-12	1E10	1E-30	1E10	3.03364186756727E-03	1E-30	1.22705989087426E-10	0.184420054790974	1E-30	2.76584273211132E-11	9.52064933302648E-04	4.5527604672477E-08	1.31083253976498E-10	0.553709522768278	3.34976771177662E-08	6.40373209113098E-11	0.385257935250913	6.16656774164635E-08	1.52826175991733E-11	0.106432205897539	3.80843960050722E-08	1.46612210511662E-11	0.114180134742776	3.87066781489127E-12	4.81751322581265E-10	377.935320288569	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	3.9E-8	1E10	2564102564.10256	1E-30	1.71416700929688E-11	1E10	1E-30	1E10	2.62384066981021E-03	1E-30	1.64171859122659E-10	0.195993244575243	1E-30	2.75781389878675E-11	7.36892342046594E-04	6.21765596852219E-08	1.26530529926852E-10	0.586043840719334	3.72160666549027E-08	7.77530395374496E-11	0.465479354621038	7.76970252199468E-08	1.63620178364559E-11	0.116555333275275	4.31871681612488E-08	1.78468875148372E-11	0.107890422994401	4.02465356055151E-12	3.85372139719551E-10	295.443799561751	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	4.7E-8	1E10	2127659574.46809	1E-30	8.08665114589625E-12	1E10	1E-30	1E10	2.13798476200245E-03	1E-30	1.57894560597218E-10	0.242834034417018	1E-30	1.73727867266959E-11	2.99715066624866E-04	5.44082466560634E-08	1.99598505191887E-10	0.625017336011639	4.61864270133144E-08	9.26687873528302E-11	0.456303262956264	4.56009768910399E-08	4.31784558085147E-11	0.198674634905884	4.22048879321374E-08	2.70118582930865E-11	0.187334742027954	1.07854637870691E-10	2.00241122562037E-11	0.909666450219817	4.25238559240369E-12	2.5821185570148E-10	230.758306633558	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	6.92100839433247E-08	1E10	1470588235.29412	1E-30	2.52214564314483E-10	1E10	1E-30	1E10	2.10259823329459E-02	8.59905340851262E-06	1E10	287.217426886156	9.96945779655989E-06	1E10	57.0181615793434	8.71122399820379E-06	1E10	13.1329712245827	8.27342751913841E-06	1E10	2.79991460587697	6.88332769546378E-06	1E10	0.633901820810073	6.12227489873838E-06	1E10	0.113687279151633	4.27023577926521E-06	1E10	2.61586911377563E-02	1E-30	6.61288606452803E-11	0.078232583811884	1.22941215563301E-07	5.55434178271854E-11	0.055517429690402	4.78949303606147E-08	3.90146602129804E-11	4.92330951723308E-02	8.62347628042521E-12	4.94313817203233E-10	23.1433776665903	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
