BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.1920209276204E-10	1E10	1E9	1E-30	1.3E-10	1E10	1E-30	1E10	0.533306706709808	4.78192560065733E-08	1E10	53330.6706713407	3.85185515151636E-08	1E10	14688.4863931281	3.61873374243492E-08	1E10	1503.06251932992	3.77615682954758E-08	1E10	207.48038503974	2.92925235993693E-08	1E10	33.6493783461369	3.12347498216498E-08	1E10	6.58744702170867	1.35980962665431E-08	1E10	2.95025171632338	4.2977668335876E-09	1E10	1.38501994296899	9.4993627759714E-10	1E10	0.818645092078817	2.6E-12	1.10402641437326E-10	19.6889803438169	1.09017539484957E-12	1.29083693169695E-10	4.86634058592183	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	4.9332490812137E-10	1E10	1E9	1E-30	1.30891068506362E-10	1E10	1E-30	1E10	0.110761220605276	3.52975191320926E-08	1E10	87992.43735184	1.26008206523977E-07	1E10	4948.17838271625	7.74268666325658E-08	1E10	879.9243735184	6.50117288774982E-08	1E10	94.2855953374072	4.51746877566502E-08	1E10	12.1463375924535	2.14975617694762E-08	1E10	2.11779988648363	6.51211595400236E-09	1E10	0.579533665742857	9.4169517450389E-10	1E10	0.485065956773878	2.98597621768167E-09	2.12077173962315E-11	6.80060816626621E-02	4.794879599577E-12	1.03302664515487E-10	1.17825758387483	1.6E-12	1.86782393918915E-10	20.6152852697798	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	9.83789345823186E-10	1E10	1E9	1E-30	1.46604494372618E-10	1E10	1E-30	1E10	0.161709769421462	1.22798409926008E-07	1E10	22365.6452730991	4.80674739674837E-07	1E10	1620.24777061142	2.06881781375525E-07	1E10	793.563040174418	1.99339013317472E-07	1E10	141.117681491006	1.18761493863313E-07	1E10	23.9652206842219	8.4737008774716E-08	1E10	3.12295521543738	6.19540521779801E-08	1E10	0.715570411580482	2.15853337955413E-08	1E10	0.297453342328555	3.56193059211704E-09	1E10	0.20751270523933	1E-30	2.67290818754061E-11	0.671775098055808	2.67967361556079E-10	5.25153008757239E-11	0.277668740149153	1.9E-12	1.74418839161883E-10	22.077866747144	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.20007993340362E-09	1E10	1E9	1E-30	1.51E-10	1E10	1E-30	1E10	0.1558	3.96728073398608E-07	1E10	7455.56153884361	3.97147993816102E-07	1E10	1128.44490305251	3.58316326150181E-07	1E10	148.75800975386	3.35869115038371E-07	1E10	18.727523868706	3.25087419968578E-07	1E10	3.25764932552903	2.09736803821914E-07	1E10	0.704243432008408	1.06898007588661E-07	1E10	0.229240546797122	2.57850778723499E-08	1E10	0.115411732436782	1E-30	5.89153313562154E-11	0.555263916517484	3.7840853817128E-09	1.38206782947919E-11	8.54671482629825E-02	1.98E-12	1.48091775992229E-10	20.5001057735275	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	4.5932300748153E-09	1E10	1E9	1E-30	1.8E-10	1E10	1E-30	1E10	0.10042676469234	5.19796723552507E-07	1E10	3144.60332671971	7.66174352202407E-07	1E10	165.031128538876	7.01828766402192E-07	1E10	18.5167971754898	5.49522595435518E-07	1E10	2.4423180074733	3.97984708966903E-07	1E10	0.452715860271652	2.45302324109284E-07	1E10	9.93162764508749E-02	6.75562363664149E-08	1E10	5.88972061101298E-02	1E-30	1.97950261404702E-11	0.497503269604153	1E-30	5.30475950682402E-11	0.177764197287456	8.36288941845829E-09	1.44232992547814E-11	4.75777375283158E-02	3.24483691358915E-12	9.11420311998481E-11	14.0239870611133	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	9.6000435139648E-09	1E10	1E9	1E-30	1.6E-10	1E10	1E-30	1E10	7.41464888622533E-02	1.09786857901216E-06	1E10	3624.18021005529	1.92060125316038E-06	1E10	301.446179867126	1.4077339498076E-06	1E10	64.4480504581186	1.85870554449619E-06	1E10	6.59492383999492	1.37201807630065E-06	1E10	1.79663683081666	9.05140068883135E-07	1E10	0.472406097550989	3.50664013427299E-07	1E10	0.104906137420691	1E-30	5.57282373838291E-11	0.183155825216202	1.21578760836928E-08	2.08344744889773E-11	0.04363562133065	2E-12	1.48729722675416E-10	20.5625690286415	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	9.6000435139648E-09	1E10	1E9	1E-30	1.6E-10	1E10	1E-30	1E10	7.41464888622533E-02	1.09786857901216E-06	1E10	3624.18021005529	1.92060125316038E-06	1E10	301.446179867126	1.4077339498076E-06	1E10	64.4480504581186	1.85870554449619E-06	1E10	6.59492383999492	1.37201807630065E-06	1E10	1.79663683081666	9.05140068883135E-07	1E10	0.472406097550989	3.50664013427299E-07	1E10	0.104906137420691	1E-30	5.57282373838291E-11	0.183155825216202	1.21578760836928E-08	2.08344744889773E-11	0.04363562133065	2E-12	1.48729722675416E-10	20.5625690286415	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	9.65833952724979E-09	1E10	1E9	1E-30	1.80782180004821E-10	1E10	1E-30	1E10	4.86837755422762E-02	8.69239906557724E-07	1E10	1.77280121600498	7.38568940035824E-07	1E10	0.360202180350935	9.13354014331348E-07	1E10	6.28657359613494E-02	5.45133349308197E-07	1E10	2.35609189444137E-02	1E-30	5.76560945900588E-11	0.228222679395327	1.54931804757783E-07	4.43275748615866E-12	1.52806573846959E-02	9.51542718136714E-09	3.18819614780852E-11	7.36611788712362E-02	4.31183001024083E-12	6.52301312386736E-11	11.0641947732493	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	2.12011644107636E-08	1E10	1E9	1E-30	1.35E-10	1E10	1E-30	1E10	4.50887343092597E-02	2.23063482934372E-06	1E10	1656.28904591564	4.84962377708998E-06	1E10	109.429932064321	3.60078794223795E-06	1E10	23.3957046210324	3.31829702838111E-06	1E10	4.7962838085517	2.40261402724686E-06	1E10	0.829889805818134	1.56114981955438E-06	1E10	0.137849610749883	1.02052069713179E-06	1E10	0.01900773069777	1E-30	5.65574250197171E-11	0.15108976898887	1E-30	3.81361185025399E-12	0.129844960241109	1.74537053056082E-08	4.0601316010601E-11	4.04714380302411E-02	1.71E-12	1.60902904951209E-10	25	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	2.20422167939021E-08	1E10	1E9	1E-30	1.61708361900511E-10	1E10	1E-30	1E10	4.45270950998629E-02	2.49719986768621E-06	1E10	1593.33404938229	4.44778529878791E-06	1E10	120.866747939185	3.21097430848582E-06	1E10	21.0042334736957	3.07323506327423E-06	1E10	2.47870219938593	2.33184180021703E-06	1E10	0.39617868044745	1.16111884694231E-06	1E10	7.72743030539215E-02	1E-30	1.36380002566137E-11	0.342327299669154	1E-30	6.95946258146092E-11	0.14283092050546	2.66182156609591E-07	6.74421580660775E-12	8.98529401548625E-03	3.75368504580491E-08	2.02839825882345E-11	2.82131463988802E-02	2.61789184229866E-12	1.19418530730334E-10	21.4598780793457	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	2.23729880738119E-08	1E10	1E9	1E-30	1.82158281890393E-10	1E10	1E-30	1E10	2.89552844712658E-02	2.31103383529936E-06	1E10	1279.87332778581	6.55682020877919E-06	1E10	65.6397606221864	2.95504011216721E-06	1E10	30.7020227086762	5.68051905092452E-06	1E10	1.99446526492045	3.40403216005587E-06	1E10	1.0228842160898	2.19506187149616E-06	1E10	0.323588431611616	1.63598133561089E-06	1E10	7.92246886231677E-02	1.5884214579555E-06	1E10	1.25246154204524E-02	1E-30	2.15544995634981E-11	0.451436383203267	1E-30	8.90195738836052E-11	0.132081892160099	2.89127090463648E-07	6.79259086660137E-12	1.70872118226376E-02	5.63700378531533E-08	1.61951249233387E-11	3.45524632308703E-02	7.66100940283948E-12	3.65672816602513E-11	9.11377393843049	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	4.57325167942203E-08	1E10	1E9	1E-30	1.92811537144251E-10	1E10	1E-30	1E10	2.32931112099545E-02	5.97352444520185E-06	1E10	533.262406272882	7.64732740557448E-06	1E10	70.2976760488032	6.05344637808743E-06	1E10	11.6665102793881	5.80079901242426E-06	1E10	1.34379281125315	4.87455930288588E-06	1E10	0.20246044481408	2.90259619114178E-06	1E10	0.045831654624226	1E-30	1.66532900987872E-11	0.2901530990831	1E-30	7.53777064896502E-11	0.110022744594638	1.46157837249818E-06	2.8412788441178E-12	5.75908076584073E-03	5.17905856769637E-08	3.81914610678958E-11	3.32323752596228E-02	9.12524660742427E-12	3.76448152130118E-11	6.24134114809145	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
13	4.63654113870529E-08	1E10	1E9	1E-30	1.46499848167843E-10	1E10	1E-30	1E10	2.18650380116814E-02	5.91546605428369E-06	1E10	624.562122303866	8.26173670681206E-06	1E10	70.0770227082937	6.70730336507007E-06	1E10	15.6882912064991	5.9105976204744E-06	1E10	2.2160300340155	4.57056283782242E-06	1E10	0.296962213556961	3.67609649224346E-06	1E10	0.045740951391231	4.58824621888716E-06	1E10	7.3809697415444E-03	1E-30	1.82153711127825E-11	0.3116959030118	1E-30	7.34509168764516E-11	0.108732558667206	1.7041675409249E-06	2.49664988041356E-12	5.5920585848086E-03	4.78470724748179E-08	4.34785155494524E-11	3.58295336698402E-02	3.5964568635371E-12	7.9708380078699E-11	26.7475724879157	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
