BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9.69250658556823E-08	1E10	1E9	1E-30	2.61499194019534E-12	1E10	1E-30	1E10	4.81704031320967E-04	1.31520779814797E-05	1E10	5.97240634387371E-02	1E-30	1.41408042190208E-10	1.99430775563366E-02	1E-30	6.71314382525725E-09	1.91521963870906E-02	3.44963646112951E-07	3.52473050812253E-11	4.30952884067854E-02	6.76327922424885E-08	5.10228771004933E-11	5.21478049238598E-02	1.20475898529422E-08	4.97949409421941E-11	5.28452805986288E-02	5.31021083216166E-12	1.01386234768018E-09	149.424217764137	6.76906052697423E-12	4.70768734532549E-10	54.4237726534875	1.57506375657491E-11	5.89137486481924E-11	5.6407278741783	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.28850285636511E-07	1E10	1E10	1E-30	3.03028479436122E-10	1E10	1E-30	1E10	1.19523753980804E-02	2.89098822352374E-05	1E10	5.01187233627267E-02	1E-30	1.83393411540003E-10	9.12010839355899E-02	1E-30	3.95465392282496E-12	2.51188643150955E-02	1E-30	2.98489197319049E-10	8.91250938133735E-03	3.12360687435147E-07	1.05015224806735E-10	0.159261915393512	1.52864555973923E-07	7.79608793976459E-11	0.162307910615642	2.84141760576267E-07	1.94944655780252E-11	2.44599616049681E-02	2.088740897687E-07	1.546734519672E-11	3.92072138549476E-02	4.05074539248573E-12	9.63100355995957E-10	202.58455759999	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.47366748392422E-07	1E10	666666666.666667	1E-30	1.62550162520615E-11	1E10	1E-30	1E10	1.62187852617313E-02	3.81724957597607E-05	1E10	3.95221668838411E-02	1E-30	1.38242321873276E-10	0.136600932750993	1E-30	2.17621343916467E-10	1.43469619698425E-02	5.70032291418929E-07	4.02796464770139E-11	4.50637264096812E-02	7.84943338134968E-08	8.35699862357326E-11	4.81097156326211E-02	3.94742512757158E-12	1.14189477444776E-09	263.053030505601	1.49956919510318E-11	2.01038500606616E-10	28.1534600733203	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.20356835740431E-07	1E10	454545454.545455	1E-30	3.16213496434584E-11	1E10	1E-30	1E10	1.23359299350687E-02	5.81546920947657E-05	1E10	3.61605585321646E-02	1E-30	2.58407441461675E-10	9.32981574043615E-02	1E-30	7.75449336770588E-12	0.062141107920158	1E-30	3.11453560040406E-10	7.19163363828694E-03	6.94936297298041E-07	6.63487627906743E-11	6.10533626603058E-02	2.67909152268825E-07	5.79151512763058E-11	4.98939545073794E-02	6.06419216439804E-12	7.61674852330808E-10	144.865130618979	5.82370648474142E-12	5.23420739607231E-10	66.7069023015441	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.18864434153935E-07	1E10	454545454.545455	1E-30	1.75295835486652E-12	1E10	1E-30	1E10	2.55245948716621E-03	2.58078648512241E-05	1E10	2.91189929457625E-02	1E-30	8.10595328119978E-11	8.96674420781313E-02	1E-30	1.49759806498111E-10	1.44277823939661E-02	1E-30	4.5975200611888E-09	1.41621024023779E-02	1.03453759380545E-06	2.62642041107484E-11	1.95411547456115E-02	9.78068930056956E-08	7.14980032264457E-11	4.07007416750422E-02	7.18756041683641E-12	7.93126066904794E-10	110.839599460229	4.53226557005063E-12	6.81816749285857E-10	109.441727142372	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.25696978427754E-07	1E10	1E10	1E-30	3.94174904163912E-10	1E10	1E-30	1E10	1.02024355436598E-02	6.77713789833491E-05	1E10	2.13796208950221E-02	1E-30	2.05153873105957E-12	0.093325430079698	1E-30	3.16896403628158E-10	7.76247116628682E-02	1E-30	4.4570256345797E-10	7.41310241300908E-03	5.72261047907592E-07	1.05158524706497E-10	0.106247928251169	2.82998771146086E-07	7.44602324262392E-11	0.107953665989957	4.17196337796869E-12	8.9302990539958E-10	228.783994058532	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.57215922260524E-07	1E10	370370370.37037	1E-30	3.38682478247928E-12	1E10	1E-30	1E10	1.75251918732121E-03	3.47485810724128E-05	1E10	2.31734850325984E-02	1E-30	1.4821042204807E-11	9.24041314749209E-02	1E-30	3.38687052215716E-10	8.09756798327817E-02	1E-30	3.08135852456961E-09	1.13164463644465E-02	1E-30	5.12474752011543E-11	2.01586821271709E-03	7.89577740014172E-07	7.83740891416489E-11	0.074769314527038	5.09845173028201E-07	4.36479957317766E-11	6.58354311821938E-02	3.31192102607355E-12	1.12800489939225E-09	427.947463082893	2.02296246739896E-11	1.00051292551072E-10	9.63676618340866	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.22459385595558E-07	1E10	303030303.030303	1E-30	7.60306164463411E-12	1E10	1E-30	1E10	1.07164305800078E-02	8.68496608397826E-05	1E10	2.92529218074113E-02	1E-30	5.36149352193801E-11	0.354240862044504	1E-30	2.13116966963132E-10	7.92909198488002E-02	1E-30	2.61047444895721E-10	6.78000363360357E-03	8.95034669925219E-07	6.3118060058542E-11	4.25607120503733E-02	3.15309899350285E-07	5.77696542280198E-11	4.72309660040735E-02	4.81976882153528E-12	8.95079105948337E-10	168.967083058311	8.84735303177652E-12	3.51853937121336E-10	58.2901193540617	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.22459385595558E-07	1E10	303030303.030303	1E-30	7.60306164463411E-12	1E10	1E-30	1E10	1.07164305800078E-02	8.68496608397826E-05	1E10	2.92529218074113E-02	1E-30	5.36149352193801E-11	0.354240862044504	1E-30	2.13116966963132E-10	7.92909198488002E-02	1E-30	2.61047444895721E-10	6.78000363360357E-03	8.95034669925219E-07	6.3118060058542E-11	4.25607120503733E-02	3.15309899350285E-07	5.77696542280198E-11	4.72309660040735E-02	4.81976882153528E-12	8.95079105948337E-10	168.967083058311	8.84735303177652E-12	3.51853937121336E-10	58.2901193540617	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
