BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.08078609413286E-10	1E10	1E10	1E-30	7.02693379005334E-13	1E10	1E-30	1E10	1.58113486836041E-03	2.76263529736322E-10	1E10	1.67391604684397E-03	1E-30	1.22719080423107E-10	0.169941942986104	1E-30	1.09399621757662E-12	8.48424882799669E-03	1E-30	3.35676530349354E-13	3.89946166933644E-03	6.29674440746746E-12	7.97836835539509E-10	166.832443183697	5.59537672551267E-12	7.83768669772324E-10	280.498032921382	2.759719264108E-10	4.64227146933455E-12	1.02825212245971	4.80503018568355E-09	1.63534171976469E-13	8.71687020184169E-02	3.89643672972379E-10	1.39829755905771E-12	0.256788627931122	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.08078609413286E-10	1E10	1E10	1E-30	7.02693379005334E-13	1E10	1E-30	1E10	1.58113486836041E-03	2.76263529736322E-10	1E10	1.67391604684397E-03	1E-30	1.22719080423107E-10	0.169941942986104	1E-30	1.09399621757662E-12	8.48424882799669E-03	1E-30	3.35676530349354E-13	3.89946166933644E-03	6.29674440746746E-12	7.97836835539509E-10	166.832443183697	5.59537672551267E-12	7.83768669772324E-10	280.498032921382	2.759719264108E-10	4.64227146933455E-12	1.02825212245971	4.80503018568355E-09	1.63534171976469E-13	8.71687020184169E-02	3.89643672972379E-10	1.39829755905771E-12	0.256788627931122	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.5E-10	1E10	1E10	1E-30	5.00381316412981E-12	1E10	1E-30	1E10	2.85242515254967E-04	1E-30	1.07378258683137E-10	6.95512346614681E-02	8.81257729246714E-09	2.99616818169096E-11	6.43556560422052E-02	1.40931789134388E-10	6.83368005255712E-11	6.36737050280341	2.85331517141198E-12	1.58800584491486E-09	497.546965777738	4.16191098693616E-11	6.56183565447908E-11	8.08917703146174	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.5E-10	1E10	1E10	1E-30	5.00381316412981E-12	1E10	1E-30	1E10	2.85242515254967E-04	1E-30	1.07378258683137E-10	6.95512346614681E-02	8.81257729246714E-09	2.99616818169096E-11	6.43556560422052E-02	1.40931789134388E-10	6.83368005255712E-11	6.36737050280341	2.85331517141198E-12	1.58800584491486E-09	497.546965777738	4.16191098693616E-11	6.56183565447908E-11	8.08917703146174	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.05315946175338E-10	1E10	1E10	1E-30	3.53824130866244E-11	1E10	1E-30	1E10	8.02534655452165E-04	1E-30	1.16909643593989E-11	0.138324135230778	1E-30	1.329441740616E-10	7.37557309630227E-02	9.18507221426568E-08	4.77127460558801E-12	2.53338585495591E-02	5.08290256068736E-10	4.09888437583396E-11	3.27848475539469	2.27404838941841E-08	5.44196715205255E-13	3.31192262484508E-02	1.88841741662199E-11	3.16307668466325E-10	31.0631410226825	4.757730657353E-12	8.45589597918417E-10	217.304358219042	8.33204314598285E-12	4.69009308922943E-10	477.381734955245	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.05315946175338E-10	1E10	1E10	1E-30	3.53824130866244E-11	1E10	1E-30	1E10	8.02534655452165E-04	1E-30	1.16909643593989E-11	0.138324135230778	1E-30	1.329441740616E-10	7.37557309630227E-02	9.18507221426568E-08	4.77127460558801E-12	2.53338585495591E-02	5.08290256068736E-10	4.09888437583396E-11	3.27848475539469	2.27404838941841E-08	5.44196715205255E-13	3.31192262484508E-02	1.88841741662199E-11	3.16307668466325E-10	31.0631410226825	4.757730657353E-12	8.45589597918417E-10	217.304358219042	8.33204314598285E-12	4.69009308922943E-10	477.381734955245	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	3.13574388621047E-10	1E10	1E10	1E-30	2.09826845651308E-11	1E10	1E-30	1E10	3.5539478596383E-03	1.6332775175486E-06	1E10	2.60736038313617E-02	1E-30	1.12783650888732E-10	6.81737535783378E-02	7.89961958688819E-10	5.49907593900038E-11	3.1442446110716	1.5853453286571E-10	8.17392156597057E-11	6.69422599349698	2.73129660557605E-10	2.12162340428753E-11	4.37679037140539	4.20644149784973E-12	9.18576176913426E-10	399.561315741357	1.02516302565217E-11	3.67476580703108E-10	138.881808917347	2.27961286731847E-11	1.44267086494662E-10	45.1385080713071	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.13574388621047E-10	1E10	1E10	1E-30	2.09826845651308E-11	1E10	1E-30	1E10	3.5539478596383E-03	1.6332775175486E-06	1E10	2.60736038313617E-02	1E-30	1.12783650888732E-10	6.81737535783378E-02	7.89961958688819E-10	5.49907593900038E-11	3.1442446110716	1.5853453286571E-10	8.17392156597057E-11	6.69422599349698	2.73129660557605E-10	2.12162340428753E-11	4.37679037140539	4.20644149784973E-12	9.18576176913426E-10	399.561315741357	1.02516302565217E-11	3.67476580703108E-10	138.881808917347	2.27961286731847E-11	1.44267086494662E-10	45.1385080713071	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.92150417583923E-10	1E10	1E10	1E-30	1.31390588419766E-09	1E10	1E-30	1E10	7.4993525702479E-03	2.14440514094001E-08	1E10	436262.953811623	8.51737102226205E-09	1E10	3875.12518966886	5.55067751347965E-08	1E10	42.3248614063598	1E-30	5.03611675904276E-11	8.76613449291518E-02	1E-30	5.81617323170728E-11	1.49939814463649E-02	6.58737234828995E-06	2.51969272381686E-10	0.243312450120885	1.21538047587512E-09	6.89183878221999E-11	3.52352378970692	4.06280787330292E-10	6.35124801165456E-11	3.39644951438037	1.25314660123506E-09	9.68264289537597E-12	1.08345271230605	2.63267031568294E-10	2.67052565658553E-11	1.9858520412532	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	4.92150417583923E-10	1E10	1E10	1E-30	1.31390588419766E-09	1E10	1E-30	1E10	7.4993525702479E-03	2.14440514094001E-08	1E10	436262.953811623	8.51737102226205E-09	1E10	3875.12518966886	5.55067751347965E-08	1E10	42.3248614063598	1E-30	5.03611675904276E-11	8.76613449291518E-02	1E-30	5.81617323170728E-11	1.49939814463649E-02	6.58737234828995E-06	2.51969272381686E-10	0.243312450120885	1.21538047587512E-09	6.89183878221999E-11	3.52352378970692	4.06280787330292E-10	6.35124801165456E-11	3.39644951438037	1.25314660123506E-09	9.68264289537597E-12	1.08345271230605	2.63267031568294E-10	2.67052565658553E-11	1.9858520412532	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	6.84264684573033E-10	1E10	1E10	1E-30	2.30898191161153E-12	1E10	1E-30	1E10	0.02583027425496	7.36323128672059E-09	1E10	601.440828598987	4.13695686480202E-07	1E10	17.1717520598002	1E-30	1.56138771694075E-10	5.44516209580312E-02	1E-30	1.02431331689717E-12	1.20511859249558E-03	1.80128833711764E-09	3.29214692074133E-11	1.09941191672232	2.93166727204171E-10	5.71334519001796E-11	2.7097864701136	2.54483056764894E-12	1.64026034914712E-09	366.783607608797	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	6.84264684573033E-10	1E10	1E10	1E-30	2.30898191161153E-12	1E10	1E-30	1E10	0.02583027425496	7.36323128672059E-09	1E10	601.440828598987	4.13695686480202E-07	1E10	17.1717520598002	1E-30	1.56138771694075E-10	5.44516209580312E-02	1E-30	1.02431331689717E-12	1.20511859249558E-03	1.80128833711764E-09	3.29214692074133E-11	1.09941191672232	2.93166727204171E-10	5.71334519001796E-11	2.7097864701136	2.54483056764894E-12	1.64026034914712E-09	366.783607608797	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
13	1E-9	1E10	1E10	1E-30	1.40557501784121E-09	1E10	1E-30	1E10	6.74117793458798E-03	4.80420068216258E-08	1E10	22.1126202916338	1.97148437884289E-07	1E10	12.0233843128731	5.1270797600421E-07	1E10	11.2302829474765	9.90279385051746E-05	1E10	9.97093282918352E-03	1E-30	2.06864835311408E-10	6.21777962849349E-02	3.04703240515032E-05	5.03688155742125E-11	0.218146906080453	2.70528117238035E-09	4.70379978021971E-11	1.11058192516701	6.52045404535341E-10	5.71565285280073E-11	1.8559873838001	4.93121570297301E-09	3.34199501385684E-12	0.267490062964427	7.84727487172556E-10	1.19606509424335E-11	0.629056938191201	8.40179993011693E-12	1.55353629737625E-10	5.78869691230937	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
