BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.0214933904618E-08	1E10	1E10	1E-30	6.36460348775211E-11	1E10	1E-30	1E10	0.028	1.21995103977611E-06	1E10	3028.46254711824	2.76953584221398E-06	1E10	302.846254711824	1.41868159362462E-06	1E10	107.453906050997	1.43289661270479E-06	1E10	11.7820865075336	1.24326561371985E-06	1E10	1.87317876660493	1.04879301783248E-06	1E10	0.297304717285086	6.34261364093958E-07	1E10	8.06069082657811E-02	6.850244928392E-07	1E10	1.29714604785258E-02	1E-30	2.46273668248908E-11	0.12973587013257	1.66640186151062E-08	1.30515013955954E-11	6.82644820395092E-02	5.58001786776605E-09	1.10367060721426E-11	6.64465281535573E-02	7.37484736474783E-12	3.92063497719951E-11	7.44265204793023	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.0214933904618E-08	1E10	1E10	1E-30	6.36460348775211E-11	1E10	1E-30	1E10	0.028	1.21995103977611E-06	1E10	3028.46254711824	2.76953584221398E-06	1E10	302.846254711824	1.41868159362462E-06	1E10	107.453906050997	1.43289661270479E-06	1E10	11.7820865075336	1.24326561371985E-06	1E10	1.87317876660493	1.04879301783248E-06	1E10	0.297304717285086	6.34261364093958E-07	1E10	8.06069082657811E-02	6.850244928392E-07	1E10	1.29714604785258E-02	1E-30	2.46273668248908E-11	0.12973587013257	1.66640186151062E-08	1.30515013955954E-11	6.82644820395092E-02	5.58001786776605E-09	1.10367060721426E-11	6.64465281535573E-02	7.37484736474783E-12	3.92063497719951E-11	7.44265204793023	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.06342593462541E-08	1E10	1E10	1E-30	5.51428189109932E-11	1E10	1E-30	1E10	2.64498175615831E-02	1.31106802099397E-06	1E10	2094.83080399102	2.29878333987773E-06	1E10	251.85405721794	1.75941356508068E-06	1E10	69.3663673441824	1.49152812648064E-06	1E10	12.6226038214864	1.34442392778749E-06	1E10	1.81993161671214	1.11780760652054E-06	1E10	0.266789337027087	9.12579346259076E-07	1E10	8.04141349767334E-02	5.94016920618066E-07	1E10	2.35720237882701E-02	1E-30	3.28498534446132E-11	0.185617308972296	1.56171226291529E-08	2.26323812254656E-11	0.10968224050768	4.8475546259E-09	2.0337612446946E-11	9.54746475703779E-02	5.13452950204147E-12	5.23127406378108E-11	9.86830945514874	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.36084939038692E-08	1E10	1E10	1E-30	5.91138151539984E-11	1E10	1E-30	1E10	0.017760389817216	3.07409938119194E-06	1E10	1201.84014085042	5.80473625678534E-06	1E10	151.302709423087	4.28594678251337E-06	1E10	47.8461177931576	3.83460170022482E-06	1E10	10.467590036284	6.05318138868641E-06	1E10	1.62123774081594	2.62453257828161E-06	1E10	0.769487848699605	2.19325224179126E-06	1E10	0.114254563434484	1.35341039138116E-06	1E10	0.026284984113013	3.75077221001738E-08	1.55949686334038E-11	5.62058147370701E-02	1.16634738257834E-08	1.43422969644063E-11	5.92655569134532E-02	2.13206339272846E-10	4.02455712139631E-11	0.301572816495986	6.16460185736806E-12	4.98896921375433E-11	6.76663032094967	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.36084939038692E-08	1E10	1E10	1E-30	5.91138151539984E-11	1E10	1E-30	1E10	0.017760389817216	3.07409938119194E-06	1E10	1201.84014085042	5.80473625678534E-06	1E10	151.302709423087	4.28594678251337E-06	1E10	47.8461177931576	3.83460170022482E-06	1E10	10.467590036284	6.05318138868641E-06	1E10	1.62123774081594	2.62453257828161E-06	1E10	0.769487848699605	2.19325224179126E-06	1E10	0.114254563434484	1.35341039138116E-06	1E10	0.026284984113013	3.75077221001738E-08	1.55949686334038E-11	5.62058147370701E-02	1.16634738257834E-08	1.43422969644063E-11	5.92655569134532E-02	2.13206339272846E-10	4.02455712139631E-11	0.301572816495986	6.16460185736806E-12	4.98896921375433E-11	6.76663032094967	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.16301414284261E-08	1E10	1E10	1E-30	6.25610005872094E-11	1E10	1E-30	1E10	2.03319295237059E-02	3.38174738215884E-06	1E10	1176.57327046036	3.76017065497955E-06	1E10	240.225429098284	3.16439836830665E-06	1E10	44.7320681423232	3.00991865748061E-06	1E10	5.76260667306546	2.46959544547215E-06	1E10	0.786376362760572	1.99405260398901E-06	1E10	0.12604457583345	1.26910745972259E-06	1E10	2.58930627840289E-02	1E-30	3.21822467033212E-11	0.14281695807981	3.97984863028063E-08	1.55435538144225E-11	4.24200125024435E-02	1.25828822289362E-08	1.37988710994814E-11	4.57207418249116E-02	5.26183053247776E-12	8.69454864808509E-11	12.5144486309569	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.19226993351966E-08	1E10	1E10	1E-30	4.32183049433558E-11	1E10	1E-30	1E10	1.88483138649162E-02	2.59106823055053E-06	1E10	1324.00251668775	7.34741820798973E-06	1E10	118.00184850894	3.69664849141305E-06	1E10	51.5096751077579	4.76725278196421E-06	1E10	10.5169258185109	4.25332160804316E-06	1E10	3.10376485117552	2.59148357043767E-06	1E10	0.794570971742867	1.77568960222008E-06	1E10	0.130664241207159	1.15068730670277E-06	1E10	2.85501518109716E-02	1E-30	3.99527472599554E-11	0.130863803647322	3.14420744920813E-08	2.36540594096795E-11	8.50993326401974E-02	1.78232935413723E-08	1.3098990305113E-11	5.60505090422969E-02	3.65281546024426E-12	5.94347902609184E-11	8.18335662954159	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	4.8120083402796E-08	1E10	1E10	1E-30	8.74794942572212E-11	1E10	1E-30	1E10	1.35082029192013E-02	7.95636690031904E-06	1E10	464.354658296583	7.88459500349784E-06	1E10	103.956058932124	6.87813269761591E-06	1E10	16.475925011661	7.04580455952092E-06	1E10	2.67208215472403	5.50306458678866E-06	1E10	0.429703152953589	5.27802448660855E-06	1E10	6.47109032805744E-02	3.03899244306921E-06	1E10	1.76954479246799E-02	1E-30	2.7253253694429E-11	8.97457463747944E-02	7.31195838301405E-08	1.53818294812064E-11	3.28671537114736E-02	2.36651190846158E-08	1.25320923995582E-11	2.86832822238322E-02	9.34193292388134E-12	3.55034368103948E-11	4.75460784351404	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.67153503994244E-08	1E10	1E10	1E-30	6.67821895674257E-11	1E10	1E-30	1E10	1.49464952254495E-02	5.53422793495568E-06	1E10	619.884272653483	8.51797526548419E-06	1E10	72.8300516286046	1.06268125724775E-05	1E10	12.3683172886739	6.86851923811655E-06	1E10	4.00230902150792	5.49977909770492E-06	1E10	0.551572927974791	4.4257918115675E-06	1E10	0.077832073505017	3.16166639047895E-06	1E10	1.82448010794878E-02	1E-30	3.62692289381915E-11	9.24587942439893E-02	6.89604487085847E-08	1.89207973238721E-11	2.88937920616434E-02	4.61851334937357E-08	7.74715998161409E-12	2.06506074906414E-02	5.09771376161721E-12	9.93783315326683E-11	14.6090733939216	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
