BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7.26E-15	1E-30	1E-10	1E10	1.38E-9	0.0197	1E10	1E-30	3500	1E10	3.78E-8	114	1E10	1.34E-8	4.96	1E10	1.26E-7	23.3	8.23E-14	7.81E-10	0.603	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	7.26E-15	1E-30	1E-10	1E10	1.38E-9	0.0197	1E10	1E-30	3500	1E10	3.78E-8	114	1E10	1.34E-8	4.96	1E10	1.26E-7	23.3	8.23E-14	7.81E-10	0.603	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	7.26E-15	1E-30	1E-10	1E10	1.38E-9	0.0197	1E10	1E-30	3500	1E10	3.78E-8	114	1E10	1.34E-8	4.96	1E10	1.26E-7	23.3	8.23E-14	7.81E-10	0.603	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	6.18E-17	1E-30	1E-10	1E10	1.55E-9	0.0193	1E10	1E-30	3580	1E10	4.89E-8	177	1E10	2.85E-8	20.7	1E10	1.51E-8	2.5	3.43E-15	3.74E-8	97.8	1.1E-13	7.35E-10	0.554	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	6.18E-17	1E-30	1E-10	1E10	1.55E-9	0.0193	1E10	1E-30	3580	1E10	4.89E-8	177	1E10	2.85E-8	20.7	1E10	1.51E-8	2.5	3.43E-15	3.74E-8	97.8	1.1E-13	7.35E-10	0.554	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	6.18E-17	1E-30	1E-10	1E10	1.55E-9	0.0193	1E10	1E-30	3580	1E10	4.89E-8	177	1E10	2.85E-8	20.7	1E10	1.51E-8	2.5	3.43E-15	3.74E-8	97.8	1.1E-13	7.35E-10	0.554	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	6.18E-17	1E-30	1E-10	1E10	1.65E-9	0.0216	1E10	1E-30	3500	1E10	4.56E-8	155	1E10	2.85E-8	16.4	1E10	1.7E-8	2.8	3.59E-15	3.74E-8	30.2	1.45E-13	7.69E-10	0.82	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	6.18E-17	1E-30	1E-10	1E10	1.65E-9	0.0216	1E10	1E-30	3500	1E10	4.56E-8	155	1E10	2.85E-8	16.4	1E10	1.7E-8	2.8	3.59E-15	3.74E-8	30.2	1.45E-13	7.69E-10	0.82	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	6.18E-17	1E-30	1E-10	1E10	1.65E-9	0.0216	1E10	1E-30	3500	1E10	4.56E-8	155	1E10	2.85E-8	16.4	1E10	1.7E-8	2.8	3.59E-15	3.74E-8	30.2	1.45E-13	7.69E-10	0.82	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
