BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6.94E-15	1E-30	1E-10	1E10	7.7E-10	0.0117	1E10	1E-30	18400	1E10	9.33E-8	379	1E10	6.67E-8	40.3	1E10	3.89E-6	461	3.75E-16	3.27E-7	350	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	6.94E-15	1E-30	1E-10	1E10	9.69E-10	7.23E-3	1E10	1E-30	18400	1E10	9.33E-8	379	1E10	3.19E-8	15.3	1E10	4.47E-7	34.2	3.75E-16	3.27E-7	350	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	6.94E-15	1E-30	1E-10	1E10	1.22E-9	0.0245	1E10	1E-30	18400	1E10	1.74E-7	706	1E10	4.21E-8	20.2	1E10	1.62E-5	1630	3.75E-16	3.27E-7	350	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.7E-14	1E-30	1E-10	1E10	1.85E-9	0.0323	1E10	1E-30	18400	1E10	1.02E-7	416	1E10	4.02E-8	19.3	1E10	5.13E-8	5.17	4.03E-14	2.54E-9	4.29	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	1.26E-14	1E-30	1E-10	1E10	2.43E-9	0.05	1E10	1E-30	24200	1E10	1.02E-7	456	1E10	4.3E-8	20.7	1E10	5.13E-8	5.17	3.2E-14	2.02E-9	4.29	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1.55E-14	1E-30	1E-10	1E10	3.13E-9	0.063	1E10	1E-30	20600	1E10	1.15E-7	466	1E10	6.22E-8	29.9	1E10	5.13E-8	5.17	7.68E-14	1.27E-9	2.53	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.58E-14	1E-30	1E-10	1E10	3.86E-9	0.074	1E10	1E-30	20600	1E10	1.32E-7	488	1E10	6.98E-8	33.5	1E10	6.61E-8	6.66	4.12E-14	1.72E-9	4.01	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.35E-16	1E-30	1E-10	1E10	4.74E-9	0.0812	1E10	1E-30	22100	1E10	1.62E-7	601	1E10	8.02E-8	38.5	1E10	7.25E-8	7.3	9.67E-14	1.11E-9	2.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1.7E-14	1E-30	1E-10	1E10	5.7E-9	0.0812	1E10	1E-30	25400	1E10	1.78E-7	615	1E10	1.16E-7	55.7	1E10	7.25E-8	7.3	9.89E-14	1.13E-9	2.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
