BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.53E-14	1E-30	1E-10	1E10	6.72E-10	0.0155	1E10	1E-30	1680	1E10	1.41E-8	62.4	1E10	7.15E-9	4.79	1E10	4.08E-9	0.0793	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	4.53E-14	1E-30	1E-10	1E10	6.72E-10	0.0155	1E10	1E-30	1680	1E10	1.41E-8	62.4	1E10	7.15E-9	4.79	1E10	4.08E-9	0.0793	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	4.53E-14	1E-30	1E-10	1E10	6.72E-10	0.0155	1E10	1E-30	1680	1E10	1.41E-8	62.4	1E10	7.15E-9	4.79	1E10	4.08E-9	0.0793	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	4.53E-14	1E-30	1E-10	1E10	6.75E-10	0.0183	1E10	1E-30	2650	1E10	1.4E-8	59.6	1E10	1.68E-8	12.9	1E10	2.69E-8	5.74	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.53E-14	1E-30	1E-10	1E10	6.75E-10	0.0183	1E10	1E-30	2650	1E10	1.4E-8	59.6	1E10	1.68E-8	12.9	1E10	2.69E-8	5.74	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	4.53E-14	1E-30	1E-10	1E10	6.75E-10	0.0183	1E10	1E-30	2650	1E10	1.4E-8	59.6	1E10	1.68E-8	12.9	1E10	2.69E-8	5.74	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	3.76E-14	1E-30	1E-10	1E10	8.7E-10	0.0209	1E10	1E-30	7300	1E10	6.09E-9	2.89	1E10	8.09E-8	78.7	1E10	2.08E-8	93.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	3.76E-14	1E-30	1E-10	1E10	8.7E-10	0.0209	1E10	1E-30	7300	1E10	6.09E-9	2.89	1E10	8.09E-8	78.7	1E10	2.08E-8	93.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	3.76E-14	1E-30	1E-10	1E10	8.7E-10	0.0209	1E10	1E-30	7300	1E10	6.09E-9	2.89	1E10	8.09E-8	78.7	1E10	2.08E-8	93.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	4.53E-14	1E-30	1E-10	1E10	9.34E-10	0.0296	1E10	1E-30	5410	1E10	2.62E-8	172	1E10	1.88E-8	24.6	1E10	1.18E-8	5.24	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	4.53E-14	1E-30	1E-10	1E10	9.34E-10	0.0296	1E10	1E-30	5410	1E10	2.62E-8	172	1E10	1.88E-8	24.6	1E10	1.18E-8	5.24	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	4.53E-14	1E-30	1E-10	1E10	9.34E-10	0.0296	1E10	1E-30	5410	1E10	2.62E-8	172	1E10	1.88E-8	24.6	1E10	1.18E-8	5.24	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	4.53E-14	1E-30	1E-10	1E10	1.12E-9	0.0355	1E10	1E-30	3930	1E10	2.5E-8	122	1E10	1.49E-8	12	1E10	2.4E-8	5.12	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	4.53E-14	1E-30	1E-10	1E10	1.12E-9	0.0355	1E10	1E-30	3930	1E10	2.5E-8	122	1E10	1.49E-8	12	1E10	2.4E-8	5.12	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	4.53E-14	1E-30	1E-10	1E10	1.12E-9	0.0355	1E10	1E-30	3930	1E10	2.5E-8	122	1E10	1.49E-8	12	1E10	2.4E-8	5.12	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	4.85E-14	1E-30	1E-10	1E10	1.2E-9	0.0447	1E10	1E-30	3840	1E10	2.23E-8	113	1E10	1.19E-8	9.56	1E10	9.57E-8	1.58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	4.85E-14	1E-30	1E-10	1E10	1.2E-9	0.0447	1E10	1E-30	3840	1E10	2.23E-8	113	1E10	1.19E-8	9.56	1E10	9.57E-8	1.58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	4.85E-14	1E-30	1E-10	1E10	1.2E-9	0.0447	1E10	1E-30	3840	1E10	2.23E-8	113	1E10	1.19E-8	9.56	1E10	9.57E-8	1.58	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	5.44E-14	1E-30	1E-10	1E10	1.26E-9	0.0525	1E10	1E-30	4020	1E10	3.54E-8	193	1E10	1.42E-8	16.6	1E10	1.52E-7	1.99	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	5.44E-14	1E-30	1E-10	1E10	1.26E-9	0.0525	1E10	1E-30	4020	1E10	3.54E-8	193	1E10	1.42E-8	16.6	1E10	1.52E-7	1.99	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	5.44E-14	1E-30	1E-10	1E10	1.26E-9	0.0525	1E10	1E-30	4020	1E10	3.54E-8	193	1E10	1.42E-8	16.6	1E10	1.52E-7	1.99	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
22	7.18E-14	1E-30	1E-10	1E10	1.38E-9	0.0502	1E10	1E-30	4110	1E10	3.22E-8	143	1E10	1.75E-8	19.1	1E10	5.77E-8	2.88	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
23	7.18E-14	1E-30	1E-10	1E10	1.38E-9	0.0502	1E10	1E-30	4110	1E10	3.22E-8	143	1E10	1.75E-8	19.1	1E10	5.77E-8	2.88	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
24	7.18E-14	1E-30	1E-10	1E10	1.38E-9	0.0502	1E10	1E-30	4110	1E10	3.22E-8	143	1E10	1.75E-8	19.1	1E10	5.77E-8	2.88	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
