BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5E-15	1E-30	1E-10	1E10	6.35E-10	0.01	1E10	1E-30	3E3	1E10	1E-7	2500	1E10	1.2E-7	1E3	1E10	2.1E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	5E-15	1E-30	1E-10	1E10	6.35E-10	0.01	1E10	1E-30	3E3	1E10	1E-7	2500	1E10	1.2E-7	1E3	1E10	2.1E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	1.3E-14	1E-30	1E-10	1E10	7.45E-10	0.015	1E10	1E-30	3E3	1E10	1.1E-7	700	1E10	1.2E-7	1E3	1E10	2.1E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1.3E-14	1E-30	1E-10	1E10	7.45E-10	0.015	1E10	1E-30	3E3	1E10	1.1E-7	700	1E10	1.2E-7	1E3	1E10	2.1E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	1.3E-14	1E-30	1E-10	1E10	8.48E-10	0.018	1E10	1E-30	3E3	1E10	1.1E-7	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1.3E-14	1E-30	1E-10	1E10	8.48E-10	0.018	1E10	1E-30	3E3	1E10	1.1E-7	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1.3E-14	1E-30	1E-10	1E10	9.48E-10	0.038	1E10	1E-30	3E3	1E10	9.5E-8	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1.3E-14	1E-30	1E-10	1E10	9.48E-10	0.038	1E10	1E-30	3E3	1E10	9.5E-8	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1.3E-14	1E-30	1E-10	1E10	1.07E-9	0.043	1E10	1E-30	3E3	1E10	9E-8	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	1.3E-14	1E-30	1E-10	1E10	1.17E-9	0.07	1E10	1E-30	3200	1E10	1.05E-7	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	1.3E-14	1E-30	1E-10	1E10	1.17E-9	0.07	1E10	1E-30	3200	1E10	1.05E-7	700	1E10	1.2E-7	1E3	1E10	2.2E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2E-14	1E-30	1E-10	1E10	1.28E-9	0.12	1E10	1E-30	3200	1E10	8E-8	700	1E10	1.2E-7	1E3	1E10	2.3E-8	40	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
