BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.74E-16	1E-30	1E-10	1E10	1.57E-9	0.02	1E10	1E-30	5400	1E10	6.83E-9	0.297	1E10	2.45E-8	16	1E10	1.1E-7	768	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	4.74E-16	1E-30	1E-10	1E10	1.57E-9	0.02	1E10	1E-30	5400	1E10	6.83E-9	0.297	1E10	2.45E-8	16	1E10	1.1E-7	768	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	4.74E-16	1E-30	1E-10	1E10	1.57E-9	0.02	1E10	1E-30	5400	1E10	6.83E-9	0.297	1E10	2.45E-8	16	1E10	1.1E-7	768	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	6.96E-14	1E-30	1E-10	1E10	1.71E-9	0.05	1E10	1E-30	13900	1E10	5.51E-9	0.646	1E10	1.82E-8	60.6	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	6.96E-14	1E-30	1E-10	1E10	1.71E-9	0.05	1E10	1E-30	13900	1E10	5.51E-9	0.646	1E10	1.82E-8	60.6	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	5.4E-14	1E-30	1E-10	1E10	1.39E-9	0.07	1E10	1E-30	10100	1E10	2.42E-8	62.3	1E10	4.98E-8	139	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	5.4E-14	1E-30	1E-10	1E10	1.39E-9	0.07	1E10	1E-30	10100	1E10	2.42E-8	62.3	1E10	4.98E-8	139	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.15E-14	1E-30	1E-10	1E10	1.49E-9	0.11	1E10	1E-30	6530	1E10	3.05E-8	62.3	1E10	4.98E-8	441	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2.15E-14	1E-30	1E-10	1E10	1.49E-9	0.11	1E10	1E-30	6530	1E10	3.05E-8	62.3	1E10	4.98E-8	441	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	1.56E-15	1E-30	1E-10	1E10	2.49E-9	0.03	1E10	1E-30	6970	1E10	1.89E-8	0.701	1E10	3.85E-8	26	1E10	1.65E-7	747	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	1.56E-15	1E-30	1E-10	1E10	2.49E-9	0.03	1E10	1E-30	6970	1E10	1.89E-8	0.701	1E10	3.85E-8	26	1E10	1.65E-7	747	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	1.56E-15	1E-30	1E-10	1E10	2.49E-9	0.03	1E10	1E-30	6970	1E10	1.89E-8	0.701	1E10	3.85E-8	26	1E10	1.65E-7	747	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	1.1E-15	1E-30	1E-10	1E10	3.12E-9	0.03	1E10	1E-30	6680	1E10	9.4E-9	0.506	1E10	4.28E-8	28.9	1E10	1.34E-7	699	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	1.1E-15	1E-30	1E-10	1E10	3.12E-9	0.03	1E10	1E-30	6680	1E10	9.4E-9	0.506	1E10	4.28E-8	28.9	1E10	1.34E-7	699	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	1.1E-15	1E-30	1E-10	1E10	3.12E-9	0.03	1E10	1E-30	6680	1E10	9.4E-9	0.506	1E10	4.28E-8	28.9	1E10	1.34E-7	699	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
