BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.32E-16	1E-30	1E-10	1E10	2.24E-9	0.013	1E10	1E-30	12900	1E10	7.4E-8	37.8	1E10	2.74E-7	984	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	1.91E-14	1E-30	1E-10	1E10	3.85E-9	0.023	1E10	1E-30	20400	1E10	1.12E-7	65.8	1E10	2.95E-7	1810	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	1.91E-14	1E-30	1E-10	1E10	3.85E-9	0.023	1E10	1E-30	20400	1E10	1.12E-7	65.8	1E10	2.95E-7	1810	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1.72E-14	1E-30	1E-10	1E10	6.25E-9	0.032	1E10	1E-30	18400	1E10	8.81E-8	3.87	1E10	1.64E-7	112	1E10	6.76E-7	1540	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.11E-14	1E-30	1E-10	1E10	7.59E-9	0.032	1E10	1E-30	15200	1E10	8.16E-8	6.24	1E10	2.63E-7	140	1E10	1E-6	2890	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	4.11E-14	1E-30	1E-10	1E10	7.59E-9	0.032	1E10	1E-30	15200	1E10	8.16E-8	6.24	1E10	2.63E-7	140	1E10	1E-6	2890	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1.88E-14	1E-30	1E-10	1E10	8.96E-9	0.041	1E10	1E-30	45400	1E10	8.69E-8	5.5	1E10	2.81E-7	199	1E10	1.03E-6	5700	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	4.19E-14	1E-30	1E-10	1E10	1.06E-8	0.041	1E10	1E-30	20400	1E10	1.77E-7	15.4	1E10	3.99E-7	259	3.38E-15	3.72E-8	83.6	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	4.19E-14	1E-30	1E-10	1E10	1.06E-8	0.041	1E10	1E-30	20400	1E10	1.77E-7	15.4	1E10	3.99E-7	259	3.38E-15	3.72E-8	83.6	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2.07E-14	1E-30	1E-10	1E10	1.27E-8	0.061	1E10	1E-30	24100	1E10	1.6E-7	13.6	1E10	5.71E-7	391	4.27E-15	1.89E-8	26.7	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	2.07E-14	1E-30	1E-10	1E10	1.27E-8	0.061	1E10	1E-30	24100	1E10	1.6E-7	13.6	1E10	5.71E-7	391	4.27E-15	1.89E-8	26.7	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2.17E-14	1E-30	1E-10	1E10	1.64E-8	0.061	1E10	1E-30	48E3	1E10	1.84E-7	13.6	1E10	5.71E-7	391	2.46E-15	4.33E-8	53.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	3.47E-14	1E-30	1E-10	1E10	1.98E-8	0.061	1E10	1E-30	4E4	1E10	2.04E-7	14.8	1E10	6E-7	404	9.08E-15	1.36E-8	38.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	3.47E-14	1E-30	1E-10	1E10	1.98E-8	0.061	1E10	1E-30	4E4	1E10	2.04E-7	14.8	1E10	6E-7	404	9.08E-15	1.36E-8	38.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	2.36E-14	1E-30	1E-10	1E10	2.46E-8	0.071	1E10	1E-30	44600	1E10	2.06E-7	14.2	1E10	7.85E-7	537	1.99E-15	1.86E-7	605	9.78E-15	1.58E-8	38.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	2.36E-14	1E-30	1E-10	1E10	2.46E-8	0.071	1E10	1E-30	44600	1E10	2.06E-7	14.2	1E10	7.85E-7	537	1.99E-15	1.86E-7	605	9.78E-15	1.58E-8	38.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	2.3E-14	1E-30	1E-10	1E10	2.99E-8	0.083	1E10	1E-30	7E4	1E10	3.15E-7	21.8	1E10	8.81E-7	556	1.14E-14	1.9E-8	39.3	8.16E-15	8.1E-9	18.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	2.3E-14	1E-30	1E-10	1E10	2.99E-8	0.083	1E10	1E-30	7E4	1E10	3.15E-7	21.8	1E10	8.81E-7	556	1.14E-14	1.9E-8	39.3	8.16E-15	8.1E-9	18.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	1.74E-14	1E-30	1E-10	1E10	3.59E-8	0.094	1E10	1E-30	54400	1E10	4.19E-7	28.4	1E10	1.18E-6	803	4.49E-15	5.47E-8	104	1.21E-14	6.38E-9	29.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
END DSCRDATA
