BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.95E-15	1E-30	1E-10	1E10	2.19E-9	0.014	1E10	1E-30	9430	1E10	8.98E-9	0.262	1E10	8.03E-8	11.6	1E10	7.1E-8	43.2	1E10	8.82E-8	231	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	2.95E-15	1E-30	1E-10	1E10	2.19E-9	0.014	1E10	1E-30	9430	1E10	8.98E-9	0.262	1E10	8.03E-8	11.6	1E10	7.1E-8	43.2	1E10	8.82E-8	231	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	3.09E-15	1E-30	1E-10	1E10	2.02E-9	0.021	1E10	1E-30	10400	1E10	3.86E-8	4.13	1E10	3.7E-8	4.03	1E10	1.02E-7	181	1E10	2.36E-7	716	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	5.5E-15	1E-30	1E-10	1E10	2.09E-9	0.032	1E10	1E-30	14900	1E10	1.07E-7	87.6	1E10	2.82E-7	1720	1E10	2.25E-7	585	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	5.86E-15	1E-30	1E-10	1E10	2.45E-9	0.092	1E10	1E-30	12400	1E10	6.21E-7	1820	1E10	1.84E-7	1070	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	2.39E-14	1E-30	1E-10	1E10	4.7E-9	0.032	1E10	1E-30	25600	1E10	1.64E-8	0.989	1E10	1.32E-7	94.5	1E10	3.07E-7	1240	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.39E-14	1E-30	1E-10	1E10	4.7E-9	0.032	1E10	1E-30	25600	1E10	1.64E-8	0.989	1E10	1.32E-7	94.5	1E10	3.07E-7	1240	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.27E-14	1E-30	1E-10	1E10	3.87E-9	0.045	1E10	1E-30	15200	1E10	8.85E-8	10.3	1E10	1.25E-7	106	1E10	3.36E-7	1560	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2.27E-14	1E-30	1E-10	1E10	3.87E-9	0.045	1E10	1E-30	15200	1E10	8.85E-8	10.3	1E10	1.25E-7	106	1E10	3.36E-7	1560	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2.51E-14	1E-30	1E-10	1E10	4.38E-9	0.057	1E10	1E-30	23E3	1E10	3.7E-7	313	1E10	1.5E-7	71.7	1E10	2.8E-7	1050	1.61E-15	3.5E-8	868	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	2.51E-14	1E-30	1E-10	1E10	4.38E-9	0.057	1E10	1E-30	23E3	1E10	3.7E-7	313	1E10	1.5E-7	71.7	1E10	2.8E-7	1050	1.61E-15	3.5E-8	868	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	3.19E-14	1E-30	1E-10	1E10	6.47E-9	0.032	1E10	1E-30	36100	1E10	1.52E-8	0.499	1E10	1.07E-7	58.2	1E10	3.9E-7	1310	1E10	7.75E-7	6720	2.97E-15	1.65E-8	186	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	3.19E-14	1E-30	1E-10	1E10	6.47E-9	0.032	1E10	1E-30	36100	1E10	1.52E-8	0.499	1E10	1.07E-7	58.2	1E10	3.9E-7	1310	1E10	7.75E-7	6720	2.97E-15	1.65E-8	186	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
