BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.84E-14	1E-30	1E-10	1E10	5E-9	0.0202	1E10	1E-30	87	1E10	1.23E-7	30.9	1E10	1.45E-7	356	1E10	2.39E-8	143	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	9.3E-15	1E-30	1E-10	1E10	1.49E-8	0.0733	1E10	1E-30	132	1E10	2.7E-7	94.9	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	7.22E-15	1E-30	1E-10	1E10	3.19E-8	0.169	1E10	1E-30	233	1E10	1.06E-6	267	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	3.62E-14	1E-30	1E-10	1E10	5.41E-8	0.261	1E10	1E-30	387	1E10	1.06E-6	267	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.95E-14	1E-30	1E-10	1E10	8.4E-8	0.417	1E10	1E-30	577	1E10	1.83E-6	416	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	5.89E-14	1E-30	1E-10	1E10	9.19E-8	0.436	1E10	1E-30	672	1E10	1.84E-6	463	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	5.23E-14	1E-30	1E-10	1E10	1.18E-7	0.574	1E10	1E-30	821	1E10	2.35E-6	678	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	5.56E-14	1E-30	1E-10	1E10	1.6E-7	0.806	1E10	1E-30	1140	1E10	3.04E-6	763	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	4.81E-14	1E-30	1E-10	1E10	2.05E-7	1.02	1E10	1E-30	1370	1E10	4.39E-6	1100	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
