BEGIN DSCRDATA
% INDEX	K01	L01	M01	N01	K02	L02	M02	N02	K03	L03	M03	N03	K04	L04	M04	N04	K05	L05	M05	N05	K06	L06	M06	N06	K07	L07	M07	N07	K08	L08	M08	N08	K09	L09	M09	N09	K10	L10	M10	N10	K11	L11	M11	N11	K12	L12	M12	N12	K13	L13	M13	N13	K14	L14	M14	N14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-30	1.5202E-6	3264	1E-30	1E-30	1.063E-7	0.5191	2.0997E-12	1E-30	6.2E-9	50	1E-30	1E-30	1E-30	0.024	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
2	1E-30	2.0695E-6	4263	1E-30	1E-30	2.026E-7	0.8014	2.4769E-12	1E-30	8E-9	69.9967	1E-30	1E-30	1E-30	0.03	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
3	1E-30	2.11148E-5	29403	1E-30	1E-30	1.7934E-6	14.2292	2.804E-12	1E-30	1.87E-8	192.4694	1E-30	1E-30	1E-30	0.259	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
4	1E-30	2.5893E-6	5274	1E-30	1E-30	2.677E-7	1.1642	2.124E-12	1E-30	8.4E-9	79.9999	1E-30	1E-30	1E-30	0.035	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
5	1E-30	3.0259E-6	6556	1E-30	1E-30	3.03E-7	1.6111	2.0824E-12	1E-30	8.1E-9	80	1E-30	1E-30	1E-30	0.044	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
6	1E-30	4.412E-7	630	1E-30	1E-30	2.3E-8	0.0375	1.2E-14	1E-30	1E-10	2014	1E-30	1E-30	1E-30	0.012	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
7	1E-30	4.7882E-6	9182	1E-30	1E-30	4.793E-7	2.5183	2.3184E-12	1E-30	8.9E-9	86.2358	1E-30	1E-30	1E-30	0.058	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
8	1E-30	6.1968E-6	12077	1E-30	1E-30	6.413E-7	3.8132	2.3959E-12	1E-30	8.7E-9	89.1909	1E-30	1E-30	1E-30	0.083	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
9	1E-30	6.482E-7	2148	1E-30	1E-30	8.73E-8	27.8778	1.7726E-12	1E-30	8.6E-9	89.2184	1E-30	1E-30	1E-30	0.015	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
