! Infineon Technologies  Discrete & RF Semiconductors
! BFP420F
!
! VCE =  2.5 V,  IC =  10 mA
! Common Emitter S-Parameters:                            Sep 2011
# GHz  S  MA  R  50
!  f         S11            S21            S12            S22
! GHz     MAG   ANG      MAG   ANG      MAG   ANG      MAG   ANG
 0.030  0.6843   -4.7  26.256  175.3  0.0025   84.4  0.9784   -2.7
 0.040  0.6834   -6.3  26.237  173.9  0.0033   85.6  0.9776   -3.6
 0.050  0.6797   -7.8  25.962  172.2  0.0040   86.3  0.9766   -4.6
 0.060  0.6834  -10.1  25.963  171.5  0.0050   82.6  0.9753   -5.6
 0.070  0.6813  -11.7  25.950  170.3  0.0059   85.8  0.9732   -6.5
 0.080  0.6769  -12.7  25.628  168.9  0.0065   84.8  0.9706   -7.4
 0.090  0.6755  -14.8  25.608  167.7  0.0074   84.8  0.9682   -8.3
 0.100  0.6732  -16.3  25.588  166.3  0.0081   81.9  0.9644   -9.2
 0.110  0.6744  -17.7  25.175  165.3  0.0090   82.3  0.9608  -10.1
 0.120  0.6702  -19.7  25.214  163.7  0.0096   81.1  0.9575  -11.1
 0.130  0.6670  -21.1  24.897  162.6  0.0104   80.2  0.9538  -11.9
 0.140  0.6649  -22.6  24.716  161.5  0.0113   80.5  0.9494  -12.8
 0.150  0.6644  -24.1  24.603  160.4  0.0120   79.7  0.9454  -13.6
 0.200  0.6520  -31.8  23.719  155.2  0.0157   76.6  0.9225  -17.8
 0.250  0.6339  -39.1  22.737  150.0  0.0189   74.1  0.8946  -21.6
 0.300  0.6203  -46.2  21.916  145.3  0.0223   71.3  0.8677  -25.3
 0.350  0.6028  -52.8  20.934  140.9  0.0252   68.8  0.8367  -28.6
 0.400  0.5867  -59.0  19.951  136.8  0.0280   66.7  0.8071  -31.7
 0.450  0.5713  -65.0  19.086  133.0  0.0305   64.8  0.7776  -34.5
 0.500  0.5534  -70.6  18.157  129.5  0.0328   63.2  0.7469  -37.0
 0.600  0.5228  -81.2  16.467  123.0  0.0368   60.3  0.6889  -41.7
 0.700  0.4988  -90.6  15.059  117.3  0.0404   58.2  0.6390  -45.8
 0.800  0.4778  -99.3  13.720  112.3  0.0435   56.5  0.5918  -49.4
 0.900  0.4590 -106.8  12.528  108.1  0.0463   55.3  0.5494  -52.3
 1.000  0.4476 -113.8  11.551  104.3  0.0491   54.5  0.5125  -55.2
 1.100  0.4348 -120.2  10.673  100.8  0.0515   53.7  0.4785  -57.7
 1.200  0.4240 -126.0   9.837   97.5  0.0539   53.2  0.4496  -60.2
 1.300  0.4174 -131.1   9.170   95.0  0.0563   52.9  0.4236  -62.2
 1.400  0.4125 -136.0   8.585   92.4  0.0586   52.7  0.4002  -64.5
 1.500  0.4058 -140.8   8.023   89.6  0.0609   52.4  0.3782  -66.3
 1.600  0.4024 -144.7   7.488   87.5  0.0631   52.3  0.3587  -68.4
 1.700  0.3992 -148.4   7.080   85.7  0.0653   52.2  0.3406  -70.3
 1.800  0.3992 -151.8   6.716   83.9  0.0677   52.2  0.3257  -72.2
 1.900  0.3977 -155.4   6.363   81.5  0.0700   52.1  0.3117  -74.0
 2.000  0.3940 -158.3   5.989   79.9  0.0722   51.9  0.2992  -76.0
 2.200  0.3941 -163.7   5.479   76.8  0.0767   51.9  0.2791  -79.7
 2.400  0.3908 -168.3   4.972   73.7  0.0815   51.5  0.2632  -83.1
 2.600  0.3918 -172.6   4.593   71.2  0.0861   51.4  0.2498  -86.4
 2.800  0.3912 -176.6   4.260   68.4  0.0911   51.0  0.2400  -89.4
 3.000  0.3921  179.5   3.966   65.9  0.0958   50.8  0.2312  -92.4
 3.500  0.3956  171.2   3.393   60.1  0.1081   49.6  0.2158  -98.9
 4.000  0.3995  163.5   2.970   54.4  0.1208   47.9  0.2041 -104.6
 4.500  0.4071  157.1   2.646   49.1  0.1337   46.0  0.1913 -109.8
 5.000  0.4118  151.6   2.390   44.0  0.1464   43.7  0.1774 -114.9
 5.500  0.4178  146.0   2.183   38.9  0.1591   41.3  0.1609 -120.4
 6.000  0.4240  139.9   2.010   33.8  0.1716   38.7  0.1410 -126.8
 6.500  0.4361  133.6   1.861   28.9  0.1837   35.9  0.1218 -136.8
 7.000  0.4501  127.2   1.730   23.8  0.1957   33.1  0.1018 -149.1
 7.500  0.4717  122.2   1.616   19.1  0.2081   30.3  0.0885 -168.4
 8.000  0.4964  117.8   1.511   14.2  0.2200   26.9  0.0898  163.0
 8.500  0.5255  113.8   1.412    9.4  0.2297   23.5  0.1144  133.9
 9.000  0.5540  110.3   1.322    5.2  0.2381   20.3  0.1601  114.8
 9.500  0.5825  107.0   1.243    1.3  0.2458   17.4  0.2193  105.4
10.000  0.6131  103.1   1.172   -2.3  0.2536   14.7  0.2848  100.6
!
!  f       NFmin   Gammaopt  rn/50
! GHz       dB    MAG  ANG    -
 0.450      1.18  0.02   48   0.13
 0.900      1.19  0.06   87   0.14
 1.900      1.33  0.14  155   0.27
 2.400      1.39  0.15  158   0.17
 3.500      1.66  0.20  179   0.18
!
! (c) 2011  Infineon Technologies AG, Munich
