BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9.80609010580671E-11	1E10	6E9	1E-30	1.24255314285446E-10	1E10	1E-30	1E10	0.05512822809146	1E-30	2.43837326087944E-11	0.220511531722034	3.56642181098382E-08	1.0217568661275E-10	7.10290774791517E-02	1.20294350606302E-08	4.17162291385356E-11	5.25466343002167E-02	2.37859328047754E-10	3.56490179494254E-11	2.9792521320742	1.64622530501561E-11	1.52778064266144E-10	27.1832176726388	1.7241496974778E-12	9.13114233515754E-10	530.740796496141	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.56329898964915E-10	1E10	6E9	1E-30	4.05636071531481E-11	1E10	1E-30	1E10	1.48150402914963E-02	1E-30	5.11741923320109E-11	0.147669517796255	7.82869826728734E-08	4.87405827185859E-11	2.95106874437854E-02	2.7113771084849E-08	2.3622675461966E-11	2.38561419838316E-02	3.44922059564967E-10	5.55558751890494E-11	4.08328011725003	6.69549629426079E-11	8.40707603948871E-11	7.94229654688	1.97332160898084E-12	9.16014210632143E-10	273.060933420311	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	2.13966235506224E-10	1E10	6E9	1E-30	5.08059055393358E-12	1E10	1E-30	1E10	6.56795676899776E-02	5.11061584359498E-10	7.29637312395561E-11	4.02898494210248	1.50617398835883E-10	7.66893619631478E-11	5.05760594024612	1.31702719433657E-12	9.85363791307543E-10	346.18801815077	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	3.15369752527337E-10	1E10	6E9	1E-30	7.39354915410966E-11	1E10	1E-30	1E10	3.77400207051765E-02	4.18482550667749E-10	1.65136443303539E-10	6.63730121319742	2.96476178962194E-10	8.5043750662615E-11	5.74734989356387	1.28334717693605E-12	7.05920710042974E-10	171.046141831026	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	6.07519917680441E-10	1E10	6E9	1E-30	2.8892939937851E-10	1E10	1E-30	1E10	0.369726232770724	2.02696523382444E-09	1E10	1972.30389248421	1.07172815994891E-07	1E10	4.95010299065274	6.36449710036548E-08	1E10	4.16778001943405	5.21974110020347E-08	1E10	1.01636549933924	2.19036337032526E-08	1E10	0.687165669347016	3.71571519370492E-09	1E10	0.4412212885531	1.17245912576449E-09	1.22578560331346E-10	0.963279717489368	3.54974182073722E-12	5.8079727545614E-10	49.7235469848914	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	7.45306133516995E-10	1E10	6E9	1E-30	2.08302705488101E-10	1E10	1E-30	1E10	0.304394488698393	4.45769825405941E-09	1E10	712.376302956559	1.55748330093708E-07	1E10	2.14919329993757	1.34793960352061E-07	1E10	1.47590944242056	6.4853966164856E-08	1E10	0.930794043325459	5.08966297182409E-08	1E10	0.390877902851727	7.02342735624101E-09	1E10	0.378573126767672	1E-30	2.82230733106131E-10	6.45378016393517	2.10004668053081E-09	8.65548348667363E-11	0.678328294494878	3.12538445219833E-09	4.81513846467178E-12	0.22541007940339	4.40144685251748E-12	4.89323281782697E-10	53.1265131581725	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.21343609432142E-09	1E10	6E9	1E-30	1.17051116299439E-10	1E10	1E-30	1E10	0.203385612069835	7.05722398890119E-09	1E10	713.158774379829	2.03956919276509E-07	1E10	3.90168040526551	1.43487672480984E-07	1E10	1.23243218459131	1.12494937232099E-07	1E10	0.471591424490887	7.99859276916922E-08	1E10	0.284255257116445	1.30144927493196E-08	1E10	0.243423717290978	1E-30	3.43065892435952E-10	4.0898620672669	5.06527446388194E-09	3.97975222745025E-11	0.452019486469794	2.981434030488E-12	6.30661229746383E-10	56.5371176872386	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.5841458322041E-09	1E10	6E9	1E-30	2.28806583799034E-10	1E10	1E-30	1E10	0.151977723905614	2.09715420756728E-08	1E10	151.42227455016	1.82856372427621E-07	1E10	2.17595565550898	1.40116984971197E-07	1E10	0.567935939831319	9.36888091822645E-08	1E10	0.212345188930558	1.90786005963424E-08	1E10	0.165658461630128	1E-30	1.85321569947439E-10	0.931527812317765	3.62955907001558E-09	8.35076770784634E-11	0.530695014923704	1.36852955783381E-09	4.96617840711851E-11	0.414395183915443	3.26192043462428E-12	5.49184129627042E-10	82.3063630559488	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
END DSCRDATA
