BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.01944664282094E-08	1E10	1E10	1E-30	4.89605965152511E-10	1E10	1E-30	1E10	2.53860180886731E-02	3.07292835726441E-06	1E10	954.921994093296	4.5614927156859E-06	1E10	77.8055810566785	4.50368558655121E-06	1E10	12.9766385983503	4.21140128838577E-06	1E10	2.25055205261673	3.37703491712796E-06	1E10	0.416864804382711	2.32124506421622E-06	1E10	6.97550572191305E-02	1E-30	1.34260168026773E-10	0.274340599604281	1E-30	9.79323896235175E-11	2.06068504104569E-02	7.2322133079339E-08	2.07131584337706E-11	8.87247742278652E-02	1.70107400934312E-08	3.56757659553843E-11	0.140889403582742	1.02481254399111E-11	2.03896689801423E-10	16.6274403085386	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	9.80135675630922E-09	1E10	1E10	1E-30	4.85776913728895E-10	1E10	1E-30	1E10	4.86423970515659E-02	2.48751676064113E-06	1E10	1549.21160563705	4.20642261482031E-06	1E10	126.48385962097	4.36046488968243E-06	1E10	24.8859234850014	4.21367228951806E-06	1E10	5.41522415293476	3.65280832776506E-06	1E10	1.19579744512539	3.1113044598832E-06	1E10	0.256926395378827	2.08416812749977E-06	1E10	6.25598381982315E-02	1E-30	8.91336287440652E-11	0.210408437931915	1E-30	2.24472388899905E-11	4.10389511586536E-02	7.42980491310812E-08	1.20803718349657E-11	3.29751810794872E-02	2.03170224926263E-08	1.34446961826588E-11	6.05195438975243E-02	4.25518799037808E-10	1.72004998089892E-11	0.274078794349352	9.21833802403873E-12	2.36282994871029E-10	23.4377383058986	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	9.80135675630922E-09	1E10	1E10	1E-30	4.85776913728895E-10	1E10	1E-30	1E10	4.86423970515659E-02	2.48751676064113E-06	1E10	1549.21160563705	4.20642261482031E-06	1E10	126.48385962097	4.36046488968243E-06	1E10	24.8859234850014	4.21367228951806E-06	1E10	5.41522415293476	3.65280832776506E-06	1E10	1.19579744512539	3.1113044598832E-06	1E10	0.256926395378827	2.08416812749977E-06	1E10	6.25598381982315E-02	1E-30	8.91336287440652E-11	0.210408437931915	1E-30	2.24472388899905E-11	4.10389511586536E-02	7.42980491310812E-08	1.20803718349657E-11	3.29751810794872E-02	2.03170224926263E-08	1.34446961826588E-11	6.05195438975243E-02	4.25518799037808E-10	1.72004998089892E-11	0.274078794349352	9.21833802403873E-12	2.36282994871029E-10	23.4377383058986	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.51036901081641E-08	1E10	6666666666.66667	1E-30	4.69921942335614E-10	1E10	1E-30	1E10	2.78214839111769E-02	4.60252844108652E-06	1E10	895.575532465516	7.53137925239614E-06	1E10	79.7399206505876	7.61294001890963E-06	1E10	16.5028752815026	7.36523694153141E-06	1E10	3.6923136468193	6.45379283379072E-06	1E10	0.859496846393101	5.47409171778329E-06	1E10	0.190154943938819	4.59736414801856E-06	1E10	3.99453050920894E-02	1E-30	6.5822542901302E-11	0.176754264897946	1E-30	3.94137108023245E-11	0.0714043886511	1.05387055831654E-07	2.8487053107949E-11	9.56406365115786E-02	1.63382569048084E-08	6.99213122219121E-11	0.130888358247335	4.87107126930104E-10	1.39594108742242E-11	0.277173877920322	7.51858297056574E-12	2.74214041176365E-10	26.0852218166133	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.54347601340467E-08	1E10	6666666666.66667	1E-30	4.77246679133432E-10	1E10	1E-30	1E10	3.26809668743617E-02	4.36208366434316E-06	1E10	934.714018769583	7.06211690123809E-06	1E10	82.627091534173	7.1867811784881E-06	1E10	16.9765710418577	6.94629782265128E-06	1E10	3.77388981523436	6.09534293467144E-06	1E10	0.861996791644946	4.99807269517033E-06	1E10	0.195811895536605	4.28558613981064E-06	1E10	3.81047112723229E-02	1E-30	9.37540790500509E-11	0.300247704735373	1E-30	2.58186913550346E-11	4.56644687110118E-02	1.07887615696142E-07	1.77227677382562E-11	4.73970169056162E-02	1.37960729181681E-08	5.15374189934104E-11	0.115769745029849	1.09204578904708E-11	1.34482026061097E-10	8.41000899074076	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.54347601340467E-08	1E10	6666666666.66667	1E-30	4.77246679133432E-10	1E10	1E-30	1E10	3.26809668743617E-02	4.36208366434316E-06	1E10	934.714018769583	7.06211690123809E-06	1E10	82.627091534173	7.1867811784881E-06	1E10	16.9765710418577	6.94629782265128E-06	1E10	3.77388981523436	6.09534293467144E-06	1E10	0.861996791644946	4.99807269517033E-06	1E10	0.195811895536605	4.28558613981064E-06	1E10	3.81047112723229E-02	1E-30	9.37540790500509E-11	0.300247704735373	1E-30	2.58186913550346E-11	4.56644687110118E-02	1.07887615696142E-07	1.77227677382562E-11	4.73970169056162E-02	1.37960729181681E-08	5.15374189934104E-11	0.115769745029849	1.09204578904708E-11	1.34482026061097E-10	8.41000899074076	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.2763502482467E-08	1E10	4545454545.45455	1E-30	4.36285662061142E-10	1E10	1E-30	1E10	2.55387583964692E-02	7.15037711651121E-06	1E10	276.761021913397	1.01787704565221E-05	1E10	33.18443026582	9.51326148931499E-06	1E10	6.67383071999391	8.5356033769801E-06	1E10	1.24182726099848	6.7624621830505E-06	1E10	0.231235753259941	5.74160700647446E-06	1E10	3.36209556006982E-02	1E-30	7.58288836672366E-11	0.149092058368708	1E-30	5.03027168024606E-11	5.75434982619582E-02	1.60235845357277E-07	2.33322643948336E-11	4.78848899754518E-02	2.34205673090064E-08	6.07643256468374E-11	0.116251197308447	5.18337737609943E-10	1.26272814933652E-11	0.194029629922224	9.34626069387672E-12	2.36317679896228E-10	23.6703863944868	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.2763502482467E-08	1E10	4545454545.45455	1E-30	4.36285662061142E-10	1E10	1E-30	1E10	2.55387583964692E-02	7.15037711651121E-06	1E10	276.761021913397	1.01787704565221E-05	1E10	33.18443026582	9.51326148931499E-06	1E10	6.67383071999391	8.5356033769801E-06	1E10	1.24182726099848	6.7624621830505E-06	1E10	0.231235753259941	5.74160700647446E-06	1E10	3.36209556006982E-02	1E-30	7.58288836672366E-11	0.149092058368708	1E-30	5.03027168024606E-11	5.75434982619582E-02	1.60235845357277E-07	2.33322643948336E-11	4.78848899754518E-02	2.34205673090064E-08	6.07643256468374E-11	0.116251197308447	5.18337737609943E-10	1.26272814933652E-11	0.194029629922224	9.34626069387672E-12	2.36317679896228E-10	23.6703863944868	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.22918117930889E-08	1E10	3030303030.30303	1E-30	5.03614812316145E-10	1E10	1E-30	1E10	1.93192294993031E-02	9.72547765239683E-06	1E10	225.890749756412	1.36702084277946E-05	1E10	27.1787445707079	1.25013169878041E-05	1E10	5.90389744184317	1.10231532522175E-05	1E10	1.19979197395384	9.08414866950248E-06	1E10	0.232668326685168	7.61276628757997E-06	1E10	4.07017211597813E-02	1E-30	8.89987770338282E-11	0.156724147299456	1E-30	4.20504859262801E-11	4.53125613288001E-02	1.86230203840483E-07	2.7109685207782E-11	5.12958871862035E-02	3.06343138940496E-08	6.18769979296406E-11	0.103497784578397	1.55350859678966E-11	1.12422255771354E-10	6.52815570816959	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
