BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.07830341131113E-09	1E10	1E10	1E-30	7.83354675633042E-11	1E10	1E-30	1E10	0.260958140485821	1.06330874309251E-07	1E10	17829.3245952568	1.63745279157742E-07	1E10	957.491421545908	1.37489268345593E-07	1E10	102.597054278584	1.19338642796077E-07	1E10	12.8107979016387	8.13188013251234E-08	1E10	2.16262129559235	4.57289225000606E-08	1E10	0.543225908889208	1.50139993485306E-08	1E10	0.187981236791208	1E-30	3.24434595070356E-10	5.42727235727326	7.31387479535044E-11	5.06590646051242E-11	1.19853152500317	7.65856709508138E-12	1.16053212423352E-10	10.438773196923	8.37444817106855E-12	5.68064772571151E-11	6.17312270055677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.07830341131113E-09	1E10	1E10	1E-30	7.83354675633042E-11	1E10	1E-30	1E10	0.260958140485821	1.06330874309251E-07	1E10	17829.3245952568	1.63745279157742E-07	1E10	957.491421545908	1.37489268345593E-07	1E10	102.597054278584	1.19338642796077E-07	1E10	12.8107979016387	8.13188013251234E-08	1E10	2.16262129559235	4.57289225000606E-08	1E10	0.543225908889208	1.50139993485306E-08	1E10	0.187981236791208	1E-30	3.24434595070356E-10	5.42727235727326	7.31387479535044E-11	5.06590646051242E-11	1.19853152500317	7.65856709508138E-12	1.16053212423352E-10	10.438773196923	8.37444817106855E-12	5.68064772571151E-11	6.17312270055677	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.54159157357889E-09	1E10	1E10	1E-30	1.02092740116305E-10	1E10	1E-30	1E10	0.163247521587273	1.50251628887991E-07	1E10	11716.0078755848	2.37970994027433E-07	1E10	689.889690363421	2.17985387418931E-07	1E10	75.6449003227464	1.71179619381076E-07	1E10	9.29754042375734	1.18088777057966E-07	1E10	1.43899190718069	5.65890422406269E-08	1E10	0.327548564244939	1.52276156642579E-08	1E10	0.125308054812044	7.34018211001277E-10	4.5682369186993E-11	0.317586589342345	2.65662826162373E-11	1.19600442656536E-10	2.63261664326402	5.44659519249483E-12	1.38429598378524E-10	12.3466064418522	2.72976397721408E-12	1.51785036322909E-10	15.1896443309217	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.54159157357889E-09	1E10	1E10	1E-30	1.02092740116305E-10	1E10	1E-30	1E10	0.163247521587273	1.50251628887991E-07	1E10	11716.0078755848	2.37970994027433E-07	1E10	689.889690363421	2.17985387418931E-07	1E10	75.6449003227464	1.71179619381076E-07	1E10	9.29754042375734	1.18088777057966E-07	1E10	1.43899190718069	5.65890422406269E-08	1E10	0.327548564244939	1.52276156642579E-08	1E10	0.125308054812044	7.34018211001277E-10	4.5682369186993E-11	0.317586589342345	2.65662826162373E-11	1.19600442656536E-10	2.63261664326402	5.44659519249483E-12	1.38429598378524E-10	12.3466064418522	2.72976397721408E-12	1.51785036322909E-10	15.1896443309217	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.2261063399822E-09	1E10	1E10	1E-30	9.13068129064792E-11	1E10	1E-30	1E10	0.105110137333419	2.09058189611564E-07	1E10	11532.4702973965	4.60173741426656E-07	1E10	633.756380496839	2.8099247415907E-07	1E10	93.7394378447997	2.63308581152919E-07	1E10	7.60948243288273	1.52736243687722E-07	1E10	1.27739399705429	1.49806933368178E-07	1E10	0.235763260998288	1.75098148852152E-08	1E10	9.51839392960228E-02	1.28619198085027E-07	1E10	6.18450717650581E-02	1E-30	1.70633581682423E-10	1.83470265537872	2.87222266923475E-08	4.24087094632078E-12	4.35700240634212E-02	9.52933291400291E-10	4.10474680978907E-11	0.317641765587164	4.49649723069268E-12	1.24721725119992E-10	16.7031209967842	2.97080625930295E-12	9.90699877463302E-11	17.8977166057739	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.2261063399822E-09	1E10	1E10	1E-30	9.13068129064792E-11	1E10	1E-30	1E10	0.105110137333419	2.09058189611564E-07	1E10	11532.4702973965	4.60173741426656E-07	1E10	633.756380496839	2.8099247415907E-07	1E10	93.7394378447997	2.63308581152919E-07	1E10	7.60948243288273	1.52736243687722E-07	1E10	1.27739399705429	1.49806933368178E-07	1E10	0.235763260998288	1.75098148852152E-08	1E10	9.51839392960228E-02	1.28619198085027E-07	1E10	6.18450717650581E-02	1E-30	1.70633581682423E-10	1.83470265537872	2.87222266923475E-08	4.24087094632078E-12	4.35700240634212E-02	9.52933291400291E-10	4.10474680978907E-11	0.317641765587164	4.49649723069268E-12	1.24721725119992E-10	16.7031209967842	2.97080625930295E-12	9.90699877463302E-11	17.8977166057739	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.91726399423806E-09	1E10	1E10	1E-30	1.00942809405411E-10	1E10	1E-30	1E10	9.55328213698952E-02	2.5512653506277E-07	1E10	17331.7818091305	4.41587784161241E-07	1E10	455.872309350705	4.44768326066177E-07	1E10	48.8475980192531	7.13959133831373E-07	1E10	6.42904961929879	2.82095461002139E-07	1E10	2.69073469223214	2.00838724619212E-07	1E10	0.45202305789918	1.11734496184648E-07	1E10	0.118147250765849	3.10250608779291E-08	1E10	5.88867003017925E-02	1E-30	1.07580041345405E-10	0.890537037344302	1.06963796832419E-08	1.8032683931183E-11	9.60822286447485E-02	2.31433092944818E-09	2.94874970744507E-11	0.207260111656099	1.19704151060595E-11	5.23895714967484E-11	10.6615280225494	2.26818086890281E-12	1.71414476456249E-10	19.5365540093618	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.91726399423806E-09	1E10	1E10	1E-30	1.00942809405411E-10	1E10	1E-30	1E10	9.55328213698952E-02	2.5512653506277E-07	1E10	17331.7818091305	4.41587784161241E-07	1E10	455.872309350705	4.44768326066177E-07	1E10	48.8475980192531	7.13959133831373E-07	1E10	6.42904961929879	2.82095461002139E-07	1E10	2.69073469223214	2.00838724619212E-07	1E10	0.45202305789918	1.11734496184648E-07	1E10	0.118147250765849	3.10250608779291E-08	1E10	5.88867003017925E-02	1E-30	1.07580041345405E-10	0.890537037344302	1.06963796832419E-08	1.8032683931183E-11	9.60822286447485E-02	2.31433092944818E-09	2.94874970744507E-11	0.207260111656099	1.19704151060595E-11	5.23895714967484E-11	10.6615280225494	2.26818086890281E-12	1.71414476456249E-10	19.5365540093618	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.51823297254957E-09	1E10	1E10	1E-30	1.12890955922629E-10	1E10	1E-30	1E10	0.116620359653421	5.13659313756347E-07	1E10	3974.82198034289	6.62769853235743E-07	1E10	323.085660194252	5.96297126048091E-07	1E10	50.0400439841169	4.3977378515842E-07	1E10	8.48380727291926	3.21387360202441E-07	1E10	1.15674647319783	2.42495340519578E-07	1E10	0.2386012593804	9.67062091008247E-08	1E10	7.24371226155608E-02	2.11277165862086E-08	9.56798751129134E-12	6.12772451625943E-02	1.88049442129205E-09	3.62096459821889E-11	0.216346674117544	4.25257234334055E-11	1.10311717821563E-10	1.5834712217776	4.96223906116212E-12	1.13252421488296E-10	15.1651937186278	3.39950362023062E-12	9.51282859608036E-11	19.2801379670274	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
