BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-11	1E10	1E11	1E-30	4.36575573373168E-15	1E10	1E-30	1E10	0.326915380777096	1.60248113164359E-10	1E10	9260.51133985565	1E-30	4.92332373803648E-11	1.27048755045236	7.45219608713459E-13	9.10664535687143E-10	605.132299805382	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1E-11	1E10	1E11	1E-30	4.36575573373168E-15	1E10	1E-30	1E10	0.326915380777096	1.60248113164359E-10	1E10	9260.51133985565	1E-30	4.92332373803648E-11	1.27048755045236	7.45219608713459E-13	9.10664535687143E-10	605.132299805382	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1E-11	1E10	1E11	1E-30	4.36575573373168E-15	1E10	1E-30	1E10	0.326915380777096	1.60248113164359E-10	1E10	9260.51133985565	1E-30	4.92332373803648E-11	1.27048755045236	7.45219608713459E-13	9.10664535687143E-10	605.132299805382	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1E-11	1E10	1E11	1E-30	6.01792020293607E-13	1E10	1E-30	1E10	0.337299864764585	1.39976858649768E-09	1E10	16.4199431685612	9.94258944838914E-13	8.71046765214248E-10	362.645970005308	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1E-11	1E10	1E11	1E-30	6.01792020293607E-13	1E10	1E-30	1E10	0.337299864764585	1.39976858649768E-09	1E10	16.4199431685612	9.94258944838914E-13	8.71046765214248E-10	362.645970005308	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1E-11	1E10	1E11	1E-30	6.01792020293607E-13	1E10	1E-30	1E10	0.337299864764585	1.39976858649768E-09	1E10	16.4199431685612	9.94258944838914E-13	8.71046765214248E-10	362.645970005308	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1E-11	1E10	1E11	1E-30	1.17879928606916E-10	1E10	1E-30	1E10	0.245206166936946	1.05030466532015E-12	6.41542735154727E-10	935.795263605542	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1E-11	1E10	1E11	1E-30	9.41627252800044E-12	1E10	1E-30	1E10	0.237103253991255	8.80685424788476E-13	7.39508858948483E-10	869.860114533547	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.2E-11	1E10	1E11	1E-30	1.91885417998597E-10	1E10	1E-30	1E10	0.294388769327327	1E-30	9.49313804991527E-11	5.97719501541221	3.90569420350903E-12	2.15567828420203E-10	66.4594629899576	1.87251265586475E-12	4.0868369113589E-10	229.600951065008	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	1.2E-11	1E10	1E11	1E-30	1.91885417998597E-10	1E10	1E-30	1E10	0.294388769327327	1E-30	9.49313804991527E-11	5.97719501541221	3.90569420350903E-12	2.15567828420203E-10	66.4594629899576	1.87251265586475E-12	4.0868369113589E-10	229.600951065008	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	1.2E-11	1E10	1E11	1E-30	1.91885417998597E-10	1E10	1E-30	1E10	0.294388769327327	1E-30	9.49313804991527E-11	5.97719501541221	3.90569420350903E-12	2.15567828420203E-10	66.4594629899576	1.87251265586475E-12	4.0868369113589E-10	229.600951065008	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	1.2E-11	1E10	1E11	1E-30	8.73988044671998E-11	1E10	1E-30	1E10	0.300297370637847	9.75555905907802E-10	1E10	15.2116291866236	8.65214696180209E-13	8.54182525725252E-10	322.873101304511	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
