BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.03452403341348E-09	1E10	1E10	1E-30	1.67030998760502E-10	1E10	1E-30	1E10	0.259779226327369	7.5600793328916E-08	1E10	25876.5503615594	1.55035320871369E-07	1E10	961.40500668265	1.31797552868212E-07	1E10	96.140500668265	1.11921559307448E-07	1E10	11.8278655582433	6.45477025748417E-08	1E10	2.0508757147825	3.13455061538642E-08	1E10	0.370677441289421	2.11815592157973E-08	1E10	0.108306112852129	2.00221929002412E-11	2.03639990474182E-10	4.40113695693196	1.73823085809746E-12	1.89341843728741E-10	18.6977753629943	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.03452403341348E-09	1E10	1E10	1E-30	1.67030998760502E-10	1E10	1E-30	1E10	0.259779226327369	7.5600793328916E-08	1E10	25876.5503615594	1.55035320871369E-07	1E10	961.40500668265	1.31797552868212E-07	1E10	96.140500668265	1.11921559307448E-07	1E10	11.8278655582433	6.45477025748417E-08	1E10	2.0508757147825	3.13455061538642E-08	1E10	0.370677441289421	2.11815592157973E-08	1E10	0.108306112852129	2.00221929002412E-11	2.03639990474182E-10	4.40113695693196	1.73823085809746E-12	1.89341843728741E-10	18.6977753629943	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	2.23354035079652E-09	1E10	1E10	1E-30	1.36806101704531E-10	1E10	1E-30	1E10	0.134785822956073	2.14169788631902E-07	1E10	8368.37626724265	3.40927850636723E-07	1E10	481.549791483586	3.05186864715885E-07	1E10	50.4244533970421	2.84950881594179E-07	1E10	6.60065858102042	1.97663506512735E-07	1E10	1.19064429918027	1.12246982460041E-07	1E10	0.296396659161092	3.6004235554267E-08	1E10	9.70079480665996E-02	1.78872616982732E-08	9.53628071659489E-12	6.41533664103945E-02	2.19217976482074E-09	2.83279350456113E-11	0.197227759331012	1.63655141519541E-11	1.52554282369762E-10	3.26815436998665	2.05788784887069E-12	1.7819750157942E-10	21.7708800221331	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.23354035079652E-09	1E10	1E10	1E-30	1.36806101704531E-10	1E10	1E-30	1E10	0.134785822956073	2.14169788631902E-07	1E10	8368.37626724265	3.40927850636723E-07	1E10	481.549791483586	3.05186864715885E-07	1E10	50.4244533970421	2.84950881594179E-07	1E10	6.60065858102042	1.97663506512735E-07	1E10	1.19064429918027	1.12246982460041E-07	1E10	0.296396659161092	3.6004235554267E-08	1E10	9.70079480665996E-02	1.78872616982732E-08	9.53628071659489E-12	6.41533664103945E-02	2.19217976482074E-09	2.83279350456113E-11	0.197227759331012	1.63655141519541E-11	1.52554282369762E-10	3.26815436998665	2.05788784887069E-12	1.7819750157942E-10	21.7708800221331	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	4.79988481825944E-09	1E10	1E10	1E-30	1.98350091592819E-10	1E10	1E-30	1E10	8.37496096108255E-02	5.12147321231153E-07	1E10	3986.55669196612	8.02556061074618E-07	1E10	199.801132014479	1.01763581025197E-06	1E10	23.4745861477961	6.12344972883831E-07	1E10	6.12859775281721	4.4901874785713E-07	1E10	0.939522032501304	3.2528532769555E-07	1E10	0.163270216670906	1.29498421431442E-07	1E10	6.20736051132391E-02	1E-30	9.76425434619106E-11	0.56727616069384	3.055591406122E-08	1.54168555290737E-11	6.23041775401052E-02	5.84521977427106E-09	3.326279168167E-11	0.133384021955066	5.56045433468033E-11	4.16114677751911E-11	1.11459678209313	4.02819307439728E-12	9.53263655103738E-11	11.1459678209313	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	4.79988481825944E-09	1E10	1E10	1E-30	1.98350091592819E-10	1E10	1E-30	1E10	8.37496096108255E-02	5.12147321231153E-07	1E10	3986.55669196612	8.02556061074618E-07	1E10	199.801132014479	1.01763581025197E-06	1E10	23.4745861477961	6.12344972883831E-07	1E10	6.12859775281721	4.4901874785713E-07	1E10	0.939522032501304	3.2528532769555E-07	1E10	0.163270216670906	1.29498421431442E-07	1E10	6.20736051132391E-02	1E-30	9.76425434619106E-11	0.56727616069384	3.055591406122E-08	1.54168555290737E-11	6.23041775401052E-02	5.84521977427106E-09	3.326279168167E-11	0.133384021955066	5.56045433468033E-11	4.16114677751911E-11	1.11459678209313	4.02819307439728E-12	9.53263655103738E-11	11.1459678209313	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	9.88377947020901E-09	1E10	1E10	1E-30	2.03516743602563E-10	1E10	1E-30	1E10	3.86206874952141E-02	1.17255341936205E-06	1E10	3150.88078058738	1.94904641790407E-06	1E10	256.113205125638	1.82597600025135E-06	1E10	53.5096328529622	1.31524152882198E-06	1E10	9.66833658450583	9.79030958225301E-07	1E10	1.37870246330948	7.04082078825329E-07	1E10	0.196773801292517	6.2144223558099E-07	1E10	4.03867725101623E-02	1E-30	1.11364884323001E-10	0.229911616876312	7.0114664567356E-08	1.66983872995472E-11	6.51855832023528E-02	1.73502673519718E-08	3.0930518022503E-11	0.116409775346812	6.45043895477952E-12	9.43482923268389E-11	12.6860480804837	7.43391690237798E-12	5.32275351127807E-11	10.3649328323198	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	9.88377947020901E-09	1E10	1E10	1E-30	2.03516743602563E-10	1E10	1E-30	1E10	3.86206874952141E-02	1.17255341936205E-06	1E10	3150.88078058738	1.94904641790407E-06	1E10	256.113205125638	1.82597600025135E-06	1E10	53.5096328529622	1.31524152882198E-06	1E10	9.66833658450583	9.79030958225301E-07	1E10	1.37870246330948	7.04082078825329E-07	1E10	0.196773801292517	6.2144223558099E-07	1E10	4.03867725101623E-02	1E-30	1.11364884323001E-10	0.229911616876312	7.0114664567356E-08	1.66983872995472E-11	6.51855832023528E-02	1.73502673519718E-08	3.0930518022503E-11	0.116409775346812	6.45043895477952E-12	9.43482923268389E-11	12.6860480804837	7.43391690237798E-12	5.32275351127807E-11	10.3649328323198	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	2.06090797545231E-08	1E10	1E10	1E-30	1.91057186850729E-10	1E10	1E-30	1E10	2.09214565731839E-02	2.53266244738844E-06	1E10	1167.87397722905	5.82439755564427E-06	1E10	99.4021965846339	3.22939304791551E-06	1E10	37.7916611124497	2.71968865950014E-06	1E10	4.46517088268822	1.9401036005829E-06	1E10	0.660865922239732	1.47183294949917E-06	1E10	9.71935966449914E-02	1.10122761050406E-06	1E10	1.21450875974619E-02	1E-30	1.41047740563502E-10	0.20271211825089	1.42379027449816E-07	1.85257486997824E-11	6.10758280618612E-02	3.40211693667089E-08	3.95124676686644E-11	8.81485701440444E-02	7.38171712103597E-12	7.48007887059775E-11	8.20704915873143	1.20447042315791E-11	2.60950370196285E-11	5.89156351250908	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	2.06090797545231E-08	1E10	1E10	1E-30	1.91057186850729E-10	1E10	1E-30	1E10	2.09214565731839E-02	2.53266244738844E-06	1E10	1167.87397722905	5.82439755564427E-06	1E10	99.4021965846339	3.22939304791551E-06	1E10	37.7916611124497	2.71968865950014E-06	1E10	4.46517088268822	1.9401036005829E-06	1E10	0.660865922239732	1.47183294949917E-06	1E10	9.71935966449914E-02	1.10122761050406E-06	1E10	1.21450875974619E-02	1E-30	1.41047740563502E-10	0.20271211825089	1.42379027449816E-07	1.85257486997824E-11	6.10758280618612E-02	3.40211693667089E-08	3.95124676686644E-11	8.81485701440444E-02	7.38171712103597E-12	7.48007887059775E-11	8.20704915873143	1.20447042315791E-11	2.60950370196285E-11	5.89156351250908	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	4.46194373318071E-08	1E10	1E10	1E-30	1.78673050839534E-10	1E10	1E-30	1E10	1.70633431511104E-02	6.02108002071643E-06	1E10	529.050603648878	7.59211975029197E-06	1E10	52.9050603648878	6.79260657226718E-06	1E10	9.19384577471377	5.86267595611265E-06	1E10	1.33680048537878	4.54627340627124E-06	1E10	0.210888541029818	4.68530390349576E-06	1E10	4.02493071423417E-02	2.71633994379507E-06	1E10	1.15499904275831E-02	1E-30	1.36906834062966E-10	0.121321761096328	3.04340666260908E-07	1.99145992008134E-11	3.41010465211681E-02	9.37772130445329E-08	3.09990995755771E-11	5.49587634326375E-02	5.42994052342047E-12	1.0676679580193E-10	16.5516342966439	4.30236358215074E-12	7.5165416947032E-11	14.4344331339832	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
END DSCRDATA
