BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.44090601079275E-06	1E10	10638298	1E-30	1.0443239868326E-10	1E10	1E-30	1E10	2.62213708143135E-03	6.26924922315123E-04	1E10	2.10187829430583	4.56574366804044E-04	1E10	0.460867189722496	4.69910502235406E-04	1E10	7.37300173766943E-02	6.05605628751487E-04	1E10	1.15880541727981E-02	3.17593562766425E-04	1E10	3.4545802458295E-03	1E-30	1.94781333815738E-11	0.130262745295445	1E-30	2.48522373352502E-10	2.43902666958285E-02	1E-30	2.64527630091736E-11	0.023990488527207	8.31782893946469E-06	1.21507448647959E-10	1.49180141944971E-02	3.92291122673501E-06	1.02879149505662E-10	1.22098287925719E-02	3.75205892129544E-11	3.65568928161217E-11	8.59041223877607	1.99256053633922E-12	2.06763654149018E-10	96.4241323926109	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	4.64862285226057E-06	1E10	106382978.723404	1E-30	6.76952000025265E-11	1E10	1E-30	1E10	2.38758342751335E-03	5.09320154972627E-04	1E10	8.56706846400431	4.91064321891624E-04	1E10	0.881508834262649	4.96182758759717E-04	1E10	0.095579181506898	5.26849654465539E-04	1E10	1.44121780315767E-02	4.11567593553818E-04	1E10	2.83021988208848E-03	1E-30	2.48294221223902E-11	3.13904769566814E-02	1E-30	2.69788641588195E-10	2.55266462133221E-02	7.85880065926358E-06	1.38756368026058E-10	1.84040810365374E-02	4.60639086507236E-06	9.79054513504597E-11	1.25194158947899E-02	3.02628233037254E-11	7.15748383002069E-11	3.84431727188796	2.22039191092139E-12	2.30028532879603E-10	78.7882430914671	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	9.7780526885918E-06	1E10	5E7	1E-30	6.00719592923727E-11	1E10	1E-30	1E10	1.44765874039863E-03	1.00803067499279E-03	1E10	5.26290012927216	1.79164416880343E-03	1E10	0.275446166731771	1.6970902445972E-03	1E10	3.88566641914169E-02	3.03653168397789E-03	1E10	3.80843454208765E-03	1.70117717367633E-03	1E10	1.76944284164986E-03	1E-30	5.60572790393445E-12	2.80136092768131E-02	1E-30	3.10339365032732E-11	1.76875667353483E-02	1E-30	3.42913793462832E-10	1.68489146848792E-02	1.83258444962223E-05	1.49342886289224E-10	1.33521263341529E-02	1.51640399639355E-05	7.97928292127324E-11	9.28816522513905E-03	3.80066399983512E-11	6.89467655077766E-11	5.1714936404673	2.13703209223445E-12	1.95998400223657E-10	115.035104126664	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	9.7780526885918E-06	1E10	5E7	1E-30	6.00719592923727E-11	1E10	1E-30	1E10	1.44765874039863E-03	1.00803067499279E-03	1E10	5.26290012927216	1.79164416880343E-03	1E10	0.275446166731771	1.6970902445972E-03	1E10	3.88566641914169E-02	3.03653168397789E-03	1E10	3.80843454208765E-03	1.70117717367633E-03	1E10	1.76944284164986E-03	1E-30	5.60572790393445E-12	2.80136092768131E-02	1E-30	3.10339365032732E-11	1.76875667353483E-02	1E-30	3.42913793462832E-10	1.68489146848792E-02	1.83258444962223E-05	1.49342886289224E-10	1.33521263341529E-02	1.51640399639355E-05	7.97928292127324E-11	9.28816522513905E-03	3.80066399983512E-11	6.89467655077766E-11	5.1714936404673	2.13703209223445E-12	1.95998400223657E-10	115.035104126664	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	9.74366053633701E-06	1E10	5E7	1E-30	4.99609353528384E-11	1E10	1E-30	1E10	1.44949673778491E-03	2.1817254113958E-03	1E10	2.96267035047163	2.56728604277046E-03	1E10	0.502353186656698	1.42646250251932E-03	1E10	0.173586902158415	1.44859527978552E-03	1E10	0.025532061060064	9.64368360998561E-04	1E10	3.94290035362698E-03	1E-30	3.47973293993382E-11	2.96976669165664E-02	1E-30	3.53257397862731E-10	1.88817953699834E-02	1.85000980182531E-05	1.51009930392835E-10	1.36231136020853E-02	1.18705805753913E-05	1.03804794528051E-10	1.00105661494393E-02	2.433318947172E-11	6.48580972523701E-11	5.37411683588109	2.1013871081704E-12	2.00435601067643E-10	99.7594680539855	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.19131162428846E-05	1E10	2272727.27272727	1E-30	1.42691891911203E-10	1E10	1E-30	1E10	1.32258528630536E-03	3.36877976100373E-03	1E10	1.46969175459303	2.9789874388152E-03	1E10	0.21410667394315	2.21505238530553E-03	1E10	0.03709495728379	3.52404175199727E-03	1E10	2.67705831564784E-03	6.57554934831914E-03	1E10	4.99297773173443E-04	1E-30	2.42811918035578E-11	0.038140806895231	1E-30	4.68367122925183E-10	1.35729738205594E-02	1E-30	2.93056729664856E-11	8.07522778874523E-03	4.11307480568906E-05	1.83288145753863E-10	8.48561882061064E-03	3.12557256752256E-05	1.03900125962021E-10	5.99061789399729E-03	1.24069393170354E-11	5.5987650674009E-11	5.52159075139282	3.86453060911044E-12	8.87700629655659E-11	28.8154456180214	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.68224659982824E-05	1E10	2272727	1E-30	3.85870995307345E-11	1E10	1E-30	1E10	1.95646538001214E-03	5.20099274692803E-04	1E10	8.12611582170021	7.00206787497018E-04	1E10	0.668184946915408	6.17389387208516E-04	1E10	0.103620531784489	6.08457034512456E-04	1E10	1.37842574991731E-02	5.11676303284683E-04	1E10	2.81521527136355E-03	1E-30	4.32519468120056E-11	2.57492493638854E-02	1E-30	3.88018971732289E-10	1.45430218861037E-02	3.01609057954599E-05	1.5519196187127E-10	8.43503826061778E-03	2.45966470591434E-05	8.36032695508597E-11	5.99587437650665E-03	5.89324608380291E-11	5.46460219418776E-11	3.35875117846238	1.39350331237823E-11	6.12420870313081E-11	3.81207260331489	2.18814187794648E-12	2.04749570797438E-10	138.739437780441	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.11963203017336E-05	1E10	1063830	1E-30	1.04857012576751E-10	1E10	1E-30	1E10	1.2464048303896E-03	9.60660152617434E-04	1E10	1.40608464789411	1.10745600944707E-03	1E10	0.134960938480935	1.00790377590314E-03	1E10	1.71637289403427E-02	7.40338784858914E-04	1E10	2.30331055351562E-03	1E-30	1.72953917993103E-11	2.33454691494095E-02	1E-30	4.69152047510635E-11	1.35827105238383E-02	1E-30	4.34949902069268E-10	1.05346836909917E-02	7.35133498560654E-05	1.35628477896341E-10	4.81207643987197E-03	3.32173313942785E-05	1.34263265164384E-10	4.31907192952351E-03	2.94937800494723E-11	7.86125950010346E-11	10.3620019391649	6.37292334524462E-12	1.57241872404556E-10	28.0220553844218	5.46852165850896E-12	1.22848599910861E-10	25.2852288414943	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
END DSCRDATA
