BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2E-13	1E10	1E10	1E-30	2.31828790386421E-10	1E10	1E-30	1E10	0.543520594180664	1E-30	1.21417558870188E-12	0.439397003811487	7.47704220907245E-12	1.68651154233642E-12	12.2908238187902	5.19745955996472E-12	2.13043681213139E-12	12.1079202929024	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
2	2E-13	1E10	1E10	1E-30	2.31828790386421E-10	1E10	1E-30	1E10	0.543520594180664	1E-30	1.21417558870188E-12	0.439397003811487	7.47704220907245E-12	1.68651154233642E-12	12.2908238187902	5.19745955996472E-12	2.13043681213139E-12	12.1079202929024	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
3	2E-13	1E10	1E10	1E-30	2.31828790386421E-10	1E10	1E-30	1E10	0.543520594180664	1E-30	1.21417558870188E-12	0.439397003811487	7.47704220907245E-12	1.68651154233642E-12	12.2908238187902	5.19745955996472E-12	2.13043681213139E-12	12.1079202929024	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
4	2E-13	1E10	1E10	1E-30	2.31828790386421E-10	1E10	1E-30	1E10	0.543520594180664	1E-30	1.21417558870188E-12	0.439397003811487	7.47704220907245E-12	1.68651154233642E-12	12.2908238187902	5.19745955996472E-12	2.13043681213139E-12	12.1079202929024	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
5	2E-13	1E10	1E10	1E-30	2.20563044329471E-10	1E10	1E-30	1E10	0.407212058509149	2.27556776314094E-11	9.05674521428952E-13	1.95987472990143	7.69562451057071E-13	1.31660776410662E-11	69.5127095735403	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
6	2E-13	1E10	1E10	1E-30	2.20563044329471E-10	1E10	1E-30	1E10	0.407212058509149	2.27556776314094E-11	9.05674521428952E-13	1.95987472990143	7.69562451057071E-13	1.31660776410662E-11	69.5127095735403	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
7	2E-13	1E10	1E10	1E-30	2.20563044329471E-10	1E10	1E-30	1E10	0.407212058509149	2.27556776314094E-11	9.05674521428952E-13	1.95987472990143	7.69562451057071E-13	1.31660776410662E-11	69.5127095735403	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
8	2E-13	1E10	1E10	1E-30	2.20563044329471E-10	1E10	1E-30	1E10	0.407212058509149	2.27556776314094E-11	9.05674521428952E-13	1.95987472990143	7.69562451057071E-13	1.31660776410662E-11	69.5127095735403	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
9	3E-13	1E10	1E10	1E-30	2.24169703278859E-10	1E10	1E-30	1E10	0.477014651401314	1E-30	1.25095512163109E-12	0.500845263235049	3.0427467022153E-12	4.95258518518867E-12	25.2831177253255	2.39323790913321E-11	5.69180586130744E-13	3.73856575944604	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
10	3E-13	1E10	1E10	1E-30	2.24169703278859E-10	1E10	1E-30	1E10	0.477014651401314	1E-30	1.25095512163109E-12	0.500845263235049	3.0427467022153E-12	4.95258518518867E-12	25.2831177253255	2.39323790913321E-11	5.69180586130744E-13	3.73856575944604	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
11	3E-13	1E10	1E10	1E-30	2.24169703278859E-10	1E10	1E-30	1E10	0.477014651401314	1E-30	1.25095512163109E-12	0.500845263235049	3.0427467022153E-12	4.95258518518867E-12	25.2831177253255	2.39323790913321E-11	5.69180586130744E-13	3.73856575944604	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
12	3E-13	1E10	1E10	1E-30	2.24169703278859E-10	1E10	1E-30	1E10	0.477014651401314	1E-30	1.25095512163109E-12	0.500845263235049	3.0427467022153E-12	4.95258518518867E-12	25.2831177253255	2.39323790913321E-11	5.69180586130744E-13	3.73856575944604	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
13	3E-13	1E10	1E10	1E-30	1.96340900812007E-10	1E10	1E-30	1E10	0.35118301612422	9.26737940625466E-12	2.00990142027261E-12	3.8085241997118	9.39732462520166E-13	1.03733843724265E-11	83.8938890705529	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
14	3E-13	1E10	1E10	1E-30	1.96340900812007E-10	1E10	1E-30	1E10	0.35118301612422	9.26737940625466E-12	2.00990142027261E-12	3.8085241997118	9.39732462520166E-13	1.03733843724265E-11	83.8938890705529	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
15	3E-13	1E10	1E10	1E-30	1.96340900812007E-10	1E10	1E-30	1E10	0.35118301612422	9.26737940625466E-12	2.00990142027261E-12	3.8085241997118	9.39732462520166E-13	1.03733843724265E-11	83.8938890705529	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
16	3E-13	1E10	1E10	1E-30	1.96340900812007E-10	1E10	1E-30	1E10	0.35118301612422	9.26737940625466E-12	2.00990142027261E-12	3.8085241997118	9.39732462520166E-13	1.03733843724265E-11	83.8938890705529	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
17	4E-13	1E10	1E10	1E-30	2.29064832985074E-10	1E10	1E-30	1E10	0.433957009683719	1.44197154053537E-12	1.28010443759338E-11	53.9699525979388	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
18	4E-13	1E10	1E10	1E-30	2.29064832985074E-10	1E10	1E-30	1E10	0.433957009683719	1.44197154053537E-12	1.28010443759338E-11	53.9699525979388	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
19	4E-13	1E10	1E10	1E-30	2.29064832985074E-10	1E10	1E-30	1E10	0.433957009683719	1.44197154053537E-12	1.28010443759338E-11	53.9699525979388	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
20	4E-13	1E10	1E10	1E-30	2.29064832985074E-10	1E10	1E-30	1E10	0.433957009683719	1.44197154053537E-12	1.28010443759338E-11	53.9699525979388	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
