BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.00165397082362E-09	1E10	1E10	1E-30	1.07722847235629E-11	1E10	1E-30	1E10	2.21860254501332E-02	1E-30	1.22851593797083E-10	0.903214077253386	2.96516048971881E-08	6.76056065161759E-11	2.85706571308485E-02	4.22775482627595E-09	3.0053921142996E-11	0.499316407620991	1.33579217123823E-09	3.38400080663305E-11	0.725405396503323	6.93539636559622E-13	6.31052965413541E-10	284.239407286452	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.22807073207147E-09	1E10	1E10	1E-30	8.36689613925117E-11	1E10	1E-30	1E10	1.81416657726357E-02	1E-30	1.06070008222594E-10	0.79799929042154	2.89998762809847E-08	5.88348665656481E-11	2.30891127933815E-02	5.36156363229127E-09	2.48152966852508E-11	0.507217426959042	1.57066428059436E-09	2.87796815704865E-11	0.676450946265831	7.91369096449982E-13	5.40453099273604E-10	317.789161983357	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.47671047729966E-09	1E10	1E10	1E-30	2.43250941153499E-10	1E10	1E-30	1E10	1.46233238362792E-02	1E-30	9.96516028497494E-11	0.903575471438043	1E-30	7.10779034067633E-11	2.14991903211614E-02	4.18738801300319E-09	4.4493444012342E-11	0.605036602283286	1.55319260529316E-09	4.454353419612E-11	0.866683112282782	1.21424678056097E-12	3.08486208499214E-10	72.398517374471	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.75104834165898E-09	1E10	1E10	1E-30	5.59040572289031E-11	1E10	1E-30	1E10	1.25321598501378E-02	1E-30	1.30348559803146E-10	0.788403106441187	1E-30	5.76644693774778E-11	2.12204950804411E-02	5.22870018213207E-09	4.82576940199507E-11	0.668107941912181	2.57523645195305E-09	3.90702584771959E-11	0.861740387965329	6.31173966822557E-13	4.73950212648918E-10	651.85904617726	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.21914723616349E-09	1E10	1E10	1E-30	9.01546345766111E-11	1E10	1E-30	1E10	9.38153156717354E-03	1E-30	7.30798695688635E-11	2.14776105681938E-02	6.89129064196553E-09	4.95816706179932E-11	0.740540483027611	2.09325005651145E-09	6.3322095171497E-11	0.86054426264207	8.93782526788701E-09	6.76577720753615E-12	0.150200377745751	3.0681277183215E-09	1.19558130568069E-11	0.256489640402436	1.23951366576305E-10	8.00988981484631E-11	0.458332511213236	7.40962711762283E-13	3.87727146162505E-10	118.639264032804	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.73656024860824E-09	1E10	1E10	1E-30	4.40288303633407E-11	1E10	1E-30	1E10	8.16159119976772E-03	1E-30	1.75127286074186E-10	0.636411168463328	1E-30	6.27077969544547E-11	1.25840836814271E-02	8.41759493117312E-09	6.14443906761747E-11	0.772558712039589	4.30813789460394E-09	4.8882908014248E-11	0.750482713386	8.27351300582086E-13	4.84018005159857E-10	491.66051638035	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	3.16591039484914E-09	1E10	1E10	1E-30	2.19879806358381E-10	1E10	1E-30	1E10	8.53868427608913E-03	1E-30	1.93748053496116E-10	0.70969180346802	1E-30	4.85363524251163E-11	9.53741732109969E-03	1.12109137278219E-08	5.36748216020132E-11	0.899015935541838	4.4077435375187E-09	5.49367327560062E-11	0.876704043305291	1.10371374314084E-12	3.00579629118269E-10	55.1410639944275	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	3.95522189002766E-09	1E10	1E10	1E-30	1.21294927948263E-10	1E10	1E-30	1E10	8.36486653196224E-03	1E-30	1.74833875748221E-10	0.51760283069309	1E-30	5.5129623470721E-11	1.24260973072263E-02	1.05673695044894E-08	7.8649232265661E-11	0.817604321546343	7.75066152025823E-09	4.39073577393102E-11	0.759166554373846	8.34516339649973E-13	4.86564924574366E-10	80.6199312181479	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.72725427254238E-09	1E10	1E10	1E-30	2.7481722886973E-10	1E10	1E-30	1E10	6.52496901820684E-03	1E-30	2.07688007677151E-10	0.495091476403285	1E-30	5.12559569353153E-11	7.97748904133964E-03	1.38524223755982E-08	7.99768777142499E-11	1.03953510557648	8.63499390508716E-09	5.43242196208789E-11	0.732816116438817	1.69643694005007E-08	1.39304871885868E-11	0.231484245680835	1.21261114372578E-08	1.25171298095736E-11	0.214833250098798	1.56213994179648E-12	2.31095897529525E-10	161.764583693933	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
