BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5.02415586768375E-10	1E10	1E10	1E-30	4.63522618325481E-10	1E10	1E-30	1E10	0.498660244944181	4.62005373834929E-08	1E10	71090.1993224976	6.44883061991901E-08	1E10	5296.17990419618	6.48218894953821E-08	1E10	1019.68251914524	6.14485529421318E-08	1E10	203.532950978331	4.9394942121288E-08	1E10	41.6543925341646	3.38473430831828E-08	1E10	8.85237398971805	1.70201670196348E-08	1E10	2.11080630160103	7.3449307915726E-09	1E10	0.556954305433044	1.8427446837098E-10	3.84293280100675E-11	1.5271837783332	5.89977874364457E-12	5.25505208546113E-10	31.4999720379585	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	6.87959368384048E-10	1E10	1E10	1E-30	5.460190262565E-10	1E10	1E-30	1E10	0.369597754955263	9.47412442061721E-08	1E10	17357.0481992507	9.83213844804642E-08	1E10	4082.76940364027	8.59214911965411E-08	1E10	858.233445484493	8.47405804601811E-08	1E10	159.299400881257	6.84208217936429E-08	1E10	33.5585434904963	4.80676961302521E-08	1E10	7.05380281828669	3.06721211237537E-08	1E10	1.63119151050694	8.792962011597E-09	1E10	0.42580036241783	3.6383584208679E-10	2.57511108363685E-11	0.620797842642905	5.91630076072171E-12	4.41724039875082E-10	20.0483235374371	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.04440564685465E-09	1E10	1E10	1E-30	4.22033834873376E-10	1E10	1E-30	1E10	0.339871815273391	1.38399144199819E-07	1E10	15313.7059230174	1.85407433933082E-07	1E10	2082.27254206418	1.58140166754889E-07	1E10	475.396732981667	1.49825940654812E-07	1E10	93.3657019620218	1.23730719271082E-07	1E10	20.1469432938795	8.81822727573315E-08	1E10	4.53099495974891	5.05821323806936E-08	1E10	1.07343000467571	1.38442168837321E-08	1E10	0.354938323176069	1E-30	1.06294845499124E-10	1.45627775486321	1E-30	5.84535606522032E-11	1.1059310238359	8.93603181868987E-10	4.28819718278381E-11	0.524983117789881	1.18888226988952E-11	1.67262867570685E-10	7.97541137333862	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.07172932723426E-09	1E10	1E10	1E-30	5.0912329736111E-10	1E10	1E-30	1E10	0.358554580744816	1.46289437925361E-07	1E10	14702.8118362668	1.93642468364946E-07	1E10	2032.34582381487	1.65784811682772E-07	1E10	464.515750096596	1.58472824232693E-07	1E10	91.7361323368924	1.33593345790016E-07	1E10	19.6232664631145	9.88705542737031E-08	1E10	4.40992738747341	7.0992870874021E-08	1E10	0.924944514076599	1.60609684942802E-08	1E10	0.386260113977394	1E-30	7.47511890091549E-11	1.44968180824043	1E-30	6.91478078278162E-11	1.00977159469952	9.70456001563465E-10	3.22595855148015E-11	0.408966552093609	1.37487499328726E-11	1.54870376337636E-10	9.31584282189587	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.55882234875672E-09	1E10	1E10	1E-30	4.31671246584817E-10	1E10	1E-30	1E10	0.329281123351373	2.2209120550835E-07	1E10	8996.12621941379	2.57272184511404E-07	1E10	1690.88522212204	2.2813364502974E-07	1E10	361.82672790898	2.1498132560707E-07	1E10	73.4505520745239	1.80211300047489E-07	1E10	15.8977743397446	1.32333688259755E-07	1E10	3.58200690504563	7.49822952983403E-08	1E10	0.872031034563809	2.7930611218439E-08	1E10	0.19528003378683	1E-30	5.44994762504319E-11	0.877822632348946	1E-30	3.34256681285988E-11	0.683119680726807	5.35853113732845E-10	2.84887572528112E-11	0.365754050319177	7.34574646741555E-12	3.40392557401818E-10	16.9515650593892	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.57930427603628E-09	1E10	1E10	1E-30	4.80603746821611E-10	1E10	1E-30	1E10	0.258613482254156	2.24335044500501E-07	1E10	9260.27759690577	2.59079099493836E-07	1E10	1714.60673539245	2.33154452075714E-07	1E10	363.152594651027	2.20693373378675E-07	1E10	74.8727765238426	1.87191710235318E-07	1E10	16.4897701613187	1.42654085225556E-07	1E10	3.76040231047096	8.72929074186212E-08	1E10	0.956242099429045	3.16893069541634E-08	1E10	0.259294297951521	1E-30	8.0462001201037E-11	1.19026223010779	1E-30	6.09643758455404E-11	0.834639311860484	1.82443087990258E-09	1.91704757463247E-11	0.269903448126017	9.33691626752962E-12	2.37465495314422E-10	14.9669310857509	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.23197082226987E-09	1E10	1E10	1E-30	5.1541361643277E-10	1E10	1E-30	1E10	0.196275473340574	3.00612659246908E-07	1E10	7296.27011700961	3.71682348016512E-07	1E10	1206.35432337508	3.27184068559612E-07	1E10	271.881250648704	3.06806503730337E-07	1E10	56.5025947520657	2.62019562405045E-07	1E10	12.3728566956699	2.03056484033396E-07	1E10	2.81012890950306	1.1743026488676E-07	1E10	0.750067589956396	4.15135231763754E-08	1E10	0.188020235949929	1E-30	9.22296726195193E-11	1.14410989932238	2.38283240537791E-09	3.00838914665253E-11	0.175433460683074	1.1229259187081E-11	2.13116471473736E-10	14.2076220443965	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.19727414744093E-09	1E10	1E10	1E-30	5.0055017255945E-10	1E10	1E-30	1E10	0.2367814055527	2.91070442723125E-07	1E10	7567.30028084415	3.68363764580834E-07	1E10	1226.0155460291	3.25994244419119E-07	1E10	271.603350620382	3.102564614803E-07	1E10	56.1101792359338	2.62623506088195E-07	1E10	12.3516267097388	2.03316069337647E-07	1E10	2.74489196659574	1.80386612243072E-07	1E10	0.645902110330408	4.67887963863709E-08	1E10	0.281176176790388	1E-30	3.63360046161684E-11	0.82332291631056	1E-30	5.7733300474089E-11	0.42819714430787	3.24824383580938E-09	1.88633104023164E-11	0.154828983650619	1.11522453047946E-11	2.28200278819384E-10	14.0713420143676	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.38797876795092E-09	1E10	1E10	1E-30	4.67894731289979E-10	1E10	1E-30	1E10	0.152772208138698	3.7143462732774E-07	1E10	4419.47328711063	4.60377214181142E-07	1E10	598.888508399979	3.99804733370284E-07	1E10	121.392791678946	3.55781447329058E-07	1E10	21.9684633832443	2.74902406907178E-07	1E10	4.19048175579481	1.67441399709195E-07	1E10	0.813228790965456	8.93963435748043E-08	1E10	0.140625341347863	1E-30	1.07590232926712E-10	1.01441934717486	1E-30	5.58329542105339E-11	0.514307083512956	2.0493308052744E-08	7.19376547432631E-12	7.47131068729605E-02	2.07220157027075E-09	3.95503997346361E-11	0.290523962591616	9.76545046099531E-12	2.25504567369737E-10	16.7798244146533	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
