BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.27512836662123E-06	1E10	15151515.1515152	1E-30	4.27675330517519E-11	1E10	1E-30	1E10	2.3371805944317E-03	3.13990952893525E-04	1E10	4.44508493713411	4.90703786812751E-04	1E10	0.396215174111421	3.78669767817498E-04	1E10	7.02055711950127E-02	3.57556273189282E-04	1E10	9.65792989749802E-03	3.45487715031342E-04	1E10	1.71150829963006E-03	1E-30	2.66998862220011E-11	2.82570888098866E-02	1E-30	2.43954067767346E-10	2.37432030324361E-02	6.23657502319772E-06	1.1228153713272E-10	2.09162943072732E-02	3.999086802907E-06	7.00529727484099E-11	1.46631891546264E-02	3.1145642525581E-11	4.51404488209642E-11	7.47441769510125	1.77400820895819E-12	2.69198372991208E-10	67.9986038391255	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	3.27405971529225E-06	1E10	15151515.1515152	1E-30	9.10800063067584E-11	1E10	1E-30	1E10	2.35127452588549E-03	6.52018146943969E-04	1E10	3.35400277023814	4.83029942059558E-04	1E10	0.588674123829563	4.71912416107372E-04	1E10	9.59938963408826E-02	4.6067001350247E-04	1E10	1.69641846757106E-02	2.85704456701952E-04	1E10	3.73825732198612E-03	1E-30	9.2110602920849E-12	6.42895387077656E-02	1E-30	2.25354681254022E-10	0.026435324920156	1E-30	1.81523656629734E-11	1.96585389501267E-02	5.53130112496797E-06	1.27938186774097E-10	2.26355610079022E-02	3.13674525976515E-06	8.9156061169286E-11	1.73220634687481E-02	1.76700946679699E-11	7.05009964778762E-11	14.262329774652	2.86350601581142E-12	1.88405876067098E-10	56.2410989951835	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	4.41E-6	1E10	10638297.8723404	1E-30	1.30520885530013E-10	1E10	1E-30	1E10	2.13084194797659E-03	5.56391369150707E-04	1E10	9.92939957296718	6.32470777157687E-04	1E10	0.846622255169512	5.88475028218186E-04	1E10	0.123225164923857	6.49980327391343E-04	1E10	1.46193808204256E-02	4.72129802584891E-04	1E10	2.84129421197208E-03	1E-30	2.54813004674768E-11	4.00259331762697E-02	1E-30	3.30746542113974E-10	2.49374468650997E-02	7.67463026795285E-06	1.47608375937811E-10	2.30419993515638E-02	5.89300694930587E-06	7.779846490139E-11	1.35037124901611E-02	9.62257614171091E-12	7.00101586942109E-11	7.94355369422496	3.74025770854171E-12	9.95932314437974E-11	85.1037310762998	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	4.41E-6	1E10	10638297.8723404	1E-30	1.30520885530013E-10	1E10	1E-30	1E10	2.13084194797659E-03	5.56391369150707E-04	1E10	9.92939957296718	6.32470777157687E-04	1E10	0.846622255169512	5.88475028218186E-04	1E10	0.123225164923857	6.49980327391343E-04	1E10	1.46193808204256E-02	4.72129802584891E-04	1E10	2.84129421197208E-03	1E-30	2.54813004674768E-11	4.00259331762697E-02	1E-30	3.30746542113974E-10	2.49374468650997E-02	7.67463026795285E-06	1.47608375937811E-10	2.30419993515638E-02	5.89300694930587E-06	7.779846490139E-11	1.35037124901611E-02	9.62257614171091E-12	7.00101586942109E-11	7.94355369422496	3.74025770854171E-12	9.95932314437974E-11	85.1037310762998	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	4.63315086936373E-06	1E10	10638297.8723404	1E-30	2.52246333484031E-11	1E10	1E-30	1E10	1.98748065289072E-03	2.96601965606194E-04	1E10	17.4649781566119	5.7653071185042E-04	1E10	0.531659708913754	5.3752826609288E-04	1E10	5.60876109691236E-02	4.66575076175406E-04	1E10	6.01644573263434E-03	4.50993133564172E-04	1E10	6.06247113171147E-04	1E-30	2.45654140230152E-11	2.97272532593516E-02	1E-30	3.5793515697479E-10	2.52206560100537E-02	7.373409121559E-06	1.5837846687559E-10	2.14970421883775E-02	6.24127433818299E-06	7.51547741722804E-11	1.22153433434356E-02	1.2413792429924E-12	2.92692565189465E-10	78.9917730847246	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	5.17071615784052E-06	1E10	7352941	1E-30	1.43967392686263E-10	1E10	1E-30	1E10	2.9915632524959E-03	1.48687203685621E-04	1E10	10.9417438781925	1.84586527584949E-04	1E10	1.17534415202117	1.53615181861414E-04	1E10	0.205369061453801	1.30148528429674E-04	1E10	3.61812588558117E-02	9.60685640485425E-05	1E10	7.19098960207804E-03	1E-30	1.10644784916155E-11	6.77961416113688E-02	1E-30	2.7875962843453E-11	2.57225224611301E-02	1E-30	2.30522173627117E-10	2.34780141389534E-02	9.28896890463752E-06	9.82262374445671E-11	1.21442326791646E-02	4.39613340804122E-06	8.50100864095109E-11	1.26231760254876E-02	1.28257452662959E-11	5.92969738858691E-11	14.5463938309171	4.07927700919279E-12	1.00435937347751E-10	24.8674698652583	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	9.53993890714852E-06	1E10	5E6	1E-30	4.75467957738334E-11	1E10	1E-30	1E10	1.68632153043262E-03	1.01632388624549E-03	1E10	3.73512207552443	1.23883726017736E-03	1E10	0.317835119355449	1.08437951893258E-03	1E10	5.65653044441536E-02	1.30254469406129E-03	1E10	6.56438663036686E-03	8.85093100922878E-04	1E10	1.61371459164158E-03	1E-30	2.50776719821236E-11	3.29088914940142E-02	1E-30	4.244561576851E-10	1.55321040103825E-02	1E-30	1.91870946888226E-11	4.14131535844295E-03	1.85890720774306E-05	1.28566470871049E-10	9.46759280080295E-03	2.04979132388871E-05	5.00827214544128E-11	6.17881258980563E-03	1.30083274413362E-11	8.32735061566769E-11	8.02794322580005	2.30310156715555E-12	1.68116825279877E-10	81.3162033191974	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	9.53993890714852E-06	1E10	5E6	1E-30	4.75467957738334E-11	1E10	1E-30	1E10	1.68632153043262E-03	1.01632388624549E-03	1E10	3.73512207552443	1.23883726017736E-03	1E10	0.317835119355449	1.08437951893258E-03	1E10	5.65653044441536E-02	1.30254469406129E-03	1E10	6.56438663036686E-03	8.85093100922878E-04	1E10	1.61371459164158E-03	1E-30	2.50776719821236E-11	3.29088914940142E-02	1E-30	4.244561576851E-10	1.55321040103825E-02	1E-30	1.91870946888226E-11	4.14131535844295E-03	1.85890720774306E-05	1.28566470871049E-10	9.46759280080295E-03	2.04979132388871E-05	5.00827214544128E-11	6.17881258980563E-03	1.30083274413362E-11	8.32735061566769E-11	8.02794322580005	2.30310156715555E-12	1.68116825279877E-10	81.3162033191974	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	9.29450785555604E-06	1E10	5E6	1E-30	1.18331465117618E-11	1E10	1E-30	1E10	1.89780444613367E-03	1.1645425398476E-03	1E10	3.96774286472791	1.12565364643501E-03	1E10	0.453723205040252	9.57581837204293E-04	1E10	6.24146680589906E-02	9.71934943907312E-04	1E10	6.37833250163664E-03	9.4238615202104E-04	1E10	5.50283873759519E-04	1E-30	3.4020491293347E-11	3.06121975868887E-02	1E-30	3.14677508636662E-10	1.85750260118432E-02	1.88023426262839E-05	1.16177577146735E-10	8.76355869002852E-03	8.17176815568521E-06	1.08118052160862E-10	7.78251538690814E-03	1.76100431149635E-11	8.54816405327426E-11	8.84268213492717	1.91826383899911E-12	2.54101668494898E-10	101.711285491793	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
