BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.12969787438154E-07	1E10	227272727	1E-30	1.29231386029393E-10	1E10	1E-30	1E10	0.011	2.59057029514821E-05	1E10	153.590643139438	5.43335364694836E-05	1E10	14.3339128272057	3.08275436028113E-05	1E10	4.97009578836644	2.59476930773785E-05	1E10	0.613368373894665	2.37030423466939E-05	1E10	0.075338338695325	1.41903609568107E-05	1E10	1.60224398173514E-02	2.14221500498792E-05	1E10	1.85736425523722E-03	1E-30	1.65859024787253E-11	8.14652109119149E-02	1E-30	1.33583232743735E-10	0.060545667009393	1.22662002833192E-06	2.1488535788172E-11	1.18369160634856E-02	3.92663263719074E-07	3.33576128338322E-11	2.08496008104482E-02	1.0535329037048E-11	5.69069678708145E-11	8.32441017029747	1.97207784162497E-12	1.18930283581807E-10	26.9013963736769	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	9.32006195600336E-07	1E10	5E7	1E-30	1.82402167871182E-11	1E10	1E-30	1E10	5.14704901857192E-03	1.36396649173314E-04	1E10	10.3131675280006	1.32334666092218E-04	1E10	1.28530084344808	9.52498064172157E-05	1E10	0.206685760996516	1.2156219218428E-04	1E10	2.07604195631084E-02	6.57994644415807E-05	1E10	6.97271371756405E-03	1E-30	2.61631917778397E-11	0.097890005267145	1E-30	2.58342007535744E-10	4.10645087368354E-02	5.67768394658512E-06	2.82591888354668E-11	7.53725258375986E-03	3.21092178360599E-06	2.52175348485886E-11	8.1342890045818E-03	2.26407793472559E-12	1.09685373727028E-10	1E5	1.96358621487231E-12	1.24585021018143E-10	31.5531831052092	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	7.2168550637675E-07	1E10	5E7	1E-30	2.05333659108211E-10	1E10	1E-30	1E10	6.64057505634343E-03	5.45106313340534E-06	1E10	1282.9734376016	1.84129040702025E-05	1E10	17.5237973787042	1.86679127749661E-05	1E10	1.72557943566814	1.44267102906688E-05	1E10	0.223405689325889	1.23481394501468E-05	1E10	2.61077285115412E-02	1.07211571265143E-05	1E10	2.34098296484683E-03	1E-30	1.1913336273586E-11	0.113930081411523	1E-30	2.16747633401892E-11	4.74970572741064E-02	1E-30	1.74602198138659E-10	4.13577382379336E-02	2.48012534870123E-06	3.63426848602605E-11	1.05173635274504E-02	1.22904385122323E-06	3.64065009780331E-11	1.43983020591954E-02	4.04751350083224E-12	9.15711021007715E-11	19.188140431965	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	7.2168550637675E-07	1E10	5E7	1E-30	2.05333659108211E-10	1E10	1E-30	1E10	6.64057505634343E-03	5.45106313340534E-06	1E10	1282.9734376016	1.84129040702025E-05	1E10	17.5237973787042	1.86679127749661E-05	1E10	1.72557943566814	1.44267102906688E-05	1E10	0.223405689325889	1.23481394501468E-05	1E10	2.61077285115412E-02	1.07211571265143E-05	1E10	2.34098296484683E-03	1E-30	1.1913336273586E-11	0.113930081411523	1E-30	2.16747633401892E-11	4.74970572741064E-02	1E-30	1.74602198138659E-10	4.13577382379336E-02	2.48012534870123E-06	3.63426848602605E-11	1.05173635274504E-02	1.22904385122323E-06	3.64065009780331E-11	1.43983020591954E-02	4.04751350083224E-12	9.15711021007715E-11	19.188140431965	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.78983241475249E-06	1E10	22727272.7272727	1E-30	2.15100417765673E-10	1E10	1E-30	1E10	4.60579522756171E-03	6.02404617000769E-05	1E10	72.1617284449893	1.0048301924218E-04	1E10	4.16925751756566	8.72083694442139E-05	1E10	0.53923700234284	8.22848073125591E-05	1E10	7.52255901693895E-02	6.88137455512618E-05	1E10	1.27271545567885E-02	8.19853759340985E-05	1E10	1.89227695240508E-03	1E-30	2.42234978759482E-11	0.066827597990846	1E-30	1.56273194259003E-10	3.08115144822008E-02	6.96791914869612E-06	3.83899279890882E-11	7.06205221222949E-03	1.8350818310381E-06	6.97636170356524E-11	1.18535353238997E-02	5.15458848560346E-12	8.19883540769414E-11	17.10705735476	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.78983241475249E-06	1E10	22727272.7272727	1E-30	2.15100417765673E-10	1E10	1E-30	1E10	4.60579522756171E-03	6.02404617000769E-05	1E10	72.1617284449893	1.0048301924218E-04	1E10	4.16925751756566	8.72083694442139E-05	1E10	0.53923700234284	8.22848073125591E-05	1E10	7.52255901693895E-02	6.88137455512618E-05	1E10	1.27271545567885E-02	8.19853759340985E-05	1E10	1.89227695240508E-03	1E-30	2.42234978759482E-11	0.066827597990846	1E-30	1.56273194259003E-10	3.08115144822008E-02	6.96791914869612E-06	3.83899279890882E-11	7.06205221222949E-03	1.8350818310381E-06	6.97636170356524E-11	1.18535353238997E-02	5.15458848560346E-12	8.19883540769414E-11	17.10705735476	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.78983241475249E-06	1E10	22727272.7272727	1E-30	2.15100417765673E-10	1E10	1E-30	1E10	4.60579522756171E-03	6.02404617000769E-05	1E10	72.1617284449893	1.0048301924218E-04	1E10	4.16925751756566	8.72083694442139E-05	1E10	0.53923700234284	8.22848073125591E-05	1E10	7.52255901693895E-02	6.88137455512618E-05	1E10	1.27271545567885E-02	8.19853759340985E-05	1E10	1.89227695240508E-03	1E-30	2.42234978759482E-11	0.066827597990846	1E-30	1.56273194259003E-10	3.08115144822008E-02	6.96791914869612E-06	3.83899279890882E-11	7.06205221222949E-03	1.8350818310381E-06	6.97636170356524E-11	1.18535353238997E-02	5.15458848560346E-12	8.19883540769414E-11	17.10705735476	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.62525327260747E-06	1E10	22727272.7272727	1E-30	1.88031261517196E-10	1E10	1E-30	1E10	5.87930718087001E-03	2.65330537299513E-05	1E10	195.189573891449	5.63366220404665E-05	1E10	7.860965834844	5.36368523177594E-05	1E10	1.05386669820219	5.04763390975882E-05	1E10	0.140387509149241	4.12534418703953E-05	1E10	2.55238584128575E-02	4.55731357630068E-05	1E10	4.69766743582093E-03	1E-30	2.06660957757221E-11	0.127706676984752	1E-30	3.28566782986905E-11	2.80045813697186E-02	1E-30	2.19139710539947E-10	2.39761552901824E-02	9.1961970970984E-06	2.51122211394663E-11	4.69010777411457E-03	4.50186051031794E-06	2.65010449489314E-11	6.50876746724183E-03	1.20833397906116E-11	3.55115480434537E-11	9.66908886308626	5.80959073599708E-12	6.24801349605082E-11	19.6566824247891	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.6787197317012E-06	1E10	10638297.8723404	1E-30	1.77758335647021E-10	1E10	1E-30	1E10	3.74429201801138E-03	1.47255618751189E-04	1E10	27.9364988788054	1.92120515501774E-04	1E10	2.73531596387436	2.02377751767857E-04	1E10	0.346450155430426	2.03619070980967E-04	1E10	6.15192085852042E-02	1.88979826867165E-04	1E10	1.15808659819993E-02	1.5231362502207E-04	1E10	4.15645762104286E-03	1E-30	1.53325312301017E-11	0.150354018708057	1E-30	3.59521125026917E-11	4.32834013719244E-02	1E-30	2.38657071892356E-10	2.29920990188209E-02	3.08439003107019E-05	2.22816693079371E-11	3.28650700506309E-03	6.30596239944601E-06	5.94137778015127E-11	6.57572898201855E-03	8.52046994400546E-12	5.35104326962176E-11	9.01374733981293	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	3.69365153606548E-06	1E10	10638297.8723404	1E-30	2.19528479527787E-10	1E10	1E-30	1E10	3.74189149997934E-03	1.84422665738949E-04	1E10	24.1836939432867	2.77192888641449E-04	1E10	3.90443549131013	2.45425463767771E-04	1E10	0.844200160681074	2.22711221308972E-04	1E10	0.178093669934674	1.76530509935717E-04	1E10	3.72572626768531E-02	1.19375105692944E-04	1E10	7.5550321071021E-03	1E-30	1.99759011720206E-11	0.130141618073363	1E-30	3.87662511567498E-11	3.01886749312304E-02	1E-30	2.03560918304147E-10	0.021013515496927	1.59244199006622E-05	4.11059060800249E-11	5.24912140801076E-03	4.78626498710356E-06	6.7986450984092E-11	7.75291161195835E-03	9.35679850417876E-12	3.83175451123456E-11	6.829868823547	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	3.6787197317012E-06	1E10	10638297.8723404	1E-30	1.77758335647021E-10	1E10	1E-30	1E10	3.74429201801138E-03	1.47255618751189E-04	1E10	27.9364988788054	1.92120515501774E-04	1E10	2.73531596387436	2.02377751767857E-04	1E10	0.346450155430426	2.03619070980967E-04	1E10	6.15192085852042E-02	1.88979826867165E-04	1E10	1.15808659819993E-02	1.5231362502207E-04	1E10	4.15645762104286E-03	1E-30	1.53325312301017E-11	0.150354018708057	1E-30	3.59521125026917E-11	4.32834013719244E-02	1E-30	2.38657071892356E-10	2.29920990188209E-02	3.08439003107019E-05	2.22816693079371E-11	3.28650700506309E-03	6.30596239944601E-06	5.94137778015127E-11	6.57572898201855E-03	8.52046994400546E-12	5.35104326962176E-11	9.01374733981293	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	3.6787197317012E-06	1E10	10638297.8723404	1E-30	1.77758335647021E-10	1E10	1E-30	1E10	3.74429201801138E-03	1.47255618751189E-04	1E10	27.9364988788054	1.92120515501774E-04	1E10	2.73531596387436	2.02377751767857E-04	1E10	0.346450155430426	2.03619070980967E-04	1E10	6.15192085852042E-02	1.88979826867165E-04	1E10	1.15808659819993E-02	1.5231362502207E-04	1E10	4.15645762104286E-03	1E-30	1.53325312301017E-11	0.150354018708057	1E-30	3.59521125026917E-11	4.32834013719244E-02	1E-30	2.38657071892356E-10	2.29920990188209E-02	3.08439003107019E-05	2.22816693079371E-11	3.28650700506309E-03	6.30596239944601E-06	5.94137778015127E-11	6.57572898201855E-03	8.52046994400546E-12	5.35104326962176E-11	9.01374733981293	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
13	3.69365153606548E-06	1E10	10638297.8723404	1E-30	2.19528479527787E-10	1E10	1E-30	1E10	3.74189149997934E-03	1.84422665738949E-04	1E10	24.1836939432867	2.77192888641449E-04	1E10	3.90443549131013	2.45425463767771E-04	1E10	0.844200160681074	2.22711221308972E-04	1E10	0.178093669934674	1.76530509935717E-04	1E10	3.72572626768531E-02	1.19375105692944E-04	1E10	7.5550321071021E-03	1E-30	1.99759011720206E-11	0.130141618073363	1E-30	3.87662511567498E-11	3.01886749312304E-02	1E-30	2.03560918304147E-10	0.021013515496927	1.59244199006622E-05	4.11059060800249E-11	5.24912140801076E-03	4.78626498710356E-06	6.7986450984092E-11	7.75291161195835E-03	9.35679850417876E-12	3.83175451123456E-11	6.829868823547	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
14	6.96079652376422E-06	1E10	5E6	1E-30	1.79697557226071E-10	1E10	1E-30	1E10	2.59118346473705E-03	2.5519356744941E-04	1E10	20.7887872047619	3.72414850717176E-04	1E10	1.24574515102791	5.07332682870576E-04	1E10	9.09665699137825E-02	4.89387007414912E-04	1E10	9.1953786481969E-03	3.99434674085309E-04	1E10	1.19259371758712E-03	1E-30	2.1607993696527E-11	8.40668340588819E-02	1E-30	4.22817082566339E-11	2.08441034666325E-02	1E-30	3.30017843208235E-10	1.50829008138727E-02	3.80762269800682E-05	3.12043582115592E-11	2.1408665837227E-03	3.49610910834523E-05	2.068872374382E-11	2.04393997390873E-03	7.71312904816541E-12	4.55785710854938E-11	6.30220622810683	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
15	7.17677204442094E-06	1E10	5E6	1E-30	1.82219653285308E-10	1E10	1E-30	1E10	2.9392763265138E-03	2.37954418724097E-04	1E10	16.7791415324206	2.88738684401614E-04	1E10	1.48472637372083	2.60205276616688E-04	1E10	0.175526781022697	2.09148308702261E-04	1E10	0.020726502819623	2.35482183732641E-04	1E10	2.49245974598032E-03	1E-30	2.39687299883171E-11	0.157487901368461	1E-30	4.45488249461347E-11	3.86562830062962E-02	1E-30	2.97306949923552E-10	1.81624804314505E-02	3.04371333046913E-05	4.75823792351918E-11	3.1288283997957E-03	1.13175322987369E-05	6.45764309259239E-11	4.45500950532471E-03	8.28409557106442E-12	4.4037075532573E-11	6.95658880396004	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
16	7.17677204442094E-06	1E10	5E6	1E-30	1.82219653285308E-10	1E10	1E-30	1E10	2.9392763265138E-03	2.37954418724097E-04	1E10	16.7791415324206	2.88738684401614E-04	1E10	1.48472637372083	2.60205276616688E-04	1E10	0.175526781022697	2.09148308702261E-04	1E10	0.020726502819623	2.35482183732641E-04	1E10	2.49245974598032E-03	1E-30	2.39687299883171E-11	0.157487901368461	1E-30	4.45488249461347E-11	3.86562830062962E-02	1E-30	2.97306949923552E-10	1.81624804314505E-02	3.04371333046913E-05	4.75823792351918E-11	3.1288283997957E-03	1.13175322987369E-05	6.45764309259239E-11	4.45500950532471E-03	8.28409557106442E-12	4.4037075532573E-11	6.95658880396004	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
17	6.96079652376422E-06	1E10	5E6	1E-30	1.79697557226071E-10	1E10	1E-30	1E10	2.59118346473705E-03	2.5519356744941E-04	1E10	20.7887872047619	3.72414850717176E-04	1E10	1.24574515102791	5.07332682870576E-04	1E10	9.09665699137825E-02	4.89387007414912E-04	1E10	9.1953786481969E-03	3.99434674085309E-04	1E10	1.19259371758712E-03	1E-30	2.1607993696527E-11	8.40668340588819E-02	1E-30	4.22817082566339E-11	2.08441034666325E-02	1E-30	3.30017843208235E-10	1.50829008138727E-02	3.80762269800682E-05	3.12043582115592E-11	2.1408665837227E-03	3.49610910834523E-05	2.068872374382E-11	2.04393997390873E-03	7.71312904816541E-12	4.55785710854938E-11	6.30220622810683	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
18	6.96079652376422E-06	1E10	5E6	1E-30	1.79697557226071E-10	1E10	1E-30	1E10	2.59118346473705E-03	2.5519356744941E-04	1E10	20.7887872047619	3.72414850717176E-04	1E10	1.24574515102791	5.07332682870576E-04	1E10	9.09665699137825E-02	4.89387007414912E-04	1E10	9.1953786481969E-03	3.99434674085309E-04	1E10	1.19259371758712E-03	1E-30	2.1607993696527E-11	8.40668340588819E-02	1E-30	4.22817082566339E-11	2.08441034666325E-02	1E-30	3.30017843208235E-10	1.50829008138727E-02	3.80762269800682E-05	3.12043582115592E-11	2.1408665837227E-03	3.49610910834523E-05	2.068872374382E-11	2.04393997390873E-03	7.71312904816541E-12	4.55785710854938E-11	6.30220622810683	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
19	8.36931334193427E-06	1E10	5E6	1E-30	1.66167219984697E-10	1E10	1E-30	1E10	2.73950398081018E-03	3.43483100631114E-04	1E10	17.8124020685445	4.63440050953303E-04	1E10	2.42048080840336	5.07697485413407E-04	1E10	0.311019686796405	7.28512341385841E-04	1E10	2.70517457600564E-02	4.70317584403967E-04	1E10	5.14306575948834E-03	1E-30	1.59073009429503E-11	0.106380863885199	1E-30	4.02796242488731E-11	2.90476796806214E-02	1E-30	3.00180234587348E-10	1.55954874806498E-02	5.46728166013922E-05	2.98271651620839E-11	2.30242205049291E-03	1.76861535756004E-05	4.88635285544199E-11	3.48201014601816E-03	5.36629996191285E-12	6.97036267219595E-11	10.7111084449243	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
20	7.91353076044446E-06	1E10	5E6	1E-30	1.61353136671722E-10	1E10	1E-30	1E10	3.18906821398644E-03	2.20302549229616E-04	1E10	14.284893704293	3.31589967084474E-04	1E10	1.01787221988545	3.31916817236773E-04	1E10	0.146791929083648	2.79822774009146E-04	1E10	2.52118803523806E-02	2.12101276478596E-04	1E10	4.74090638874466E-03	1E-30	2.5546505491049E-11	0.129351448446842	1E-30	4.4982582329395E-11	3.01989533860833E-02	1E-30	2.59433018688381E-10	1.71953977327123E-02	2.70173625414005E-05	5.93236615746279E-11	3.22417596227386E-03	1.33369586898085E-05	6.41341386870672E-11	4.42060207475548E-03	4.81184040304509E-12	6.71114948184835E-11	24.4764018658277	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
21	7.17677204442094E-06	1E10	5E6	1E-30	1.82219653285308E-10	1E10	1E-30	1E10	2.9392763265138E-03	2.37954418724097E-04	1E10	16.7791415324206	2.88738684401614E-04	1E10	1.48472637372083	2.60205276616688E-04	1E10	0.175526781022697	2.09148308702261E-04	1E10	0.020726502819623	2.35482183732641E-04	1E10	2.49245974598032E-03	1E-30	2.39687299883171E-11	0.157487901368461	1E-30	4.45488249461347E-11	3.86562830062962E-02	1E-30	2.97306949923552E-10	1.81624804314505E-02	3.04371333046913E-05	4.75823792351918E-11	3.1288283997957E-03	1.13175322987369E-05	6.45764309259239E-11	4.45500950532471E-03	8.28409557106442E-12	4.4037075532573E-11	6.95658880396004	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
END DSCRDATA
