BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	9.75544017217467E-09	1E10	1E10	1E-30	2.72698702876705E-11	1E10	1E-30	1E10	0.0345	1.15588563700996E-06	1E10	2206.30217400402	2.12219681876992E-06	1E10	253.317383119917	1.54332929075663E-06	1E10	74.7592598338481	1.52514828860099E-06	1E10	13.2942852472282	1.11421050259026E-06	1E10	2.35301153051002	1.12816120813155E-06	1E10	0.308553164931674	1.04937048423604E-06	1E10	8.06029448014911E-02	5.78644321587299E-07	1E10	3.99913058005892E-02	1E-30	1.57082579243144E-11	0.106603168546574	3.3775233060054E-08	8.69049286340119E-12	4.20454051333404E-02	4.34130747875757E-09	2.00052528660098E-11	6.53861079350061E-02	3.15894557603387E-11	6.06527604061336E-11	3.84747908137949	9.49896025879619E-12	5.44664044019667E-11	5.84679999660989	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.04068412839782E-08	1E10	1E10	1E-30	3.64145108755467E-11	1E10	1E-30	1E10	2.30368280571198E-02	1.10009391494125E-06	1E10	2688.70732329079	1.82860422496151E-06	1E10	218.546336140465	2.01276699261877E-06	1E10	36.2696638127164	1.68913167757479E-06	1E10	8.7004863515714	1.22545937029189E-06	1E10	1.47517733567561	8.02384644874793E-07	1E10	0.247488868735348	5.16197631204529E-07	1E10	4.40750331741727E-02	1E-30	1.97037297375676E-11	0.142939891804594	1.36480504893263E-08	1.75361814369628E-11	0.120052248445476	3.40399187988691E-09	1.79587780584748E-11	9.56605071490996E-02	8.77684722579912E-12	5.59792815588882E-11	5.96563951197442	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	2.40209405491917E-08	1E10	1E10	1E-30	4.32204637493626E-11	1E10	1E-30	1E10	1.61167400799904E-02	2.80268100120286E-06	1E10	1136.57459347356	5.14567904513995E-06	1E10	130.496223559802	3.63847121764818E-06	1E10	32.7791693323107	3.18842197039728E-06	1E10	5.43998802605816	3.20249205341289E-06	1E10	0.75542802771497	2.06887928140096E-06	1E10	0.148691198158871	1.26306247002875E-06	1E10	3.33728586073589E-02	1E-30	1.88296079851909E-11	8.86911821359679E-02	3.09942571757018E-08	1.3030494564979E-11	5.25007687328808E-02	9.1244673013645E-09	1.06091735633652E-11	0.041891535042813	9.26769081448395E-12	4.66564205522617E-11	5.60842808972243	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	2.40209405491917E-08	1E10	1E10	1E-30	4.32204637493626E-11	1E10	1E-30	1E10	1.61167400799904E-02	2.80268100120286E-06	1E10	1136.57459347356	5.14567904513995E-06	1E10	130.496223559802	3.63847121764818E-06	1E10	32.7791693323107	3.18842197039728E-06	1E10	5.43998802605816	3.20249205341289E-06	1E10	0.75542802771497	2.06887928140096E-06	1E10	0.148691198158871	1.26306247002875E-06	1E10	3.33728586073589E-02	1E-30	1.88296079851909E-11	8.86911821359679E-02	3.09942571757018E-08	1.3030494564979E-11	5.25007687328808E-02	9.1244673013645E-09	1.06091735633652E-11	0.041891535042813	9.26769081448395E-12	4.66564205522617E-11	5.60842808972243	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	2.12460701284985E-08	1E10	1E10	1E-30	2.59955497407103E-11	1E10	1E-30	1E10	2.26861821530004E-02	2.30140206717165E-06	1E10	1560.90028953071	7.7887724625095E-06	1E10	80.0525482761242	3.14437958930903E-06	1E10	45.0168560824601	3.3255634343267E-06	1E10	4.71384351474427	2.97637452862152E-06	1E10	0.719471877409862	3.41100593633338E-06	1E10	0.137561720064023	1.83155473660871E-06	1E10	4.80837507408691E-02	2.14689785455236E-06	1E10	1.14964762852652E-02	1E-30	1.99855935343734E-11	0.160155778821089	3.15985418725699E-08	1.29023640841611E-11	3.57353168095036E-02	1.19350150284755E-08	8.70952352980744E-12	3.34398264840227E-02	8.73615643777884E-12	9.23320477863442E-11	9.99208515992212	1.80580165279717E-11	2.16076710419774E-11	2.75982408847195	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	2.40209405491917E-08	1E10	1E10	1E-30	4.32204637493626E-11	1E10	1E-30	1E10	1.61167400799904E-02	2.80268100120286E-06	1E10	1136.57459347356	5.14567904513995E-06	1E10	130.496223559802	3.63847121764818E-06	1E10	32.7791693323107	3.18842197039728E-06	1E10	5.43998802605816	3.20249205341289E-06	1E10	0.75542802771497	2.06887928140096E-06	1E10	0.148691198158871	1.26306247002875E-06	1E10	3.33728586073589E-02	1E-30	1.88296079851909E-11	8.86911821359679E-02	3.09942571757018E-08	1.3030494564979E-11	5.25007687328808E-02	9.1244673013645E-09	1.06091735633652E-11	0.041891535042813	9.26769081448395E-12	4.66564205522617E-11	5.60842808972243	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.12460701284985E-08	1E10	1E10	1E-30	2.59955497407103E-11	1E10	1E-30	1E10	2.26861821530004E-02	2.30140206717165E-06	1E10	1560.90028953071	7.7887724625095E-06	1E10	80.0525482761242	3.14437958930903E-06	1E10	45.0168560824601	3.3255634343267E-06	1E10	4.71384351474427	2.97637452862152E-06	1E10	0.719471877409862	3.41100593633338E-06	1E10	0.137561720064023	1.83155473660871E-06	1E10	4.80837507408691E-02	2.14689785455236E-06	1E10	1.14964762852652E-02	1E-30	1.99855935343734E-11	0.160155778821089	3.15985418725699E-08	1.29023640841611E-11	3.57353168095036E-02	1.19350150284755E-08	8.70952352980744E-12	3.34398264840227E-02	8.73615643777884E-12	9.23320477863442E-11	9.99208515992212	1.80580165279717E-11	2.16076710419774E-11	2.75982408847195	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	4.9119058898955E-08	1E10	1E10	1E-30	2.80387240591729E-11	1E10	1E-30	1E10	1.23658538394994E-02	6.01477900892253E-06	1E10	614.249671982833	9.21089982819393E-06	1E10	62.8557384850785	7.69086917150251E-06	1E10	14.7348233364934	6.63807431109221E-06	1E10	2.445371989265	5.21385460650861E-06	1E10	0.342963260379977	7.49456179915849E-06	1E10	3.68939302865067E-02	4.72852155955395E-06	1E10	1.75202942239234E-02	4.30058239155071E-06	1E10	5.73600144176402E-03	1E-30	2.22823312022443E-11	8.52960540000208E-02	6.05273412247656E-08	1.61840602067453E-11	2.93694965787883E-02	2.02156869747222E-08	9.58900908444795E-12	1.89678510159665E-02	6.79443434757799E-12	6.8575542987305E-11	9.63983731673301	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.9119058898955E-08	1E10	1E10	1E-30	2.80387240591729E-11	1E10	1E-30	1E10	1.23658538394994E-02	6.01477900892253E-06	1E10	614.249671982833	9.21089982819393E-06	1E10	62.8557384850785	7.69086917150251E-06	1E10	14.7348233364934	6.63807431109221E-06	1E10	2.445371989265	5.21385460650861E-06	1E10	0.342963260379977	7.49456179915849E-06	1E10	3.68939302865067E-02	4.72852155955395E-06	1E10	1.75202942239234E-02	4.30058239155071E-06	1E10	5.73600144176402E-03	1E-30	2.22823312022443E-11	8.52960540000208E-02	6.05273412247656E-08	1.61840602067453E-11	2.93694965787883E-02	2.02156869747222E-08	9.58900908444795E-12	1.89678510159665E-02	6.79443434757799E-12	6.8575542987305E-11	9.63983731673301	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
