BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.54230849471469E-06	1E10	10638298	1E-30	3.44302662103702E-10	1E10	1E-30	1E10	5.093845426984E-3	1.55372444976118E-04	1E10	17.0988960329788	2.01532133127429E-04	1E10	1.57121979403073	1.78610257143912E-04	1E10	0.242213657642878	1.54619813890019E-04	1E10	0.034225369671254	1.28446313829824E-04	1E10	5.92571098537633E-03	1E-30	2.0700241306742E-11	0.140654635434286	1E-30	3.03573890763541E-11	3.13496085068298E-02	1E-30	2.03704353521816E-10	2.30350598494945E-02	1.43973474759416E-05	4.4681725815483E-11	5.20353427505867E-03	4.21019479004409E-06	7.47996114612371E-11	7.99867007591769E-03	3.62698632556643E-12	9.46507151248769E-11	28.2293321690342	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	3.54230849471469E-06	1E10	10638298	1E-30	3.44302662103702E-10	1E10	1E-30	1E10	5.093845426984E-3	1.55372444976118E-04	1E10	17.0988960329788	2.01532133127429E-04	1E10	1.57121979403073	1.78610257143912E-04	1E10	0.242213657642878	1.54619813890019E-04	1E10	0.034225369671254	1.28446313829824E-04	1E10	5.92571098537633E-03	1E-30	2.0700241306742E-11	0.140654635434286	1E-30	3.03573890763541E-11	3.13496085068298E-02	1E-30	2.03704353521816E-10	2.30350598494945E-02	1.43973474759416E-05	4.4681725815483E-11	5.20353427505867E-03	4.21019479004409E-06	7.47996114612371E-11	7.99867007591769E-03	3.62698632556643E-12	9.46507151248769E-11	28.2293321690342	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	7.09554648242109E-06	1E10	5E6	1E-30	3.91836139390084E-10	1E10	1E-30	1E10	3.73238745681525E-03	3.77735213765535E-04	1E10	4.20279677203702	4.15345707538579E-04	1E10	1.15167758307749	3.36901358354523E-04	1E10	0.248930512437367	3.00297253436713E-04	1E10	4.38002470698976E-02	1.91595034765887E-04	1E10	8.99943071957808E-03	1E-30	2.97938444407659E-11	0.110491725290096	1E-30	2.6989630631978E-11	1.79121994207679E-02	1E-30	2.11070255172331E-10	1.13344567053417E-02	1E-30	9.95830481351954E-11	7.54254297324749E-03	4.58789729384029E-05	3.28324758460243E-11	3.88275375701052E-03	9.13062257995216E-06	7.91350547856547E-11	5.46687310481743E-03	3.4751876830793E-11	1.11645926840297E-11	0.333948679852784	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	6.96865018489967E-06	1E10	5E6	1E-30	2.88707541688246E-10	1E10	1E-30	1E10	3.41108739678974E-03	3.07349783562335E-04	1E10	4.79755719408785	3.20674749374818E-04	1E10	0.565363970187263	3.02543543417178E-04	1E10	7.21408522483501E-02	2.77000709713741E-04	1E10	9.79950179307061E-03	3.39429249677631E-04	1E10	2.03977800206057E-03	1E-30	2.05422659424111E-11	9.75298514843394E-02	1E-30	4.91380769136533E-11	3.98425397237675E-02	1E-30	3.50347544832962E-10	1.70782926855423E-02	3.89273164173423E-05	3.58665216526715E-11	3.5232990856858E-03	2.5650030039566E-05	3.11213332824584E-11	3.81868557341271E-03	2.8788115889099E-12	1.01142919722597E-10	26.942496354455	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.62621071543444E-05	1E10	2272727	1E-30	3.52171546157065E-10	1E10	1E-30	1E10	3.57516906110418E-03	9.06998700199023E-04	1E10	2.38282535268782	1.23347945811424E-03	1E10	0.200519481044342	1.29285477172628E-03	1E10	2.67682949150729E-02	9.25059897030894E-04	1E10	3.06319396592365E-03	1E-30	4.4439245495773E-11	0.137908839446341	1E-30	8.62446973948096E-11	2.96185386456915E-02	1E-30	2.88432666303609E-10	1.20811783969215E-02	2.40478636776904E-05	7.95603558901156E-11	1.70395693947521E-03	1.31005932753982E-11	4.79954890138803E-11	3.69419687883911	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.62621071543444E-05	1E10	2272727	1E-30	3.52171546157065E-10	1E10	1E-30	1E10	3.57516906110418E-03	9.06998700199023E-04	1E10	2.38282535268782	1.23347945811424E-03	1E10	0.200519481044342	1.29285477172628E-03	1E10	2.67682949150729E-02	9.25059897030894E-04	1E10	3.06319396592365E-03	1E-30	4.4439245495773E-11	0.137908839446341	1E-30	8.62446973948096E-11	2.96185386456915E-02	1E-30	2.88432666303609E-10	1.20811783969215E-02	2.40478636776904E-05	7.95603558901156E-11	1.70395693947521E-03	1.31005932753982E-11	4.79954890138803E-11	3.69419687883911	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.79320520687795E-05	1E10	2272727.27272727	1E-30	2.97848108254114E-10	1E10	1E-30	1E10	3.07228799511054E-03	1.08065777122283E-03	1E10	4.90919966616879	1.36320389139692E-03	1E10	0.61206750252896	1.37394916475959E-03	1E10	9.60174612807299E-02	1.5924648906763E-03	1E10	1.39476362789015E-02	9.24836670559843E-04	1E10	2.15997642433234E-03	1E-30	3.67793253355703E-11	8.76254785618046E-02	1E-30	9.0305293376778E-11	2.41852874260631E-02	1E-30	2.82500310049757E-10	1.03906244466136E-02	5.64558220540435E-05	7.07907542271608E-11	1.48345818469748E-03	2.192263521652E-05	8.39606329112027E-11	2.46586116019355E-03	1.13512977452831E-11	4.85185983035382E-11	3.34774244748514	7.0811140816552E-12	3.06695804119443E-11	17.3686495045668	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.72958694800245E-05	1E10	2272727	1E-30	3.62104751988236E-10	1E10	1E-30	1E10	2.59314734909256E-03	9.92686592248281E-04	1E10	7.90472418263435	1.51838062281376E-03	1E10	0.777086132773658	1.72153270304867E-03	1E10	0.186736610770333	1.36700586869535E-03	1E10	3.83177563931688E-02	1.0926067535652E-03	1E10	3.54541296815971E-03	1E-30	2.52953286284437E-11	0.147055110167855	1E-30	6.60333236371532E-11	3.21312040067116E-02	1E-30	2.98869482751467E-10	1.37237730714317E-02	1.13274197141361E-05	2.19720454421623E-10	4.05006313979481E-03	5.45139666694109E-12	4.82766753266421E-11	12.9666080683374	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	3.37230778313926E-05	1E10	1063830	1E-30	3.45391354151123E-10	1E10	1E-30	1E10	2.4544379501276E-03	2.7398958854708E-03	1E10	0.878417888641997	3.35673165245055E-03	1E10	0.182394878448849	2.76189582815847E-03	1E10	0.042190038131657	4.26259319466807E-03	1E10	7.13495855459337E-03	2.24314679214966E-03	1E10	1.55252045689978E-03	1E-30	3.18156723575107E-11	0.101775006424719	1E-30	8.55976646792868E-11	2.28815588470285E-02	1E-30	2.84173927611452E-10	5.22686542762002E-03	1E-30	1.63449473668583E-10	4.4110686608443E-03	3.56383286429014E-04	3.07726007357106E-11	1.04730399609629E-03	6.26599175527188E-05	8.88278460276406E-11	1.95921272754552E-03	1.19268662344659E-11	3.75394109900718E-11	3.39301404525361	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
