BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.53E-14	1E-30	1E-10	1E10	3.24E-10	3.72E-3	1E10	1E-30	9630	1E10	3.79E-9	0.0122	1E10	9.21E-9	5.25	1E10	2.09E-7	436	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	4.53E-14	1E-30	1E-10	1E10	3.24E-10	3.72E-3	1E10	1E-30	9630	1E10	3.79E-9	0.0122	1E10	9.21E-9	5.25	1E10	2.09E-7	436	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	4.53E-14	1E-30	1E-10	1E10	3.24E-10	3.72E-3	1E10	1E-30	9630	1E10	3.79E-9	0.0122	1E10	9.21E-9	5.25	1E10	2.09E-7	436	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1.09E-14	1E-30	1E-10	1E10	5.25E-10	6.31E-3	1E10	1E-30	8790	1E10	2.88E-8	21.6	1E10	1.84E-9	1.66E-3	1E10	5.51E-8	174	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	1.09E-14	1E-30	1E-10	1E10	5.25E-10	6.31E-3	1E10	1E-30	8790	1E10	2.88E-8	21.6	1E10	1.84E-9	1.66E-3	1E10	5.51E-8	174	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1.09E-14	1E-30	1E-10	1E10	5.25E-10	6.31E-3	1E10	1E-30	8790	1E10	2.88E-8	21.6	1E10	1.84E-9	1.66E-3	1E10	5.51E-8	174	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.07E-14	1E-30	1E-10	1E10	5.37E-10	8.51E-3	1E10	1E-30	8790	1E10	9.3E-9	7.86	1E10	2.16E-6	2820	1E10	1.07E-8	0.645	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.07E-14	1E-30	1E-10	1E10	5.37E-10	8.51E-3	1E10	1E-30	8790	1E10	9.3E-9	7.86	1E10	2.16E-6	2820	1E10	1.07E-8	0.645	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2.07E-14	1E-30	1E-10	1E10	5.37E-10	8.51E-3	1E10	1E-30	8790	1E10	9.3E-9	7.86	1E10	2.16E-6	2820	1E10	1.07E-8	0.645	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2.38E-14	1E-30	1E-10	1E10	1E-9	0.0324	1E10	1E-30	5940	1E10	5.48E-8	212	1E10	5.06E-9	1.38	1E10	2.1E-9	0.0848	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	2.38E-14	1E-30	1E-10	1E10	1E-9	0.0324	1E10	1E-30	5940	1E10	5.48E-8	212	1E10	5.06E-9	1.38	1E10	2.1E-9	0.0848	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2.38E-14	1E-30	1E-10	1E10	1E-9	0.0324	1E10	1E-30	5940	1E10	5.48E-8	212	1E10	5.06E-9	1.38	1E10	2.1E-9	0.0848	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	7.18E-14	1E-30	1E-10	1E10	8.32E-10	7.42E-3	1E10	1E-30	6220	1E10	4.35E-8	237	1E10	4.02E-9	0.776	1E10	9.14E-5	10.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	7.18E-14	1E-30	1E-10	1E10	8.32E-10	7.42E-3	1E10	1E-30	6220	1E10	4.35E-8	237	1E10	4.02E-9	0.776	1E10	9.14E-5	10.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	7.18E-14	1E-30	1E-10	1E10	8.32E-10	7.42E-3	1E10	1E-30	6220	1E10	4.35E-8	237	1E10	4.02E-9	0.776	1E10	9.14E-5	10.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	7.02E-14	1E-30	1E-10	1E10	9.34E-10	0.0229	1E10	1E-30	6980	1E10	6.59E-8	313	1E10	1.08E-8	0.0186	1E10	1.63E-8	5.49	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	7.02E-14	1E-30	1E-10	1E10	9.34E-10	0.0229	1E10	1E-30	6980	1E10	6.59E-8	313	1E10	1.08E-8	0.0186	1E10	1.63E-8	5.49	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	7.02E-14	1E-30	1E-10	1E10	9.34E-10	0.0229	1E10	1E-30	6980	1E10	6.59E-8	313	1E10	1.08E-8	0.0186	1E10	1.63E-8	5.49	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	8.44E-14	1E-30	1E-10	1E10	9.34E-10	0.0182	1E10	1E-30	6980	1E10	5.74E-8	227	1E10	6.08E-9	1.7	1E10	9.14E-5	10.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	8.44E-14	1E-30	1E-10	1E10	9.34E-10	0.0182	1E10	1E-30	6980	1E10	5.74E-8	227	1E10	6.08E-9	1.7	1E10	9.14E-5	10.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	8.44E-14	1E-30	1E-10	1E10	9.34E-10	0.0182	1E10	1E-30	6980	1E10	5.74E-8	227	1E10	6.08E-9	1.7	1E10	9.14E-5	10.2	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
