BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-15	1E-30	1E-10	1E10	2.7E-10	8E-3	1E10	1E-30	1E3	1E10	1.8E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	1E-15	1E-30	1E-10	1E10	3.7E-10	0.011	1E10	1E-30	1E3	1E10	1.4E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	1E-15	1E-30	1E-10	1E10	3.7E-10	0.011	1E10	1E-30	1E3	1E10	1.4E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	1E-15	1E-30	1E-10	1E10	4.8E-10	0.021	1E10	1E-30	1100	1E10	1.6E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	1E-15	1E-30	1E-10	1E10	4.8E-10	0.021	1E10	1E-30	1100	1E10	1.6E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	1E-15	1E-30	1E-10	1E10	5.9E-10	0.053	1E10	1E-30	1200	1E10	1.4E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1E-15	1E-30	1E-10	1E10	5.9E-10	0.053	1E10	1E-30	1200	1E10	1.4E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1E-14	1E-30	1E-10	1E10	7E-10	0.043	1E10	1E-30	1300	1E10	1.8E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1E-14	1E-30	1E-10	1E10	7E-10	0.043	1E10	1E-30	1300	1E10	1.8E-8	75	1E10	2E-7	2E3	1E10	4.4E-8	35	7.6E-15	5E-9	0.1	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	2.5E-14	1E-30	1E-10	1E10	8.2E-10	0.05	1E10	1E-30	3E3	1E10	5E-8	1E3	1E10	1E-7	300	1E10	8E-9	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	2.5E-14	1E-30	1E-10	1E10	8.2E-10	0.05	1E10	1E-30	3E3	1E10	5E-8	1E3	1E10	1E-7	300	1E10	8E-9	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	2.5E-14	1E-30	1E-10	1E10	9.4E-10	0.05	1E10	1E-30	3200	1E10	5.5E-8	1E3	1E10	1E-7	300	1E10	9E-9	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	2.5E-14	1E-30	1E-10	1E10	9.4E-10	0.05	1E10	1E-30	3200	1E10	5.5E-8	1E3	1E10	1E-7	300	1E10	9E-9	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	3E-14	1E-30	1E-10	1E10	1.07E-9	0.06	1E10	1E-30	4E3	1E10	5.5E-8	1E3	1E10	1E-7	300	1E10	9E-9	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	3E-14	1E-30	1E-10	1E10	1.07E-9	0.06	1E10	1E-30	4E3	1E10	5.5E-8	1E3	1E10	1E-7	300	1E10	9E-9	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	3E-14	1E-30	1E-10	1E10	1.17E-9	0.09	1E10	1E-30	3500	1E10	5.5E-8	1E3	1E10	1E-7	300	1E10	1.1E-8	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	3E-14	1E-30	1E-10	1E10	1.17E-9	0.09	1E10	1E-30	3500	1E10	5.5E-8	1E3	1E10	1E-7	300	1E10	1.1E-8	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	3E-14	1E-30	1E-10	1E10	1.29E-9	0.09	1E10	1E-30	3500	1E10	6E-8	1E3	1E10	1E-7	300	1E10	1.1E-8	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	3E-14	1E-30	1E-10	1E10	1.29E-9	0.09	1E10	1E-30	3500	1E10	6E-8	1E3	1E10	1E-7	300	1E10	1.1E-8	11	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	4E-14	1E-30	1E-10	1E10	1.54E-9	0.06	1E10	1E-30	3500	1E10	5E-8	600	1E10	1.5E-7	600	1E10	6.7E-9	4.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	4E-14	1E-30	1E-10	1E10	1.54E-9	0.06	1E10	1E-30	3500	1E10	5E-8	600	1E10	1.5E-7	600	1E10	6.7E-9	4.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
22	5.9E-14	1E-30	1E-10	1E10	1.64E-9	0.07	1E10	1E-30	3500	1E10	6E-8	600	1E10	1.5E-7	600	1E10	7.5E-9	5.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
23	5.9E-14	1E-30	1E-10	1E10	1.64E-9	0.07	1E10	1E-30	3500	1E10	6E-8	600	1E10	1.5E-7	600	1E10	7.5E-9	5.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
24	5.45E-14	1E-30	1E-10	1E10	1.72E-9	0.08	1E10	1E-30	3500	1E10	6E-8	600	1E10	1.5E-7	600	1E10	9E-9	5.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
25	5.45E-14	1E-30	1E-10	1E10	1.72E-9	0.08	1E10	1E-30	3500	1E10	6E-8	600	1E10	1.5E-7	600	1E10	9E-9	5.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
