BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.21E-15	1E-30	1E-10	1E10	7.57E-10	0.0118	1E10	1E-30	6820	1E10	2.81E-6	15300	1E10	1.56E-8	20.9	1E10	4.69E-10	0.0109	5.17E-15	2.26E-8	77.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	3.21E-15	1E-30	1E-10	1E10	7.57E-10	0.0118	1E10	1E-30	6820	1E10	2.81E-6	15300	1E10	1.56E-8	20.9	1E10	4.69E-10	0.0109	5.17E-15	2.26E-8	77.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	3.21E-15	1E-30	1E-10	1E10	7.57E-10	0.0118	1E10	1E-30	6820	1E10	2.81E-6	15300	1E10	1.56E-8	20.9	1E10	4.69E-10	0.0109	5.17E-15	2.26E-8	77.3	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.61E-14	1E-30	1E-10	1E10	7.92E-10	0.0135	1E10	1E-30	11600	1E10	1.62E-6	9020	1E10	1.01E-7	209	1E10	6.33E-10	0.0148	3.26E-15	3.59E-8	123	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	2.61E-14	1E-30	1E-10	1E10	7.92E-10	0.0135	1E10	1E-30	11600	1E10	1.62E-6	9020	1E10	1.01E-7	209	1E10	6.33E-10	0.0148	3.26E-15	3.59E-8	123	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	2.61E-14	1E-30	1E-10	1E10	7.92E-10	0.0135	1E10	1E-30	11600	1E10	1.62E-6	9020	1E10	1.01E-7	209	1E10	6.33E-10	0.0148	3.26E-15	3.59E-8	123	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	2.61E-14	1E-30	1E-10	1E10	5.36E-10	0.0214	1E10	1E-30	4830	1E10	2.18E-7	1140	1E10	5.06E-8	105	1E10	3.1E-9	0.0371	3.26E-15	3.59E-8	123	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	2.61E-14	1E-30	1E-10	1E10	5.36E-10	0.0214	1E10	1E-30	4830	1E10	2.18E-7	1140	1E10	5.06E-8	105	1E10	3.1E-9	0.0371	3.26E-15	3.59E-8	123	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	2.61E-14	1E-30	1E-10	1E10	5.36E-10	0.0214	1E10	1E-30	4830	1E10	2.18E-7	1140	1E10	5.06E-8	105	1E10	3.1E-9	0.0371	3.26E-15	3.59E-8	123	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
