BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.57E-15	1E-30	1E-10	1E10	9E-10	8E-3	1E10	1E-30	3880	1E10	3.07E-9	0.22	1E10	9.83E-9	2.78	1E10	4.1E-8	145	6.75E-17	2.57E-10	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	4.57E-15	1E-30	1E-10	1E10	9E-10	8E-3	1E10	1E-30	3880	1E10	3.07E-9	0.22	1E10	9.83E-9	2.78	1E10	4.1E-8	145	6.75E-17	2.57E-10	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	4.57E-15	1E-30	1E-10	1E10	1.45E-9	0.02	1E10	1E-30	6150	1E10	1.85E-9	0.0818	1E10	1.67E-8	16.8	1E10	4E-8	275	4.26E-16	1.62E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	4.57E-15	1E-30	1E-10	1E10	1.45E-9	0.02	1E10	1E-30	6150	1E10	1.85E-9	0.0818	1E10	1.67E-8	16.8	1E10	4E-8	275	4.26E-16	1.62E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.57E-15	1E-30	1E-10	1E10	1.83E-9	0.015	1E10	1E-30	6150	1E10	2.73E-9	0.103	1E10	3.26E-8	21.7	1E10	7.79E-8	323	1.07E-15	4.06E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	4.57E-15	1E-30	1E-10	1E10	1.83E-9	0.015	1E10	1E-30	6150	1E10	2.73E-9	0.103	1E10	3.26E-8	21.7	1E10	7.79E-8	323	1.07E-15	4.06E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	4.57E-15	1E-30	1E-10	1E10	1.92E-9	0.02	1E10	1E-30	5870	1E10	2.93E-9	0.124	1E10	3.11E-8	27.3	1E10	7.27E-8	338	8.67E-16	3.3E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	4.57E-15	1E-30	1E-10	1E10	1.92E-9	0.02	1E10	1E-30	5870	1E10	2.93E-9	0.124	1E10	3.11E-8	27.3	1E10	7.27E-8	338	8.67E-16	3.3E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	5.76E-15	1E-30	1E-10	1E10	2.1E-9	0.03	1E10	1E-30	5350	1E10	2.93E-9	0.124	1E10	2.65E-8	23.8	1E10	7.97E-8	397	1.81E-15	6.9E-9	140	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
