BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.58E-16	1E-30	1E-10	1E10	2.32E-8	0.045	1E10	1E-30	229	1E10	2.69E-7	21.8	1E10	2.64E-7	145	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	3.58E-16	1E-30	1E-10	1E10	2.32E-8	0.045	1E10	1E-30	229	1E10	2.69E-7	21.8	1E10	2.64E-7	145	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	2.84E-16	1E-30	1E-10	1E10	4.13E-8	0.06	1E10	1E-30	363	1E10	6.89E-7	59.9	1E10	1.54E-6	78.9	1E10	5.81E-7	227	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	2.84E-16	1E-30	1E-10	1E10	4.13E-8	0.06	1E10	1E-30	363	1E10	6.89E-7	59.9	1E10	1.54E-6	78.9	1E10	5.81E-7	227	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.82E-14	1E-30	1E-10	1E10	6.55E-8	0.075	1E10	1E-30	575	1E10	9.35E-7	45.6	1E10	1.16E-6	153	1E10	1.09E-6	528	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	4.82E-14	1E-30	1E-10	1E10	6.55E-8	0.075	1E10	1E-30	575	1E10	9.35E-7	45.6	1E10	1.16E-6	153	1E10	1.09E-6	528	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	5.41E-14	1E-30	1E-10	1E10	9.25E-8	0.09	1E10	1E-30	776	1E10	1.26E-6	48.9	1E10	1.8E-6	221	1E10	1.31E-6	528	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	5.41E-14	1E-30	1E-10	1E10	9.25E-8	0.09	1E10	1E-30	776	1E10	1.26E-6	48.9	1E10	1.8E-6	221	1E10	1.31E-6	528	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	5.17E-14	1E-30	1E-10	1E10	1.19E-7	0.105	1E10	1E-30	1070	1E10	1.37E-6	103	1E10	4.88E-6	738	1E10	1.53E-6	783	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	5.17E-14	1E-30	1E-10	1E10	1.19E-7	0.105	1E10	1E-30	1070	1E10	1.37E-6	103	1E10	4.88E-6	738	1E10	1.53E-6	783	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	5.8E-14	1E-30	1E-10	1E10	1.5E-7	0.145	1E10	1E-30	1260	1E10	1.69E-6	116	1E10	3.79E-6	2390	1E10	2.85E-6	698	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	5.8E-14	1E-30	1E-10	1E10	1.5E-7	0.145	1E10	1E-30	1260	1E10	1.69E-6	116	1E10	3.79E-6	2390	1E10	2.85E-6	698	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	5.17E-14	1E-30	1E-10	1E10	1.93E-7	0.165	1E10	1E-30	1660	1E10	2.23E-6	146	1E10	2.23E-5	2450	1E10	2.26E-6	879	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	5.17E-14	1E-30	1E-10	1E10	1.93E-7	0.165	1E10	1E-30	1660	1E10	2.23E-6	146	1E10	2.23E-5	2450	1E10	2.26E-6	879	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
15	5.29E-14	1E-30	1E-10	1E10	2.43E-7	0.23	1E10	1E-30	2140	1E10	3.93E-6	205	1E10	5.91E-6	605	1E10	2.88E-6	1370	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
16	5.29E-14	1E-30	1E-10	1E10	2.43E-7	0.23	1E10	1E-30	2140	1E10	3.93E-6	205	1E10	5.91E-6	605	1E10	2.88E-6	1370	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
17	5.17E-14	1E-30	1E-10	1E10	2.92E-7	0.3	1E10	1E-30	2510	1E10	5.3E-6	205	1E10	6.79E-6	605	1E10	3.31E-6	1370	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
18	5.17E-14	1E-30	1E-10	1E10	2.92E-7	0.3	1E10	1E-30	2510	1E10	5.3E-6	205	1E10	6.79E-6	605	1E10	3.31E-6	1370	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
19	4.82E-14	1E-30	1E-10	1E10	3.51E-7	0.32	1E10	1E-30	2820	1E10	6.09E-6	225	1E10	8.35E-6	605	1E10	3.71E-6	1430	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
20	4.82E-14	1E-30	1E-10	1E10	3.51E-7	0.32	1E10	1E-30	2820	1E10	6.09E-6	225	1E10	8.35E-6	605	1E10	3.71E-6	1430	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
21	4.93E-14	1E-30	1E-10	1E10	4.12E-7	0.439	1E10	1E-30	3310	1E10	7.67E-6	297	1E10	1.05E-5	373	1E10	4.26E-6	1430	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
