BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.09E-15	1E-30	1E-10	1E10	2.02E-9	0.021	1E10	1E-30	10400	1E10	3.86E-8	4.13	1E10	3.7E-8	4.03	1E10	1.02E-7	181	1E10	2.36E-7	716	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	2.39E-14	1E-30	1E-10	1E10	4.7E-9	0.032	1E10	1E-30	25600	1E10	1.64E-8	0.989	1E10	1.32E-7	94.5	1E10	3.07E-7	1240	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	3.19E-14	1E-30	1E-10	1E10	6.47E-9	0.032	1E10	1E-30	36100	1E10	1.52E-8	0.499	1E10	1.07E-7	58.2	1E10	3.9E-7	1310	1E10	7.75E-7	6720	2.97E-15	1.65E-8	186	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	3.19E-14	1E-30	1E-10	1E10	6.47E-9	0.032	1E10	1E-30	36100	1E10	1.52E-8	0.499	1E10	1.07E-7	58.2	1E10	3.9E-7	1310	1E10	7.75E-7	6720	2.97E-15	1.65E-8	186	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	2.4E-14	1E-30	1E-10	1E10	6.28E-9	0.054	1E10	1E-30	27200	1E10	1.85E-7	76.9	1E10	4.01E-7	1070	5.94E-15	1.05E-8	95.7	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	2.4E-14	1E-30	1E-10	1E10	6.28E-9	0.054	1E10	1E-30	27200	1E10	1.85E-7	76.9	1E10	4.01E-7	1070	5.94E-15	1.05E-8	95.7	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	1.03E-14	1E-30	1E-10	1E10	8.94E-9	0.082	1E10	1E-30	169E3	1E10	2.52E-7	7.92	1E10	2.09E-7	106	1E10	7.79E-7	2800	1E10	1.51E-6	10900	1.13E-14	2.07E-9	77.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	1.03E-14	1E-30	1E-10	1E10	8.94E-9	0.082	1E10	1E-30	169E3	1E10	2.52E-7	7.92	1E10	2.09E-7	106	1E10	7.79E-7	2800	1E10	1.51E-6	10900	1.13E-14	2.07E-9	77.5	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	1.03E-14	1E-30	1E-10	1E10	1.1E-8	0.061	1E10	1E-30	33800	1E10	2.07E-7	15.8	1E10	2.63E-7	134	1E10	8.16E-7	2930	2.99E-14	5.96E-9	6.88	1.71E-14	3.14E-9	12	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
