BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.87E-14	1E-30	1E-10	1E10	2.96E-9	0.013	1E10	1E-30	4400	1E10	2.67E-8	2.47	1E10	5.23E-8	20.8	1E10	1.23E-7	692	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	2.74E-14	1E-30	1E-10	1E10	3.4E-9	0.0252	1E10	1E-30	4110	1E10	5.47E-8	11.8	1E10	1.05E-7	116	1E10	2.13E-7	1600	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	4.98E-14	1E-30	1E-10	1E10	6.78E-9	0.023	1E10	1E-30	10100	1E10	1.44E-7	11.8	1E10	2.05E-7	88	1E10	3.7E-7	1790	4.68E-16	2.23E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	7.03E-14	1E-30	1E-10	1E10	7.26E-9	0.031	1E10	1E-30	16400	1E10	9.78E-8	14.1	1E10	3.24E-7	636	1E10	3.96E-7	7330	3.89E-16	2.23E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	7.89E-14	1E-30	1E-10	1E10	8.53E-9	0.071	1E10	1E-30	16400	1E10	9.75E-8	14.9	1E10	3.22E-7	521	1E10	4.83E-7	6200	3.89E-16	2.23E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	7.89E-14	1E-30	1E-10	1E10	8.53E-9	0.071	1E10	1E-30	16400	1E10	9.75E-8	14.9	1E10	3.22E-7	521	1E10	4.83E-7	6200	3.89E-16	2.23E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	4.98E-14	1E-30	1E-10	1E10	1.15E-8	0.033	1E10	1E-30	16400	1E10	1.41E-7	9.63	1E10	3.96E-7	261	1E10	7.66E-7	4490	7.58E-16	4.16E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	4.98E-14	1E-30	1E-10	1E10	1.15E-8	0.033	1E10	1E-30	16400	1E10	1.41E-7	9.63	1E10	3.96E-7	261	1E10	7.66E-7	4490	7.58E-16	4.16E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	6.88E-14	1E-30	1E-10	1E10	1.26E-8	0.033	1E10	1E-30	23200	1E10	6.14E-8	5.43	1E10	6.06E-7	1320	1E10	9.9E-7	9780	6.16E-16	4.16E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	6.88E-14	1E-30	1E-10	1E10	1.26E-8	0.033	1E10	1E-30	23200	1E10	6.14E-8	5.43	1E10	6.06E-7	1320	1E10	9.9E-7	9780	6.16E-16	4.16E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	9.07E-14	1E-30	1E-10	1E10	1.35E-8	0.033	1E10	1E-30	15300	1E10	2.79E-7	16.3	1E10	3.79E-7	128	1E10	8.47E-7	3240	5.24E-16	4.16E-7	301	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
