BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3.42E-14	1E-30	1E-10	1E10	3.44E-9	0.022	1E10	1E-30	54500	1E10	1.68E-8	1.35	1E10	1.35E-7	452	1E10	5.38E-6	6250	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
2	3.34E-14	1E-30	1E-10	1E10	3.36E-9	0.022	1E10	1E-30	54500	1E10	9.44E-9	1.35	1E10	8.49E-8	452	1E10	3.72E-6	7340	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
3	3.34E-14	1E-30	1E-10	1E10	3.77E-9	0.047	1E10	1E-30	54500	1E10	1.19E-8	1.35	1E10	1.76E-7	1610	1E10	9.07E-8	201	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
4	4.11E-14	1E-30	1E-10	1E10	6.41E-9	0.024	1E10	1E-30	54500	1E10	6.67E-8	9.61	1E10	3.63E-7	759	1E10	6.05E-7	6680	3.8E-17	3.35E-6	6380	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
5	4.41E-14	1E-30	1E-10	1E10	6.71E-9	0.022	1E10	1E-30	14E5	1E10	1.09E-7	14.1	1E10	5.7E-7	1620	1E10	6.15E-7	7890	2.88E-20	4.96E-8	6380	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
6	3.84E-14	1E-30	1E-10	1E10	7.36E-9	0.086	1E10	1E-30	54500	1E10	8.68E-8	16.2	1E10	2.73E-7	812	1E10	7.22E-7	10400	3.8E-17	3.35E-6	6380	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
7	6.22E-14	1E-30	1E-10	1E10	8.85E-9	0.1	1E10	1E-30	54500	1E10	8.48E-8	10.7	1E10	3.14E-7	758	1E10	7.22E-7	10400	3.02E-17	3.35E-6	6380	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
8	5.67E-14	1E-30	1E-10	1E10	8.45E-9	0.13	1E10	1E-30	54500	1E10	2.57E-7	171	1E10	5.52E-7	1900	1E10	6.23E-7	8180	2.95E-17	3.35E-6	6380	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
9	5.67E-14	1E-30	1E-10	1E10	8.45E-9	0.13	1E10	1E-30	54500	1E10	2.57E-7	171	1E10	5.52E-7	1900	1E10	6.23E-7	8180	2.95E-17	3.35E-6	6380	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
10	4.61E-14	1E-30	1E-10	1E10	1.14E-8	0.053	1E10	1E-30	54500	1E10	2.29E-7	32.2	1E10	6.72E-7	849	1E10	9.81E-7	7020	1.45E-16	2.11E-6	1890	4.24E-17	1.59E-6	3460	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
11	4.61E-14	1E-30	1E-10	1E10	1.14E-8	0.053	1E10	1E-30	54500	1E10	2.29E-7	32.2	1E10	6.72E-7	849	1E10	9.81E-7	7020	1.45E-16	2.11E-6	1890	4.24E-17	1.59E-6	3460	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
12	4.61E-14	1E-30	1E-10	1E10	1.31E-8	0.13	1E10	1E-30	54500	1E10	2.9E-7	46.7	1E10	6.07E-7	914	1E10	1.07E-6	7820	1.23E-16	2.11E-6	1890	4.44E-17	1.59E-6	3460	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
13	4.61E-14	1E-30	1E-10	1E10	1.31E-8	0.13	1E10	1E-30	54500	1E10	2.9E-7	46.7	1E10	6.07E-7	914	1E10	1.07E-6	7820	1.23E-16	2.11E-6	1890	4.44E-17	1.59E-6	3460	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
14	7.47E-14	1E-30	1E-10	1E10	1.73E-8	0.15	1E10	1E-30	54500	1E10	3.57E-7	46.7	1E10	8.77E-7	914	1E10	1.23E-6	7820	6.29E-17	2.11E-6	1890	4.44E-17	1.59E-6	3460	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10	1E-30	1E10	1E10
